Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1720213703,Device: id=0,RX,0,0,0,0,0
1720213703,Device: id=0,TX,37.144442601141,19017.923776575,24961.034592757,39213342,2509653888
1720213704,Device: id=0,RX,0,0,0,0,0
1720213704,Device: id=0,TX,37.151620825859,19021.659032315,24965.918364453,76383462,4888545216
1720213705,Device: id=0,RX,0,0,0,0,0
1720213705,Device: id=0,TX,37.140694408714,19016.010015061,24958.521120455,113637372,7272792256
1720213706,Device: id=0,RX,0,0,0,0,0
1720213706,Device: id=0,TX,37.265027597808,19079.697186177,25042.101601827,151096285,9670163072
1720213707,Device: id=0,RX,0,0,0,0,0
1720213707,Device: id=0,TX,37.180127887092,19036.22954027,24985.050002205,188586888,12069562176
1720213708,Device: id=0,RX,0,0,0,0,0
1720213708,Device: id=0,TX,37.188854988341,19040.692730621,24990.909528756,225797203,14451022208
1720213709,Device: id=0,RX,0,0,0,0,0
1720213709,Device: id=0,TX,37.219913819619,19056.595365016,25011.781576155,263117075,16839493952
1720213710,Device: id=0,RX,0,0,0,0,0
1720213710,Device: id=0,TX,37.159209097749,19025.537001493,24971.010457133,300399148,19225549376
1720213711,Device: id=0,RX,0,0,0,0,0
1720213711,Device: id=0,TX,37.243125730049,19068.453876997,25027.353993804,337821079,21620549632
1720213712,Device: id=0,RX,0,0,0,0,0
1720213712,Device: id=0,TX,37.18414696959,19038.310727598,24987.774242732,375233686,24014959936
1720213713,Device: id=0,RX,0,0,0,0,0
1720213713,Device: id=0,TX,37.148010575915,19019.781414869,24963.463107015,412637599,26408810368
1720213714,Device: id=0,RX,0,0,0,0,0
1720213714,Device: id=0,TX,37.189961744176,19041.243676469,24991.637555538,450181874,28811641856
1720213715,Device: id=0,RX,0,0,0,0,0
1720213715,Device: id=0,TX,37.147434311515,19019.47113957,24963.060629412,487651494,31209695616
1720213716,Device: id=0,RX,0,0,0,0,0
1720213716,Device: id=0,TX,37.229279210558,19061.410408108,25018.095081797,524887850,33592824832
1720213717,Device: id=0,RX,0,0,0,0,0
1720213717,Device: id=0,TX,37.205980046287,19049.474456336,25002.431263742,562467758,35997940544
1720213718,Device: id=0,RX,0,0,0,0,0
1720213718,Device: id=0,TX,37.161632277442,19026.723485665,24972.584650056,599647389,38377432896
1720213719,Device: id=0,RX,0,0,0,0,0
1720213719,Device: id=0,TX,37.229669648379,19061.59085997,25018.33800371,636909046,40762178944
1720213720,Device: id=0,RX,0,0,0,0,0
1720213720,Device: id=0,TX,37.171489319782,19031.812734305,24979.25102547,674216881,43149881664
1720213721,Device: id=0,RX,0,0,0,0,0
1720213721,Device: id=0,TX,37.183988551774,19038.210828238,24987.648996522,711461933,45533566080
1720213722,Device: id=0,RX,0,0,0,0,0
1720213722,Device: id=0,TX,37.219563523723,19056.397637777,25011.527801572,748795069,47922884416
1720213723,Device: id=0,RX,0,0,0,0,0
1720213723,Device: id=0,TX,37.137068293534,19014.194285628,24956.125212594,786030707,50305967168
