Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1720229534,Device: id=0,RX,9.9662005533926e-07,0.0010683766993237,0.001227835908178,1,134
1720229534,Device: id=0,TX,34.379208480853,17602.13343647,23102.806793407,36672489,2347039296
1720229535,Device: id=0,RX,0,0,0,1,134
1720229535,Device: id=0,TX,34.404205557759,17614.953245573,23119.626134814,71108975,4550974400
1720229536,Device: id=0,RX,0,0,0,1,134
1720229536,Device: id=0,TX,34.42027412378,17623.203876019,23130.447735823,105569276,6756436608
1720229537,Device: id=0,RX,0,0,0,1,134
1720229537,Device: id=0,TX,34.47794618667,17652.693170009,23169.164559877,140233257,8974929472
1720229538,Device: id=0,RX,0,0,0,1,134
1720229538,Device: id=0,TX,34.472574395254,17649.981940004,23165.593843245,175015679,11201007488
1720229539,Device: id=0,RX,0,0,0,1,134
1720229540,Device: id=0,TX,34.474151696174,17650.752398698,23166.616670086,209599612,13414377536
1720229540,Device: id=0,RX,0,0,0,1,134
1720229541,Device: id=0,TX,34.479973583059,17653.759699744,23170.555473033,244305839,15635577728
1720229541,Device: id=0,RX,0,0,0,1,134
1720229542,Device: id=0,TX,34.460839081127,17643.928268637,23157.662521617,279030048,17857924416
1720229542,Device: id=0,RX,0,0,0,1,134
1720229543,Device: id=0,TX,34.459807085146,17643.442712393,23157.011846016,313520653,20065325824
1720229543,Device: id=0,RX,0,0,0,1,134
1720229544,Device: id=0,TX,34.420972501636,17623.514936085,23130.870536347,348024362,22273560320
1720229545,Device: id=0,RX,0,0,0,1,134
1720229545,Device: id=0,TX,34.434299937283,17630.384534995,23139.87252496,382567951,24484352896
1720229546,Device: id=0,RX,0,0,0,1,134
1720229546,Device: id=0,TX,34.452999458668,17639.914831154,23152.394744541,417186384,26699929984
1720229547,Device: id=0,RX,0,0,0,1,134
1720229547,Device: id=0,TX,34.461645083596,17644.366860963,23158.230074339,451872634,28919850560
1720229548,Device: id=0,RX,0,0,0,1,134
1720229548,Device: id=0,TX,34.442653466764,17634.641117631,23145.465672313,486550341,31139224128
1720229549,Device: id=0,RX,0,0,0,1,134
1720229549,Device: id=0,TX,34.410167632132,17618.007859914,23123.634681055,521226978,33358529152
1720229550,Device: id=0,RX,0,0,0,1,134
1720229550,Device: id=0,TX,34.41678782671,17621.388209512,23128.074261786,555692987,35564352832
1720229551,Device: id=0,RX,0,0,0,1,134
1720229551,Device: id=0,TX,34.446161724044,17636.453570777,23147.839446624,590462050,37789575232
1720229552,Device: id=0,RX,0,0,0,1,134
1720229552,Device: id=0,TX,34.42787888404,17627.042048805,23135.502670252,625230735,40014767040
1720229553,Device: id=0,RX,0,0,0,1,134
1720229553,Device: id=0,TX,34.447532783388,17637.168931937,23148.774177279,659795237,42226899200
1720229554,Device: id=0,RX,0,0,0,1,134
1720229554,Device: id=0,TX,34.414748281759,17620.332705723,23126.692430805,694242621,44431529472
1720229555,Device: id=0,RX,0,0,0,1,134
1720229555,Device: id=0,TX,34.440165962359,17633.383380565,23143.809934542,728727995,46638595712
1720229556,Device: id=0,RX,0,0,0,1,134
1720229556,Device: id=0,TX,34.435253668935,17630.849878495,23140.490465524,763218722,48846002240
1720229557,Device: id=0,RX,0,0,0,1,134
1720229557,Device: id=0,TX,34.425451198054,17625.806485081,23133.87867677,797711088,51053510592
1720229558,Device: id=0,RX,0,0,0,1,134
1720229558,Device: id=0,TX,34.416966651583,17621.496120634,23128.210784887,832206571,53261222656
1720229558,Device: id=0,RX,0,0,0,1,134
1720229559,Device: id=0,TX,34.389300175553,17607.304836414,23109.592864502,866682654,55467689856
1720229559,Device: id=0,RX,9.9723856386062e-07,0.00059036522980549,0.00074992340002319,2,208
1720229560,Device: id=0,TX,34.422599672691,17624.40319938,23132.019147011,901200535,57676838272
1720229560,Device: id=0,RX,0,0,0,2,208
1720229561,Device: id=0,TX,34.437491148789,17631.983729169,23141.982312975,935746537,59887780928
1720229561,Device: id=0,RX,0,0,0,2,208
1720229562,Device: id=0,TX,34.4287800733,17627.530293905,23136.135105633,970285785,62098292160
1720229562,Device: id=0,RX,0,0,0,2,208
1720229563,Device: id=0,TX,34.44752636179,17637.118188478,23148.722406365,1004848615,64310311360
1720229563,Device: id=0,RX,0,0,0,2,208
1720229564,Device: id=0,TX,34.420573716308,17623.365887637,23130.657682247,1039388167,66520846720
1720229564,Device: id=0,RX,0,0,0,2,208
1720229565,Device: id=0,TX,34.436138610906,17631.294295326,23141.076473071,1073945566,68732519168
1720229565,Device: id=0,RX,0,0,0,2,208
1720229566,Device: id=0,TX,34.392169552395,17608.767344076,23111.514472459,1108462675,70941611200
1720229566,Device: id=0,RX,0,0,0,2,208
1720229567,Device: id=0,TX,34.424221454768,17625.220715955,23133.096148718,1143109290,73158996992
1720229567,Device: id=0,RX,0,0,0,2,208
1720229568,Device: id=0,TX,34.469895341336,17648.567093565,23163.750348179,1177819676,75380459264
1720229569,Device: id=0,RX,0,0,0,2,208
1720229569,Device: id=0,TX,34.468044557003,17647.671009099,23162.558138219,1212352048,77590535104
1720229570,Device: id=0,RX,0,0,0,2,208
1720229570,Device: id=0,TX,34.464150275676,17645.625599346,23159.889643454,1247019684,79809261376
1720229571,Device: id=0,RX,0,0,0,2,208
1720229571,Device: id=0,TX,34.459116425916,17643.08706163,23156.545689777,1281486664,82015150528
1720229572,Device: id=0,RX,0,0,0,2,208
1720229572,Device: id=0,TX,34.457782058743,17642.370141212,23155.615270611,1316096869,84230201856
1720229573,Device: id=0,RX,0,0,0,2,208
1720229573,Device: id=0,TX,34.453333881053,17640.101344947,23152.634765916,1350733771,86446962880
1720229574,Device: id=0,RX,0,0,0,2,208
1720229574,Device: id=0,TX,34.445759316924,17636.248562762,23147.57005347,1385484967,88671041920
1720229575,Device: id=0,RX,0,0,0,2,208
1720229575,Device: id=0,TX,34.453285777134,17640.051190414,23152.576914756,1420053942,90883452416
1720229576,Device: id=0,RX,0,0,0,2,208
1720229576,Device: id=0,TX,34.462373837059,17644.753295285,23158.733109214,1454572735,93092657408
1720229577,Device: id=0,RX,0,0,0,2,208
1720229577,Device: id=0,TX,34.450700571664,17638.757161808,23150.869253274,1489138564,95304870272
1720229578,Device: id=0,RX,0,0,0,2,208
1720229578,Device: id=0,TX,34.462676966012,17644.87939541,23158.907709972,1523763582,97520870016
1720229579,Device: id=0,RX,0,0,0,2,208
1720229579,Device: id=0,TX,34.47144563108,17649.392379145,23164.823680118,1558438108,99740041216
1720229580,Device: id=0,RX,0,0,0,2,208
1720229580,Device: id=0,TX,34.351253753838,17587.845481434,23084.046082048,1593026102,101953673280
1720229581,Device: id=0,RX,0,0,0,2,208
1720229581,Device: id=0,TX,34.386296118012,17605.770912182,23107.578291064,1627682501,104171681216
1720229582,Device: id=0,RX,0,0,0,2,208
1720229582,Device: id=0,TX,34.432982645009,17629.695743038,23138.972966239,1662415593,106394600192
1720229583,Device: id=0,RX,0,0,0,2,208
1720229583,Device: id=0,TX,34.429416403643,17627.854605069,23136.561229652,1697170859,108618936384
1720229584,Device: id=0,RX,0,0,0,2,208
1720229584,Device: id=0,TX,34.430618854719,17628.465699908,23137.364716663,1731941939,110844284096
1720229585,Device: id=0,RX,0,0,0,2,208
1720229585,Device: id=0,TX,34.411356807971,17618.614685681,23124.431774957,1766395940,113049340160
1720229586,Device: id=0,RX,0,0,0,2,208
1720229586,Device: id=0,TX,34.439233045894,17632.919546707,23143.19683405,1800865940,115255424192
1720229587,Device: id=0,RX,0,0,0,2,208
1720229587,Device: id=0,TX,34.431358828276,17628.855720077,23137.873132602,1835350179,117462415488
1720229588,Device: id=0,RX,0,0,0,2,208
1720229588,Device: id=0,TX,34.41449245248,17620.22013567,23126.538928066,1869823519,119668709248
1720229589,Device: id=0,RX,0,0,0,2,208
1720229589,Device: id=0,TX,34.437802006508,17632.154627332,23142.202948373,1904330187,121877136000
1720229590,Device: id=0,RX,0,0,0,2,208
1720229590,Device: id=0,TX,34.42681671531,17626.530158239,23134.820832689,1938837169,124085582848
1720229591,Device: id=0,RX,0,0,0,2,208
1720229591,Device: id=0,TX,34.330654614111,17577.263087765,23070.167826022,1973361918,126295162752
1720229592,Device: id=0,RX,0,0,0,2,208
1720229592,Device: id=0,TX,34.434423418458,17630.443170593,23139.950917546,2007893119,128505161920
1720229593,Device: id=0,RX,0,0,0,2,208
1720229593,Device: id=0,TX,34.439511877919,17633.011706654,23143.333607121,2042439763,130716144832
1720229594,Device: id=0,RX,0,0,0,2,208
1720229594,Device: id=0,TX,34.448732874435,17637.76398863,23149.561248539,2077004832,132928310848
