,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
0,2,16,-1,bridge,1,1,read,313.2232977337848,482.0,701.0,95975.0,,
1,2,16,-1,bridge,1,1,update,313.5298816413786,483.0,701.0,95895.0,,
2,2,16,-1,bridge,1,1,overall,,,,,61022.0,3144.275834944774
0,2,16,-1,bridge,1,2,read,253.98491662455785,435.0,603.0,118740.0,,
1,2,16,-1,bridge,1,2,update,252.31310144388777,434.0,605.0,118361.0,,
2,2,16,-1,bridge,1,2,overall,,,,,61031.0,3884.927332011601
0,2,16,-1,bridge,1,3,read,222.90779884730063,401.0,548.0,135161.0,,
1,2,16,-1,bridge,1,3,update,221.88120641044665,401.0,553.0,134780.0,,
2,2,16,-1,bridge,1,3,overall,,,,,61017.0,4424.029368864415
0,2,16,-1,bridge,1,4,read,256.7392085106383,435.0,602.0,117500.0,,
1,2,16,-1,bridge,1,4,update,255.71157925348112,437.0,607.0,116916.0,,
2,2,16,-1,bridge,1,4,overall,,,,,61014.0,3842.0034746123843
0,2,16,-1,bridge,1,5,read,240.97201180639433,417.0,575.0,125017.0,,
1,2,16,-1,bridge,1,5,update,238.8528268762718,416.0,575.0,125315.0,,
2,2,16,-1,bridge,1,5,overall,,,,,61026.0,4102.054861862157
0,2,16,-1,bridge,1,6,read,250.80993579868598,430.0,581.0,120091.0,,
1,2,16,-1,bridge,1,6,update,249.5301712999625,428.0,580.0,119965.0,,
2,2,16,-1,bridge,1,6,overall,,,,,61017.0,3934.2478325712505
0,2,16,-1,bridge,1,7,read,242.06086717759456,422.0,587.0,123827.0,,
1,2,16,-1,bridge,1,7,update,241.08754707909287,420.0,581.0,124790.0,,
2,2,16,-1,bridge,1,7,overall,,,,,61023.0,4074.152368778985
0,2,16,-1,bridge,1,8,read,255.50312705306177,435.0,607.0,117203.0,,
1,2,16,-1,bridge,1,8,update,256.81895691764646,437.0,624.0,117287.0,,
2,2,16,-1,bridge,1,8,overall,,,,,61017.0,3843.0273530327613
0,2,16,-1,bridge,1,9,read,308.1950881443987,475.0,667.0,97397.0,,
1,2,16,-1,bridge,1,9,update,309.36808238137536,478.0,667.0,96818.0,,
2,2,16,-1,bridge,1,9,overall,,,,,61016.0,3183.017569162187
0,2,16,-1,bridge,1,10,read,254.48826203796034,432.0,580.0,118334.0,,
1,2,16,-1,bridge,1,10,update,254.05194904328945,434.0,591.0,117904.0,,
2,2,16,-1,bridge,1,10,overall,,,,,61017.0,3871.675106937411
0,2,16,-1,bridge,1,11,read,238.41259893675178,417.0,562.0,126217.0,,
1,2,16,-1,bridge,1,11,update,237.1444866014732,416.0,563.0,125984.0,,
2,2,16,-1,bridge,1,11,overall,,,,,61022.0,4132.952050080299
0,2,16,-1,bridge,1,12,read,239.46465226440824,418.0,569.0,125397.0,,
1,2,16,-1,bridge,1,12,update,238.6416834914732,417.0,565.0,125311.0,,
2,2,16,-1,bridge,1,12,overall,,,,,61015.0,4108.956813898221
0,2,16,-1,bridge,1,13,read,228.8696879086592,406.0,554.0,130763.0,,
1,2,16,-1,bridge,1,13,update,229.3444932643752,407.0,563.0,131094.0,,
2,2,16,-1,bridge,1,13,overall,,,,,61016.0,4291.61203618723
0,2,16,-1,bridge,1,14,read,244.79279367249293,423.0,584.0,122892.0,,
1,2,16,-1,bridge,1,14,update,244.23541421664706,427.0,599.0,122448.0,,
2,2,16,-1,bridge,1,14,overall,,,,,61022.0,4020.517190521451
0,2,16,-1,bridge,1,15,read,219.46091867912332,396.0,527.0,136152.0,,
1,2,16,-1,bridge,1,15,update,221.34859217023276,398.0,545.0,136096.0,,
2,2,16,-1,bridge,1,15,overall,,,,,61016.0,4461.911629736463
0,2,16,-1,bridge,1,16,read,244.92194688244314,420.0,565.0,122596.0,,
1,2,16,-1,bridge,1,16,update,243.5364993105686,419.0,571.0,123290.0,,
2,2,16,-1,bridge,1,16,overall,,,,,61018.0,4029.7289324461635
