,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
0,2,32,-1,bridge-e1000,0,1,read,914.7385143838558,1628.0,5091.0,32606.0,,
1,2,32,-1,bridge-e1000,0,1,update,916.1129219667318,1650.0,4871.0,32704.0,,
2,2,32,-1,bridge-e1000,0,1,overall,,,,,61032.0,1070.094376720409
0,2,32,-1,bridge-e1000,0,2,read,1002.3387376363821,1815.0,5451.0,29421.0,,
1,2,32,-1,bridge-e1000,0,2,update,1026.233942930818,1899.0,5363.0,29473.0,,
2,2,32,-1,bridge-e1000,0,2,overall,,,,,61084.0,964.1477309933862
0,2,32,-1,bridge-e1000,0,3,read,891.2353971080992,1672.0,5055.0,33127.0,,
1,2,32,-1,bridge-e1000,0,3,update,904.3978332831779,1705.0,5019.0,33230.0,,
2,2,32,-1,bridge-e1000,0,3,overall,,,,,61054.0,1086.8575359517804
0,2,32,-1,bridge-e1000,0,4,read,929.7954902330256,1646.0,4271.0,31842.0,,
1,2,32,-1,bridge-e1000,0,4,update,941.831154615962,1673.0,4239.0,31976.0,,
2,2,32,-1,bridge-e1000,0,4,overall,,,,,61047.0,1045.3912559175717
0,2,32,-1,bridge-e1000,0,5,read,917.2892254840724,1613.0,5207.0,32020.0,,
1,2,32,-1,bridge-e1000,0,5,update,938.5886989170572,1680.0,5399.0,32227.0,,
2,2,32,-1,bridge-e1000,0,5,overall,,,,,61061.0,1052.1773308658555
0,2,32,-1,bridge-e1000,0,6,read,922.8592152571518,1825.0,4951.0,31985.0,,
1,2,32,-1,bridge-e1000,0,6,update,951.5857444861641,1842.0,5199.0,31693.0,,
2,2,32,-1,bridge-e1000,0,6,overall,,,,,61043.0,1043.1662926134036
0,2,32,-1,bridge-e1000,0,7,read,952.1699329551315,1783.0,4575.0,31024.0,,
1,2,32,-1,bridge-e1000,0,7,update,968.2599109060026,1835.0,4707.0,31203.0,,
2,2,32,-1,bridge-e1000,0,7,overall,,,,,61048.0,1019.3126719958066
0,2,32,-1,bridge-e1000,0,8,read,921.4080536912752,1763.0,5235.0,32035.0,,
1,2,32,-1,bridge-e1000,0,8,update,939.8991607087348,1837.0,5447.0,32170.0,,
2,2,32,-1,bridge-e1000,0,8,overall,,,,,61043.0,1051.7995511360843
0,2,32,-1,bridge-e1000,0,9,read,931.4033921685425,1668.0,4743.0,31897.0,,
1,2,32,-1,bridge-e1000,0,9,update,939.4733703668833,1738.0,4655.0,31863.0,,
2,2,32,-1,bridge-e1000,0,9,overall,,,,,61037.0,1044.6122843521143
0,2,32,-1,bridge-e1000,0,10,read,912.8382312213436,1645.0,5303.0,32497.0,,
1,2,32,-1,bridge-e1000,0,10,update,925.4246381275024,1694.0,5443.0,32470.0,,
2,2,32,-1,bridge-e1000,0,10,overall,,,,,61079.0,1063.6552661307487
0,2,32,-1,bridge-e1000,0,11,read,939.1835493424195,1805.0,5019.0,31403.0,,
1,2,32,-1,bridge-e1000,0,11,update,964.0264303084602,1845.0,5055.0,31252.0,,
2,2,32,-1,bridge-e1000,0,11,overall,,,,,61046.0,1026.3571732791665
0,2,32,-1,bridge-e1000,0,12,read,959.9154193317964,1795.0,5043.0,30799.0,,
1,2,32,-1,bridge-e1000,0,12,update,984.0400013008554,1849.0,5627.0,30749.0,,
2,2,32,-1,bridge-e1000,0,12,overall,,,,,61027.0,1008.5372048437576
0,2,32,-1,bridge-e1000,0,13,read,936.9396354629747,1690.0,4599.0,31492.0,,
1,2,32,-1,bridge-e1000,0,13,update,961.1175518237517,1777.0,4871.0,31501.0,,
2,2,32,-1,bridge-e1000,0,13,overall,,,,,61068.0,1031.5222375057313
0,2,32,-1,bridge-e1000,0,14,read,976.3613301787592,1891.0,5339.0,30432.0,,
1,2,32,-1,bridge-e1000,0,14,update,983.2731293527412,1917.0,5471.0,30297.0,,
2,2,32,-1,bridge-e1000,0,14,overall,,,,,61059.0,994.5953913427996
0,2,32,-1,bridge-e1000,0,15,read,948.0296073666709,1611.0,4587.0,31276.0,,
1,2,32,-1,bridge-e1000,0,15,update,973.9944611796716,1665.0,4943.0,30873.0,,
2,2,32,-1,bridge-e1000,0,15,overall,,,,,61037.0,1018.2184576568311
0,2,32,-1,bridge-e1000,0,16,read,859.2668841474167,1564.0,4847.0,34026.0,,
1,2,32,-1,bridge-e1000,0,16,update,897.8373616644533,1655.0,5315.0,33885.0,,
2,2,32,-1,bridge-e1000,0,16,overall,,,,,61063.0,1112.1464716767928
0,2,32,-1,bridge-e1000,0,17,read,907.5293536942773,1576.0,4547.0,32415.0,,
1,2,32,-1,bridge-e1000,0,17,update,930.3404977026736,1658.0,4667.0,32429.0,,
2,2,32,-1,bridge-e1000,0,17,overall,,,,,61017.0,1062.7202255109232
0,2,32,-1,bridge-e1000,0,18,read,928.71043928616,1732.0,5099.0,32052.0,,
1,2,32,-1,bridge-e1000,0,18,update,940.2574263624127,1745.0,5815.0,31947.0,,
2,2,32,-1,bridge-e1000,0,18,overall,,,,,61025.0,1048.7341253584596
0,2,32,-1,bridge-e1000,0,19,read,872.683261903364,1573.0,4447.0,34066.0,,
1,2,32,-1,bridge-e1000,0,19,update,894.6036102795151,1619.0,4751.0,33737.0,,
2,2,32,-1,bridge-e1000,0,19,overall,,,,,61037.0,1110.850795419172
0,2,32,-1,bridge-e1000,0,20,read,844.5475304755909,1550.0,4135.0,34946.0,,
1,2,32,-1,bridge-e1000,0,20,update,866.7124808907092,1579.0,4319.0,34669.0,,
2,2,32,-1,bridge-e1000,0,20,overall,,,,,61069.0,1139.9400677921694
0,2,32,-1,bridge-e1000,0,21,read,913.450431958826,1612.0,5523.0,32642.0,,
1,2,32,-1,bridge-e1000,0,21,update,919.8181930387559,1620.0,5339.0,32408.0,,
2,2,32,-1,bridge-e1000,0,21,overall,,,,,61040.0,1065.6946264744429
0,2,32,-1,bridge-e1000,0,22,read,948.7397544976294,1750.0,5743.0,30794.0,,
1,2,32,-1,bridge-e1000,0,22,update,979.4660294497546,1805.0,6355.0,30968.0,,
2,2,32,-1,bridge-e1000,0,22,overall,,,,,61023.0,1012.110187961916
0,2,32,-1,bridge-e1000,0,23,read,925.484768627451,1708.0,5279.0,31875.0,,
1,2,32,-1,bridge-e1000,0,23,update,940.3512475408301,1775.0,5655.0,32023.0,,
2,2,32,-1,bridge-e1000,0,23,overall,,,,,61026.0,1047.0619080391964
0,2,32,-1,bridge-e1000,0,24,read,1088.670927225711,2083.0,7095.0,27070.0,,
1,2,32,-1,bridge-e1000,0,24,update,1110.0740917957967,2175.0,7483.0,27169.0,,
2,2,32,-1,bridge-e1000,0,24,overall,,,,,61041.0,888.5667010697728
0,2,32,-1,bridge-e1000,0,25,read,812.5655963808894,1543.0,4119.0,36252.0,,
1,2,32,-1,bridge-e1000,0,25,update,835.6906615860394,1608.0,4639.0,36216.0,,
2,2,32,-1,bridge-e1000,0,25,overall,,,,,61060.0,1186.83262364887
0,2,32,-1,bridge-e1000,0,26,read,816.9485778025655,1552.0,4359.0,35860.0,,
1,2,32,-1,bridge-e1000,0,26,update,855.2866067390321,1608.0,4767.0,35376.0,,
2,2,32,-1,bridge-e1000,0,26,overall,,,,,61062.0,1166.6175362746062
0,2,32,-1,bridge-e1000,0,27,read,913.8313313313313,1894.0,7051.0,31968.0,,
1,2,32,-1,bridge-e1000,0,27,update,935.4573227467279,1939.0,7347.0,32242.0,,
2,2,32,-1,bridge-e1000,0,27,overall,,,,,61048.0,1051.7953086096186
0,2,32,-1,bridge-e1000,0,28,read,866.1191816156642,1526.0,4223.0,34116.0,,
1,2,32,-1,bridge-e1000,0,28,update,887.6482416511649,1572.0,4591.0,33867.0,,
2,2,32,-1,bridge-e1000,0,28,overall,,,,,61021.0,1114.091870011963
0,2,32,-1,bridge-e1000,0,29,read,841.5439203684106,1529.0,4211.0,34961.0,,
1,2,32,-1,bridge-e1000,0,29,update,855.0892628706257,1556.0,4503.0,35177.0,,
2,2,32,-1,bridge-e1000,0,29,overall,,,,,61051.0,1148.842770798185
0,2,32,-1,bridge-e1000,0,30,read,914.7622153884384,1830.0,7347.0,32193.0,,
1,2,32,-1,bridge-e1000,0,30,update,936.7101113752972,1891.0,7719.0,31964.0,,
2,2,32,-1,bridge-e1000,0,30,overall,,,,,61037.0,1051.1165358716844
0,2,32,-1,bridge-e1000,0,31,read,842.3540614179486,1566.0,4095.0,35234.0,,
1,2,32,-1,bridge-e1000,0,31,update,860.5672,1625.0,4363.0,35000.0,,
2,2,32,-1,bridge-e1000,0,31,overall,,,,,61044.0,1150.5471463206868
0,2,32,-1,bridge-e1000,0,32,read,887.8409230015914,1606.0,4383.0,32676.0,,
1,2,32,-1,bridge-e1000,0,32,update,930.8103248965685,1688.0,5087.0,32872.0,,
2,2,32,-1,bridge-e1000,0,32,overall,,,,,61022.0,1074.1699714856936
