,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
0,2,16,-1,bridge-vhost,1,1,read,112.34434912456432,141.0,171.0,270551.0,,
1,2,16,-1,bridge-vhost,1,1,update,108.73620683259765,138.0,169.0,269590.0,,
2,2,16,-1,bridge-vhost,1,1,overall,,,,,61020.0,8851.868239921338
0,2,16,-1,bridge-vhost,1,2,read,107.81863157409083,133.0,156.0,281769.0,,
1,2,16,-1,bridge-vhost,1,2,update,104.51428094856162,129.0,154.0,281774.0,,
2,2,16,-1,bridge-vhost,1,2,overall,,,,,61021.0,9235.230494419953
0,2,16,-1,bridge-vhost,1,3,read,112.40679245003865,142.0,174.0,270359.0,,
1,2,16,-1,bridge-vhost,1,3,update,109.083958682466,138.0,173.0,269716.0,,
2,2,16,-1,bridge-vhost,1,3,overall,,,,,61019.0,8850.931677018634
0,2,16,-1,bridge-vhost,1,4,read,109.02612018011936,135.0,159.0,278482.0,,
1,2,16,-1,bridge-vhost,1,4,update,105.37380065874267,131.0,155.0,279320.0,,
2,2,16,-1,bridge-vhost,1,4,overall,,,,,61018.0,9141.597561375333
0,2,16,-1,bridge-vhost,1,5,read,105.79696053911351,133.0,159.0,287880.0,,
1,2,16,-1,bridge-vhost,1,5,update,102.10483385891655,129.0,157.0,287617.0,,
2,2,16,-1,bridge-vhost,1,5,overall,,,,,61018.0,9431.593955881872
0,2,16,-1,bridge-vhost,1,6,read,106.57407977499003,133.0,153.0,285854.0,,
1,2,16,-1,bridge-vhost,1,6,update,102.5388272472401,128.0,149.0,286062.0,,
2,2,16,-1,bridge-vhost,1,6,overall,,,,,61020.0,9372.599147820387
0,2,16,-1,bridge-vhost,1,7,read,107.13562753749238,132.0,150.0,283991.0,,
1,2,16,-1,bridge-vhost,1,7,update,103.41332995438418,128.0,146.0,284112.0,,
2,2,16,-1,bridge-vhost,1,7,overall,,,,,61020.0,9310.1114388725
0,2,16,-1,bridge-vhost,1,8,read,102.24229330472943,129.0,149.0,296463.0,,
1,2,16,-1,bridge-vhost,1,8,update,98.64058664083886,125.0,145.0,297354.0,,
2,2,16,-1,bridge-vhost,1,8,overall,,,,,61017.0,9731.992723339397
0,2,16,-1,bridge-vhost,1,9,read,111.38663109247702,138.0,160.0,272857.0,,
1,2,16,-1,bridge-vhost,1,9,update,107.73724560812296,134.0,156.0,273004.0,,
2,2,16,-1,bridge-vhost,1,9,overall,,,,,61024.0,8945.02163083377
0,2,16,-1,bridge-vhost,1,10,read,111.56977525490815,139.0,162.0,272353.0,,
1,2,16,-1,bridge-vhost,1,10,update,108.47878676402965,136.0,161.0,271835.0,,
2,2,16,-1,bridge-vhost,1,10,overall,,,,,61020.0,8918.19075712881
0,2,16,-1,bridge-vhost,1,11,read,108.91708803295808,137.0,158.0,278657.0,,
1,2,16,-1,bridge-vhost,1,11,update,105.39424849893126,133.0,156.0,279301.0,,
2,2,16,-1,bridge-vhost,1,11,overall,,,,,61017.0,9144.304046413296
0,2,16,-1,bridge-vhost,1,12,read,100.30053229417129,128.0,143.0,301525.0,,
1,2,16,-1,bridge-vhost,1,12,update,97.9022860134947,125.0,140.0,301748.0,,
2,2,16,-1,bridge-vhost,1,12,overall,,,,,61016.0,9887.127966435033
0,2,16,-1,bridge-vhost,1,13,read,101.96691401545986,129.0,145.0,297286.0,,
1,2,16,-1,bridge-vhost,1,13,update,99.48777941661784,126.0,142.0,296958.0,,
2,2,16,-1,bridge-vhost,1,13,overall,,,,,61027.0,9737.394923558424
0,2,16,-1,bridge-vhost,1,14,read,101.37876899493469,128.0,144.0,300080.0,,
1,2,16,-1,bridge-vhost,1,14,update,98.28508944860631,125.0,140.0,299278.0,,
2,2,16,-1,bridge-vhost,1,14,overall,,,,,61019.0,9822.481522148839
0,2,16,-1,bridge-vhost,1,15,read,111.401065777908,138.0,162.0,273040.0,,
1,2,16,-1,bridge-vhost,1,15,update,107.74571548867776,135.0,160.0,273135.0,,
2,2,16,-1,bridge-vhost,1,15,overall,,,,,61019.0,8950.900539176322
0,2,16,-1,bridge-vhost,1,16,read,107.67926059320526,133.0,151.0,280982.0,,
1,2,16,-1,bridge-vhost,1,16,update,104.91065695716858,130.0,148.0,280962.0,,
2,2,16,-1,bridge-vhost,1,16,overall,,,,,61020.0,9209.177318911832
