Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1724298569,Device: id=0,RX,0,0,0,0,0
1724298569,Device: id=0,TX,36.869186201225,18877.028680314,24776.09847251,38888000,2488828672
1724298570,Device: id=0,RX,0,0,0,0,0
1724298570,Device: id=0,TX,36.900986896376,18893.303762587,24797.461666007,75973512,4862301248
1724298571,Device: id=0,RX,0,0,0,0,0
1724298571,Device: id=0,TX,36.866889098992,18875.856386832,24774.558642671,113032824,7234098368
1724298572,Device: id=0,RX,0,0,0,0,0
1724298572,Device: id=0,TX,36.936921918298,18911.722867025,24821.630373952,150164073,9610500672
1724298573,Device: id=0,RX,0,0,0,0,0
1724298573,Device: id=0,TX,36.930041107757,18908.181047172,24816.987624413,187287761,11986416704
1724298574,Device: id=0,RX,0,0,0,0,0
1724298574,Device: id=0,TX,36.896988604547,18891.258165528,24794.776342256,224379067,14360260288
1724298575,Device: id=0,RX,0,0,0,0,0
1724298575,Device: id=0,TX,36.997312224845,18942.591769506,24862.161725481,261568211,16740361472
1724298576,Device: id=0,RX,0,0,0,0,0
1724298576,Device: id=0,TX,36.962661968834,18924.882928043,24838.908843056,298722958,19118265280
1724298577,Device: id=0,RX,0,0,0,0,0
1724298577,Device: id=0,TX,36.909955160294,18897.89704207,24803.489867717,335824343,21492753920
1724298578,Device: id=0,RX,0,0,0,0,0
1724298578,Device: id=0,TX,36.991101479061,18939.476038515,24858.052275165,373016955,23873085120
1724298579,Device: id=0,RX,0,0,0,0,0
1724298579,Device: id=0,TX,36.947255251942,18916.966178802,24828.527019113,410173902,26251126144
1724298580,Device: id=0,RX,0,0,0,0,0
1724298580,Device: id=0,TX,36.929366390623,18907.832027323,24816.530649822,447303458,28627417280
1724298581,Device: id=0,RX,0,0,0,0,0
1724298581,Device: id=0,TX,36.987472352308,18937.615799454,24855.611375823,484603237,31014606912
1724298582,Device: id=0,RX,0,0,0,0,0
1724298582,Device: id=0,TX,36.937483489938,18911.961498268,24821.958856658,521736688,33391144000
1724298583,Device: id=0,RX,0,0,0,0,0
1724298583,Device: id=0,TX,36.943484693281,18915.071292523,24826.028843448,558879341,35768274688
1724298584,Device: id=0,RX,0,0,0,0,0
1724298584,Device: id=0,TX,36.997793499428,18942.881476811,24862.528436719,596071601,38148580736
1724298585,Device: id=0,RX,0,0,0,0,0
1724298585,Device: id=0,TX,36.9256521435,18905.928296149,24814.032639109,633199486,40524764672
1724298586,Device: id=0,RX,0,0,0,0,0
1724298586,Device: id=0,TX,36.95907406152,18923.065230826,24836.517080669,670435441,42907868224
1724298587,Device: id=0,RX,0,0,0,0,0
1724298587,Device: id=0,TX,36.995555746065,18941.692459006,24860.981378376,707630510,45288348608
1724298588,Device: id=0,RX,0,0,0,0,0
1724298588,Device: id=0,TX,36.931522938743,18908.956552107,24818.000222306,744756560,47664417920
1724298589,Device: id=0,RX,0,0,0,0,0
1724298589,Device: id=0,TX,36.958427525886,18922.705726735,24836.054130876,781914490,50042524288
1724298590,Device: id=0,RX,0,0,0,0,0
1724298590,Device: id=0,TX,36.955759991671,18921.358791349,24834.280390017,819070339,52420499840
1724298591,Device: id=0,RX,0,0,0,0,0
1724298591,Device: id=0,TX,36.914116873277,18900.042562756,24806.301262481,856296246,54802959744
1724298592,Device: id=0,RX,0,0,0,0,0
1724298592,Device: id=0,TX,36.987028125542,18937.326310941,24855.250811028,893475375,57182419968
1724298593,Device: id=0,RX,0,0,0,0,0
1724298593,Device: id=0,TX,36.969406249299,18928.336508938,24843.441508826,930641021,59561021376
1724298594,Device: id=0,RX,0,0,0,0,0
1724298594,Device: id=0,TX,36.923301557292,18904.761972876,24812.490222043,967761310,61936723840
1724298595,Device: id=0,RX,0,0,0,0,0
1724298595,Device: id=0,TX,36.979342408717,18933.408034379,24850.102819774,1004936977,64315964608
1724298596,Device: id=0,RX,0,0,0,0,0
1724298596,Device: id=0,TX,36.967684871166,18927.443449293,24842.27302868,1042100167,66694407360
1724298597,Device: id=0,RX,0,0,0,0,0
1724298597,Device: id=0,TX,36.924504123503,18905.344074052,24813.264733813,1079220764,69070125312
1724298598,Device: id=0,RX,0,0,0,0,0
1724298598,Device: id=0,TX,37.000287292889,18944.147603285,24864.193570147,1116415336,71450577984
1724298599,Device: id=0,RX,0,0,0,0,0
1724298599,Device: id=0,TX,36.958197004462,18922.599412759,24835.910933473,1153569834,73828466176
1724298600,Device: id=0,RX,0,0,0,0,0
1724298600,Device: id=0,TX,36.713374015169,18797.272957917,24671.412800344,1190481971,76190846144
1724298601,Device: id=0,RX,0,0,0,0,0
1724298601,Device: id=0,TX,36.989870858957,18938.813879786,24857.193217219,1227665259,78570576576
1724298602,Device: id=0,RX,0,0,0,0,0
1724298602,Device: id=0,TX,36.926455634776,18906.321349992,24814.554251556,1264790713,80946602624
1724298603,Device: id=0,RX,0,0,0,0,0
1724298603,Device: id=0,TX,36.937704767176,18912.126231033,24822.158993781,1301924866,83323191104
1724298604,Device: id=0,RX,0,0,0,0,0
1724298604,Device: id=0,TX,36.990575449543,18939.145102727,24857.637174654,1339126607,85704098816
1724298605,Device: id=0,RX,0,0,0,0,0
1724298605,Device: id=0,TX,36.917965148718,18902.01547567,24808.889899465,1376233162,88078920512
1724298606,Device: id=0,RX,0,0,0,0,0
1724298606,Device: id=0,TX,36.946259966871,18916.467783822,24827.869378521,1413368821,90455600512
1724298607,Device: id=0,RX,0,0,0,0,0
1724298607,Device: id=0,TX,36.991731913896,18939.782529036,24858.45963526,1450554726,92835500416
1724298608,Device: id=0,RX,0,0,0,0,0
1724298608,Device: id=0,TX,36.923438078303,18904.816544273,24812.566636802,1487786806,95218355584
1724298609,Device: id=0,RX,0,0,0,0,0
1724298609,Device: id=0,TX,36.958210217065,18922.577657748,24835.891292478,1524942248,97596300608
1724298610,Device: id=0,RX,0,0,0,0,0
1724298610,Device: id=0,TX,36.963932365524,18925.553742991,24839.782921475,1562102427,99974554624
1724298611,Device: id=0,RX,0,0,0,0,0
1724298611,Device: id=0,TX,36.928872265145,18907.556115824,24816.175678247,1599226610,102350499008
1724298612,Device: id=0,RX,0,0,0,0,0
1724298612,Device: id=0,TX,36.967656204742,18927.439976828,24842.264969587,1636388919,104728886784
1724298613,Device: id=0,RX,0,0,0,0,0
1724298613,Device: id=0,TX,36.96852987589,18927.91938252,24842.884162663,1673553243,107107407552
1724298614,Device: id=0,RX,0,0,0,0,0
1724298614,Device: id=0,TX,36.925784471075,18905.977203001,24814.102718373,1710675105,109483203648
1724298615,Device: id=0,RX,0,0,0,0,0
1724298615,Device: id=0,TX,36.980835842565,18934.21239756,24851.146132371,1747852345,111862550080
1724298616,Device: id=0,RX,0,0,0,0,0
1724298616,Device: id=0,TX,36.719747282611,18800.498895721,24675.658460938,1784769670,114225257408
1724298617,Device: id=0,RX,0,0,0,0,0
1724298617,Device: id=0,TX,36.914758618113,18900.357430917,24806.718809815,1821885839,116600692352
1724298618,Device: id=0,RX,0,0,0,0,0
1724298618,Device: id=0,TX,36.983464567035,18935.536910605,24852.891241331,1859108202,118982923968
1724298619,Device: id=0,RX,0,0,0,0,0
1724298619,Device: id=0,TX,36.972075221878,18929.67806696,24845.21010246,1896275913,121361654400
1724298620,Device: id=0,RX,0,0,0,0,0
1724298620,Device: id=0,TX,36.898674512321,18892.153432304,24795.941354275,1933374717,123735981888
1724298621,Device: id=0,RX,0,0,0,0,0
1724298621,Device: id=0,TX,37.002729344051,18945.377569587,24865.814264635,1970588850,126117683904
1724298622,Device: id=0,RX,0,0,0,0,0
1724298622,Device: id=0,TX,36.95377802122,18920.354154685,24832.95863808,2007841462,128501853568
1724298623,Device: id=0,RX,0,0,0,0,0
1724298623,Device: id=0,TX,36.926959800396,18906.578970036,24814.892538099,2044962111,130877572032
1724298624,Device: id=0,RX,0,0,0,0,0
1724298624,Device: id=0,TX,36.999031412403,18943.514270212,24863.359296196,2082153413,133257816640
1724298625,Device: id=0,RX,0,0,0,0,0
1724298625,Device: id=0,TX,36.938896764045,18912.697316022,24822.920798269,2119284661,135634214272
1724298626,Device: id=0,RX,0,0,0,0,0
1724298626,Device: id=0,TX,36.942641230826,18914.632310183,24825.454907115,2156422714,138011049664
1724298627,Device: id=0,RX,0,0,0,0,0
1724298627,Device: id=0,TX,36.997172951789,18942.552551316,24862.100223602,2193611859,140391154944
1724298628,Device: id=0,RX,0,0,0,0,0
1724298628,Device: id=0,TX,36.961561269768,18924.351460964,24838.201264127,2230763645,142768873280
1724298629,Device: id=0,RX,0,0,0,0,0
1724298629,Device: id=0,TX,36.944546832575,18915.608422647,24826.735915859,2249696055,143980547520
