,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
0,2,32,-1,bridge-vhost,0,1,read,192.3874352478542,323.0,425.0,158682.0,,
1,2,32,-1,bridge-vhost,0,1,update,185.8145973260078,315.0,415.0,158714.0,,
2,2,32,-1,bridge-vhost,0,1,overall,,,,,61020.0,5201.507702392658
0,2,32,-1,bridge-vhost,0,2,read,180.04783870816095,300.0,408.0,170176.0,,
1,2,32,-1,bridge-vhost,0,2,update,173.75822019422296,293.0,400.0,169187.0,,
2,2,32,-1,bridge-vhost,0,2,overall,,,,,61019.0,5561.595568593389
0,2,32,-1,bridge-vhost,0,3,read,182.72056292577986,328.0,415.0,167340.0,,
1,2,32,-1,bridge-vhost,0,3,update,176.75721839852275,321.0,406.0,166796.0,,
2,2,32,-1,bridge-vhost,0,3,overall,,,,,61013.0,5476.472227230262
0,2,32,-1,bridge-vhost,0,4,read,184.56367305995673,305.0,409.0,165486.0,,
1,2,32,-1,bridge-vhost,0,4,update,178.48293163586683,298.0,403.0,165423.0,,
2,2,32,-1,bridge-vhost,0,4,overall,,,,,61016.0,5423.31519601416
0,2,32,-1,bridge-vhost,0,5,read,176.66245184576763,300.0,416.0,172882.0,,
1,2,32,-1,bridge-vhost,0,5,update,170.615585946302,294.0,410.0,173079.0,,
2,2,32,-1,bridge-vhost,0,5,overall,,,,,61017.0,5669.911663962503
0,2,32,-1,bridge-vhost,0,6,read,192.6171167754008,347.0,432.0,158184.0,,
1,2,32,-1,bridge-vhost,0,6,update,186.664450298737,342.0,423.0,158668.0,,
2,2,32,-1,bridge-vhost,0,6,overall,,,,,61017.0,5192.8478948489765
0,2,32,-1,bridge-vhost,0,7,read,179.19202251415948,300.0,404.0,170204.0,,
1,2,32,-1,bridge-vhost,0,7,update,173.36994487450153,296.0,399.0,170520.0,,
2,2,32,-1,bridge-vhost,0,7,overall,,,,,61018.0,5583.9916090334
0,2,32,-1,bridge-vhost,0,8,read,182.34427742223545,303.0,410.0,167975.0,,
1,2,32,-1,bridge-vhost,0,8,update,176.3152560614667,297.0,403.0,167245.0,,
2,2,32,-1,bridge-vhost,0,8,overall,,,,,61015.0,5494.058837990658
0,2,32,-1,bridge-vhost,0,9,read,204.24316263552961,378.0,438.0,149875.0,,
1,2,32,-1,bridge-vhost,0,9,update,196.6197553790556,370.0,430.0,149701.0,,
2,2,32,-1,bridge-vhost,0,9,overall,,,,,61022.0,4909.311395890007
0,2,32,-1,bridge-vhost,0,10,read,201.73674593471887,364.0,434.0,152142.0,,
1,2,32,-1,bridge-vhost,0,10,update,193.5087380172788,353.0,427.0,152094.0,,
2,2,32,-1,bridge-vhost,0,10,overall,,,,,61017.0,4986.085844928462
0,2,32,-1,bridge-vhost,0,11,read,190.19062346374278,365.0,430.0,160699.0,,
1,2,32,-1,bridge-vhost,0,11,update,183.30591360146957,356.0,422.0,161137.0,,
2,2,32,-1,bridge-vhost,0,11,overall,,,,,61022.0,5274.097866343286
0,2,32,-1,bridge-vhost,0,12,read,199.8205772714147,377.0,443.0,152372.0,,
1,2,32,-1,bridge-vhost,0,12,update,193.89642880502322,371.0,437.0,152890.0,,
2,2,32,-1,bridge-vhost,0,12,overall,,,,,61018.0,5002.818840342194
0,2,32,-1,bridge-vhost,0,13,read,173.98924706712333,300.0,404.0,175766.0,,
1,2,32,-1,bridge-vhost,0,13,update,168.2385330531317,293.0,394.0,175112.0,,
2,2,32,-1,bridge-vhost,0,13,overall,,,,,61013.0,5750.872764820612
0,2,32,-1,bridge-vhost,0,14,read,174.25641874536217,285.0,390.0,175190.0,,
1,2,32,-1,bridge-vhost,0,14,update,168.3359520304887,278.0,381.0,175278.0,,
2,2,32,-1,bridge-vhost,0,14,overall,,,,,61020.0,5743.49393641429
0,2,32,-1,bridge-vhost,0,15,read,175.18813212578155,309.0,396.0,174016.0,,
1,2,32,-1,bridge-vhost,0,15,update,169.48577483230727,302.0,390.0,174128.0,,
2,2,32,-1,bridge-vhost,0,15,overall,,,,,61018.0,5705.595070307122
0,2,32,-1,bridge-vhost,0,16,read,176.18836185819072,290.0,394.0,173825.0,,
1,2,32,-1,bridge-vhost,0,16,update,169.97953246753247,283.0,386.0,173250.0,,
2,2,32,-1,bridge-vhost,0,16,overall,,,,,61015.0,5688.35532246169
0,2,32,-1,bridge-vhost,0,17,read,178.34200386484744,301.0,401.0,170770.0,,
1,2,32,-1,bridge-vhost,0,17,update,172.83388988482312,293.0,391.0,170694.0,,
