,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
0,2,64,-1,bridge-e1000,0,1,read,371.06680289023745,534.0,672.0,81239.0,,
1,2,64,-1,bridge-e1000,0,1,update,366.80844338813614,530.0,672.0,81626.0,,
2,2,64,-1,bridge-e1000,0,1,overall,,,,,61017.0,2669.174164577085
0,2,64,-1,bridge-e1000,0,2,read,363.2330140156102,523.0,650.0,83407.0,,
1,2,64,-1,bridge-e1000,0,2,update,358.0516593650603,515.0,642.0,83315.0,,
2,2,64,-1,bridge-e1000,0,2,overall,,,,,61023.0,2732.117398357996
0,2,64,-1,bridge-e1000,0,3,read,347.5686816044004,505.0,617.0,86537.0,,
1,2,64,-1,bridge-e1000,0,3,update,344.2330269551664,502.0,612.0,87256.0,,
2,2,64,-1,bridge-e1000,0,3,overall,,,,,61020.0,2848.131760078663
0,2,64,-1,bridge-e1000,0,4,read,363.36173936131695,524.0,645.0,82858.0,,
1,2,64,-1,bridge-e1000,0,4,update,361.12584759541846,519.0,654.0,83029.0,,
2,2,64,-1,bridge-e1000,0,4,overall,,,,,61021.0,2718.523131381
0,2,64,-1,bridge-e1000,0,5,read,357.6889981051634,518.0,641.0,84440.0,,
1,2,64,-1,bridge-e1000,0,5,update,354.02340289456856,513.0,633.0,84434.0,,
2,2,64,-1,bridge-e1000,0,5,overall,,,,,61020.0,2767.5188462799083
0,2,64,-1,bridge-e1000,0,6,read,358.55024377513377,525.0,641.0,84299.0,,
1,2,64,-1,bridge-e1000,0,6,update,354.57449029212574,517.0,635.0,84313.0,,
2,2,64,-1,bridge-e1000,0,6,overall,,,,,61020.0,2763.2251720747295
0,2,64,-1,bridge-e1000,0,7,read,365.36305663379704,536.0,652.0,82954.0,,
1,2,64,-1,bridge-e1000,0,7,update,360.8153104600889,529.0,646.0,82571.0,,
2,2,64,-1,bridge-e1000,0,7,overall,,,,,61016.0,2712.8130326471746
