,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
0,2,8,-1,vmux-dpdk-e810,1,1,read,100.88489418779945,121.0,165.0,297839.0,,
1,2,8,-1,vmux-dpdk-e810,1,1,update,99.61383105653346,119.0,164.0,298372.0,,
2,2,8,-1,vmux-dpdk-e810,1,1,overall,,,,,61031.0,9768.986252887877
0,2,8,-1,vmux-dpdk-e810,1,2,read,98.98895040346324,119.0,163.0,303993.0,,
1,2,8,-1,vmux-dpdk-e810,1,2,update,97.61453184950213,118.0,161.0,303898.0,,
2,2,8,-1,vmux-dpdk-e810,1,2,overall,,,,,61015.0,9962.976317299024
0,2,8,-1,vmux-dpdk-e810,1,3,read,102.47225423444804,121.0,167.0,292423.0,,
1,2,8,-1,vmux-dpdk-e810,1,3,update,101.46501149488111,120.0,169.0,292739.0,,
2,2,8,-1,vmux-dpdk-e810,1,3,overall,,,,,61025.0,9588.889799262597
0,2,8,-1,vmux-dpdk-e810,1,4,read,100.53058095273168,119.0,159.0,298699.0,,
1,2,8,-1,vmux-dpdk-e810,1,4,update,99.22625880184701,117.0,157.0,299511.0,,
2,2,8,-1,vmux-dpdk-e810,1,4,overall,,,,,61015.0,9804.310415471606
0,2,8,-1,vmux-dpdk-e810,1,5,read,102.70789542581441,121.0,162.0,294107.0,,
1,2,8,-1,vmux-dpdk-e810,1,5,update,100.74881437525322,120.0,160.0,293727.0,,
2,2,8,-1,vmux-dpdk-e810,1,5,overall,,,,,61016.0,9634.095974826276
0,2,8,-1,vmux-dpdk-e810,1,6,read,100.38839562668018,119.0,158.0,299818.0,,
1,2,8,-1,vmux-dpdk-e810,1,6,update,98.64384886991562,118.0,156.0,300774.0,,
2,2,8,-1,vmux-dpdk-e810,1,6,overall,,,,,61021.0,9842.382130741877
0,2,8,-1,vmux-dpdk-e810,1,7,read,101.12098020457724,120.0,168.0,298958.0,,
1,2,8,-1,vmux-dpdk-e810,1,7,update,99.23466266947187,119.0,166.0,297542.0,,
2,2,8,-1,vmux-dpdk-e810,1,7,overall,,,,,61024.0,9774.842684845307
0,2,8,-1,vmux-dpdk-e810,1,8,read,102.30963867350876,123.0,173.0,292893.0,,
1,2,8,-1,vmux-dpdk-e810,1,8,update,100.68168101912039,121.0,173.0,294607.0,,
2,2,8,-1,vmux-dpdk-e810,1,8,overall,,,,,61025.0,9627.20196640721
