Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1728500433,Device: id=0,RX,9.9308259134631e-07,0.0010645845379232,0.0012234777525387,1,134
1728500433,Device: id=0,TX,18.033003673753,9232.9285757404,12118.209163541,19126297,1224083008
1728500434,Device: id=0,RX,0,0,0,1,134
1728500434,Device: id=0,TX,25.595380621028,13104.834877966,17200.095777331,44901671,2873706944
1728500435,Device: id=0,RX,0,0,0,1,134
1728500435,Device: id=0,TX,31.665964006974,16212.94251465,21279.496755766,76746148,4911749568
1728500436,Device: id=0,RX,0,0,0,1,134
1728500436,Device: id=0,TX,31.632145398658,16195.675252378,21256.818516163,108543406,6946776192
1728500437,Device: id=0,RX,0,0,0,1,134
1728500437,Device: id=0,TX,31.580944698092,16169.457891358,21222.409043052,140413497,8986463808
1728500438,Device: id=0,RX,0,0,0,1,134
1728500438,Device: id=0,TX,31.651825135076,16205.734469159,21270.026490771,172238572,11023268608
1728500439,Device: id=0,RX,0,0,0,1,134
1728500439,Device: id=0,TX,31.628184689574,16193.610190504,21254.119740836,204036682,13058345088
1728500440,Device: id=0,RX,0,0,0,1,134
1728500440,Device: id=0,TX,31.605823323455,16182.201911808,21239.133643561,235812870,15092023680
1728500441,Device: id=0,RX,0,0,0,1,134
1728500441,Device: id=0,TX,31.681624359064,16220.986579024,21290.046476474,267663595,17130469440
1728500442,Device: id=0,RX,0,0,0,1,134
1728500442,Device: id=0,TX,31.618243339936,16188.521239792,21247.440174182,299454625,19165092928
1728500443,Device: id=0,RX,0,0,0,1,134
1728500443,Device: id=0,TX,31.615197311706,16187.005460293,21245.437030165,331250044,21200002816
1728500444,Device: id=0,RX,0,0,0,1,134
1728500444,Device: id=0,TX,31.658532263161,16209.168518739,21274.533680844,363083434,23237339776
1728500445,Device: id=0,RX,0,0,0,1,134
1728500445,Device: id=0,TX,31.660522945531,16210.187748112,21275.871419396,394984677,25279019328
1728500446,Device: id=0,RX,0,0,0,1,134
1728500446,Device: id=0,TX,31.606951682233,16182.759261304,21239.871530461,426753555,27312227520
1728500447,Device: id=0,RX,9.9478280137432e-07,0.0005889114184136,0.00074807666663349,2,208
1728500447,Device: id=0,TX,31.575779533894,16166.799121354,21218.923846776,458495532,29343714048
1728500448,Device: id=0,RX,0,0,0,2,208
1728500448,Device: id=0,TX,31.657655235122,16208.715915004,21273.940752624,490318533,31380385664
1728500449,Device: id=0,RX,0,0,0,2,208
1728500449,Device: id=0,TX,31.6582560216,16209.005751524,21274.32671498,522232745,33422892544
1728500450,Device: id=0,RX,9.9068212335072e-07,0.00058648381702363,0.00074499295675974,3,282
1728500450,Device: id=0,TX,31.615102596796,16186.957383549,21245.373799036,554145517,35465313088
1728500451,Device: id=0,RX,0,0,0,3,282
1728500451,Device: id=0,TX,31.677626318709,16218.944675179,21287.364886172,585990752,37503408128
1728500452,Device: id=0,RX,0,0,0,3,282
1728500452,Device: id=0,TX,31.641401010174,16200.397317209,21263.021478837,617801336,39539285504
1728500453,Device: id=0,RX,0,0,0,3,282
1728500453,Device: id=0,TX,31.63058076787,16194.82526741,21255.718190269,649599762,41574380736
1728500454,Device: id=0,RX,0,0,0,3,282
1728500454,Device: id=0,TX,31.64976177676,16204.710110619,21268.671994901,681422253,43611024192
1728500455,Device: id=0,RX,0,0,0,3,282
1728500455,Device: id=0,TX,31.681341733259,16220.843920876,21289.858598198,713368230,45655566336
1728500456,Device: id=0,RX,0,0,0,3,282
1728500456,Device: id=0,TX,31.634089937214,16196.644371917,21258.098761872,745172536,47691040704
1728500457,Device: id=0,RX,0,0,0,3,282
1728500457,Device: id=0,TX,31.56589059244,16161.735475547,21212.277970338,777000633,49728038848
1728500458,Device: id=0,RX,0,0,0,3,282
1728500458,Device: id=0,TX,31.653272107145,16206.456474796,21270.980011939,808821775,51764589568
1728500459,Device: id=0,RX,0,0,0,3,282
1728500459,Device: id=0,TX,31.641792888823,16200.597959077,21263.284821289,840632736,53800491072
1728500460,Device: id=0,RX,0,0,0,3,282
1728500460,Device: id=0,TX,31.573888789317,16165.863143027,21217.685349318,872376982,55832126848
1728500461,Device: id=0,RX,0,0,0,3,282
1728500461,Device: id=0,TX,31.673347147633,16216.734895364,21284.470438985,904218032,57869951680
1728500462,Device: id=0,RX,0,0,0,3,282
1728500462,Device: id=0,TX,31.641445188858,16200.438780887,21263.070011104,936027067,59905732288
1728500463,Device: id=0,RX,0,0,0,3,282
1728500463,Device: id=0,TX,31.622215187056,16190.571629323,21250.126059252,967817554,61940323136
1728500464,Device: id=0,RX,0,0,0,3,282
