Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1728506269,Device: id=0,RX,9.9906682958386e-07,0.0010709996413139,0.0012308503340473,1,134
1728506269,Device: id=0,TX,31.631637779435,16195.38346599,21256.445510699,33302146,2131337920
1728506270,Device: id=0,RX,0,0,0,1,134
1728506270,Device: id=0,TX,31.654120347705,16206.893285711,21271.552541344,65056441,4163610752
1728506271,Device: id=0,RX,0,0,0,1,134
1728506271,Device: id=0,TX,31.665594043114,16212.784150074,21279.279196973,96886115,6200709888
1728506272,Device: id=0,RX,0,0,0,1,134
1728506272,Device: id=0,TX,31.711483928092,16236.289408962,21310.126837457,128894456,8249244928
1728506273,Device: id=0,RX,0,0,0,1,134
1728506273,Device: id=0,TX,31.693149006682,16226.886689688,21297.790530757,160758843,10288564992
1728506274,Device: id=0,RX,0,0,0,1,134
1728506274,Device: id=0,TX,31.644540128397,16202.016768715,21265.143189258,192571728,12324591168
1728506275,Device: id=0,RX,0,0,0,1,134
1728506275,Device: id=0,TX,31.619838020271,16189.372854133,21248.546937376,224360294,14359061376
1728506276,Device: id=0,RX,0,0,0,1,134
1728506276,Device: id=0,TX,31.702891124989,16231.878728438,21304.341308436,256238414,16399260864
1728506277,Device: id=0,RX,0,0,0,1,134
1728506277,Device: id=0,TX,31.709595097173,16235.293848308,21308.829063856,288120607,18439718848
1728506278,Device: id=0,RX,0,0,0,1,134
1728506278,Device: id=0,TX,31.6825934248,16221.490379887,21290.705327855,319972543,20478243072
1728506279,Device: id=0,RX,0,0,0,1,134
1728506279,Device: id=0,TX,31.658621479754,16209.231969765,21274.611406525,351894574,22521255296
1728506280,Device: id=0,RX,9.9468247177813e-07,0.00058885202329265,0.00074800121877715,2,208
1728506280,Device: id=0,TX,31.665021458446,16212.490986724,21278.894420076,383726705,24558511680
1728506281,Device: id=0,RX,1.9892607299864e-06,0.001177642352152,0.0014959240689498,4,356
1728506281,Device: id=0,TX,31.665463738424,16212.717434073,21279.191632221,415560347,26595864768
1728506282,Device: id=0,RX,2.9844901501968e-06,0.0017668181689165,0.002244336592948,7,578
1728506282,Device: id=0,TX,31.671272965216,16215.681571274,21283.085245709,447396656,28633387264
1728506283,Device: id=0,RX,0,0,0,7,578
1728506283,Device: id=0,TX,31.669509963207,16214.799288936,21281.920883049,479228514,30670627456
1728506284,Device: id=0,RX,0,0,0,7,578
1728506284,Device: id=0,TX,31.689810862971,16225.183161841,21295.552899916,511083262,32709331328
1728506285,Device: id=0,RX,1.9895663990374e-06,0.0011778233082301,0.0014961539320761,9,726
1728506285,Device: id=0,TX,31.659527530112,16209.646006888,21275.170411706,542908021,34746111872
1728506286,Device: id=0,RX,0,0,0,9,726
1728506286,Device: id=0,TX,31.626130572715,16192.57885323,21252.759744865,574802080,36787331648
1728506287,Device: id=0,RX,0,0,0,9,726
1728506287,Device: id=0,TX,31.697701108223,16229.235192001,21300.867369317,606664197,38826508672
1728506288,Device: id=0,RX,0,0,0,9,726
1728506288,Device: id=0,TX,31.710452635984,16235.755314957,21309.427736714,638540678,40866603904
1728506289,Device: id=0,RX,0,0,0,9,726
1728506289,Device: id=0,TX,31.668233405583,16214.145177986,21281.062522879,670384603,42904616320
1728506290,Device: id=0,RX,0,0,0,9,726
1728506290,Device: id=0,TX,31.653181154251,16206.410924123,21270.919908803,702203174,44941002624
1728506291,Device: id=0,RX,0,0,0,9,726
1728506291,Device: id=0,TX,31.71048745776,16235.794027847,21309.472021088,734077764,46980979456
1728506292,Device: id=0,RX,0,0,0,9,726
1728506292,Device: id=0,TX,31.72073747223,16241.017585782,21316.335581338,765963696,49021679104
1728506293,Device: id=0,RX,0,0,0,9,726
1728506293,Device: id=0,TX,31.689651399781,16225.080123066,21295.424347031,797816847,51060278080
1728506294,Device: id=0,RX,0,0,0,9,726
1728506294,Device: id=0,TX,31.655012787031,16207.355850432,21272.157896357,829636021,53096703872
1728506295,Device: id=0,RX,0,0,0,9,726
1728506295,Device: id=0,TX,31.723243019526,16242.308575282,21318.027458406,861525543,55137634304
1728506296,Device: id=0,RX,0,0,0,9,726
1728506296,Device: id=0,TX,31.710450792398,16235.766084517,21309.438211301,893404501,57177889536
1728506297,Device: id=0,RX,0,0,0,9,726
1728506297,Device: id=0,TX,31.679744721202,16220.037955308,21288.7971107,925252366,59216153984
1728506298,Device: id=0,RX,0,0,0,9,726
1728506298,Device: id=0,TX,31.68405343859,16222.235360558,21291.683910733,957106042,61254789248
1728506299,Device: id=0,RX,0,0,0,9,726
1728506299,Device: id=0,TX,31.743629367226,16252.73823602,21331.718934776,989019317,63297238848
1728506300,Device: id=0,RX,0,0,0,9,726
1728506300,Device: id=0,TX,31.742043865528,16251.913218325,21330.64023681,1020931988,65339648128
1728506301,Device: id=0,RX,0,0,0,9,726
1728506301,Device: id=0,TX,31.710124850293,16235.590034757,21309.210010804,1052811230,67379920384
1728506302,Device: id=0,RX,0,0,0,9,726
1728506302,Device: id=0,TX,31.692526272769,16226.580581001,21297.384784644,1084675602,69419241088
1728506303,Device: id=0,RX,0,0,0,9,726
1728506303,Device: id=0,TX,31.746874686857,16254.393217672,21333.893167569,1116585486,71461472832
1728506304,Device: id=0,RX,0,0,0,9,726
1728506304,Device: id=0,TX,31.711249644593,16236.159309067,21309.959252201,1148485847,73503095872
1728506305,Device: id=0,RX,0,0,0,9,726
1728506305,Device: id=0,TX,31.665715658964,16212.821463005,21279.335968439,1180321113,75540549760
1728506306,Device: id=0,RX,0,0,0,9,726
1728506306,Device: id=0,TX,31.676819065761,16218.534414784,21286.825465306,1212193879,77580407168
1728506307,Device: id=0,RX,0,0,0,9,726
1728506307,Device: id=0,TX,31.729612944683,16245.571503864,21322.309575014,1244093396,79621977472
1728506308,Device: id=0,RX,0,0,0,9,726
