Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1734722940,Device: id=0,RX,0.020077749279581,10.279807631146,13.492247515879,20123,1287872
1734722940,Device: id=0,TX,1.3446977022923,688.48522357367,903.63685594045,1419584,90853376
1734722941,Device: id=0,RX,0.021225158694642,10.867281251657,14.2633066428,41397,2649408
1734722941,Device: id=0,TX,1.3447402182014,688.50699171913,903.66542663136,2765225,176974400
1734722942,Device: id=0,RX,0.023965975198923,12.270579301849,16.105135333676,65530,4193920
1734722942,Device: id=0,TX,1.3447331069198,688.50335074292,903.66064785008,4119283,263634112
1734722943,Device: id=0,RX,0.021484652044804,11.00014184694,14.437686174108,87131,5576384
1734722943,Device: id=0,TX,1.3447482367419,688.51109721186,903.67081509057,5471340,350165760
1734722944,Device: id=0,RX,0.022610468877319,11.576560065187,15.194235085559,109864,7031296
1734722944,Device: id=0,TX,1.3447484084979,688.51118515093,903.6709305106,6823367,436695488
1734722945,Device: id=0,RX,0.02466305867048,12.627486039286,16.573575426563,134677,8619328
1734722945,Device: id=0,TX,1.3447309856585,688.50226465716,903.65922236252,8176257,523280448
1734722946,Device: id=0,RX,0.022208006866144,11.373364166327,14.926645264909,157004,10048616
1734722946,Device: id=0,TX,1.3447461158886,688.51001133498,903.66938987717,9528266,609809024
1734722947,Device: id=0,RX,0.016124778512953,8.2558865986317,10.835851160704,173216,11086184
1734722947,Device: id=0,TX,1.3447455240634,688.50970832047,903.66899217062,10880243,696335552
1734722948,Device: id=0,RX,0.018941531046435,9.6980638957745,12.728708863204,192259,12304936
1734722948,Device: id=0,TX,1.3447422613893,688.5080378313,903.66679965358,12232188,782860032
1734722949,Device: id=0,RX,0.01864104746149,9.544216300283,12.526783894121,211000,13504360
1734722949,Device: id=0,TX,1.3447372780839,688.50548637894,903.66345087236,13584149,869385536
1734722950,Device: id=0,RX,0.020265288803413,10.375827867348,13.618274075894,231441,14812584
1734722950,Device: id=0,TX,1.3447428475374,688.50833793914,903.66719354512,14940621,956199744
1734722951,Device: id=0,RX,0.022814944001874,11.68125132896,15.33164236926,254467,16286248
1734722951,Device: id=0,TX,1.3447337268881,688.5036681667,903.66106446879,16297844,1043062016
1734722952,Device: id=0,RX,0.021628865911021,11.073979346443,14.534597892206,276214,17678056
1734722952,Device: id=0,TX,1.3447442066121,688.5090337854,903.66810684334,17649788,1129586432
1734722953,Device: id=0,RX,0.022522299357124,11.531417270848,15.134985167987,298857,19127208
1734722953,Device: id=0,TX,1.3447456624669,688.50977918303,903.66908517773,19001797,1216115008
1734722954,Device: id=0,RX,0.023471235713093,12.017272685104,15.772670399199,322454,20637416
1734722954,Device: id=0,TX,1.3447347589472,688.50419658099,903.66175801255,20353678,1302635392
1734722955,Device: id=0,RX,0.02304158816387,11.797293139901,15.483947246121,345619,22119976
1734722955,Device: id=0,TX,1.3447418129315,688.50780822091,903.66649828994,21705623,1389159872
1734722956,Device: id=0,RX,0.021869809273846,11.197342348209,14.696511832024,367606,23527144
1734722956,Device: id=0,TX,1.3447544140485,688.51425999282,903.67496624057,23057584,1475685376
1734722957,Device: id=0,RX,0.022460680788598,11.499868563762,15.093577489938,390187,24972328
1734722957,Device: id=0,TX,1.3447381320359,688.50592360237,903.66402472811,24409544,1562210816
1734722958,Device: id=0,RX,0.021749494499598,11.135741183794,14.61566030373,412053,26371752
1734722958,Device: id=0,TX,1.3447331164069,688.50335560034,903.66065422545,25761474,1648734336
1734722959,Device: id=0,RX,0.022448358286163,11.493559442515,15.085296768301,434709,27821736
1734722959,Device: id=0,TX,1.3447409677449,688.50737548537,903.66593032455,27118763,1735600832
1734722960,Device: id=0,RX,0.022084434751684,11.307230592862,14.840740153132,456913,29242792
1734722960,Device: id=0,TX,1.3447701450107,688.52231424547,903.68553744718,28470693,1822124352
1734722961,Device: id=0,RX,0.022510034048371,11.525137432766,15.126742880505,479546,30691304
1734722961,Device: id=0,TX,1.344712489987,688.49279487334,903.64679327126,29822765,1908656960
1734722962,Device: id=0,RX,0.022011060732917,11.269663095253,14.79143281252,501675,32107560
1734722962,Device: id=0,TX,1.3447556697397,688.51490290673,903.67581006508,31174726,1995182464
1734722963,Device: id=0,RX,0.022188185232743,11.362515249039,14.912624886278,523982,33535480
1734722963,Device: id=0,TX,1.3447432067609,688.50037340986,903.65928649161,32526656,2081704960
1734722964,Device: id=0,RX,0.021682828105943,11.101607990243,14.570860487193,545781,34930616
1734722964,Device: id=0,TX,1.3447290504108,688.50942217627,903.66607024199,33878586,2168229504
1734722965,Device: id=0,RX,0.023229767218039,11.893640815636,15.610403570522,569134,36425208
1734722965,Device: id=0,TX,1.3447414711441,688.50763322576,903.66626860881,35230467,2254749888
1734722966,Device: id=0,RX,0.021749986057986,11.135992861689,14.615990630967,591036,37826936
1734722966,Device: id=0,TX,1.3447547515163,688.51443277636,903.67519301897,36584620,2341415680
1734722967,Device: id=0,RX,0.020728905732957,10.613199735274,13.929824652547,611876,39160696
1734722967,Device: id=0,TX,1.344742012246,688.50791026995,903.66663222931,37936565,2427940160
1734722968,Device: id=0,RX,0.02041961484183,10.454842799017,13.72198117371,632405,40474552
1734722968,Device: id=0,TX,1.3447426296002,688.50822635531,903.66704709134,39288526,2514465664
1734722969,Device: id=0,RX,0.021740787817652,11.13146297195,14.609989022774,648471,41502776
1734722969,Device: id=0,TX,1.3447419002671,688.50785293371,903.66655697645,40231955,2574845120
