Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1735847675,Device: id=0,RX,9.9455411641761e-07,0.00088316405537884,0.0010422927140057,1,111
1735847675,Device: id=0,TX,33.340638940279,17070.417442354,22404.919672799,35163261,2250450048
1735847676,Device: id=0,RX,0,0,0,1,111
1735847676,Device: id=0,TX,33.325338585882,17062.594787358,22394.648961099,68601512,4390500800
1735847677,Device: id=0,RX,9.9160753876371e-07,0.0026654410641969,0.0028240982703991,2,447
1735847677,Device: id=0,TX,33.36035610945,17080.495220116,22418.152197627,102243835,6543608576
1735847678,Device: id=0,RX,0,0,0,2,447
1735847678,Device: id=0,TX,33.362549768558,17081.607182207,22419.615145176,135848328,8694293824
1735847679,Device: id=0,RX,0,0,0,2,447
1735847679,Device: id=0,TX,33.332881903849,17066.428914588,22399.690019204,169361551,10839139264
1735847680,Device: id=0,RX,0,0,0,2,447
1735847680,Device: id=0,TX,33.338623918517,17069.385122927,22403.564949889,202877103,12984135808
1735847681,Device: id=0,RX,9.9467066268894e-07,0.0026577600107049,0.0028169073167351,3,781
1735847681,Device: id=0,TX,33.363406670448,17082.076437716,22420.221504987,236419451,15130847616
1735847682,Device: id=0,RX,0,0,0,3,781
1735847682,Device: id=0,TX,33.370019558336,17085.43880924,22424.641938574,269966295,17277844224
1735847683,Device: id=0,RX,0,0,0,3,781
1735847683,Device: id=0,TX,33.368396245494,17084.613275707,22423.556674986,303513473,19424862912
1735847684,Device: id=0,RX,1.9894436380073e-06,0.0010185951426597,0.0013369061247409,5,909
1735847684,Device: id=0,TX,33.361073300073,17080.891936779,22418.663664791,337054487,21571490624
1735847685,Device: id=0,RX,0,0,0,5,909
1735847685,Device: id=0,TX,33.356548195766,17078.525175934,22415.572887257,370590191,23717772224
1735847686,Device: id=0,RX,0,0,0,5,909
1735847686,Device: id=0,TX,33.347467506631,17073.903363395,22409.498164456,404120800,25863731200
1735847687,Device: id=0,RX,0,0,0,5,909
1735847687,Device: id=0,TX,33.341790955327,17070.996969128,22405.68352198,437642275,28009105600
1735847688,Device: id=0,RX,3.9753493954246e-06,0.0051520528164703,0.0057881087197383,9,1557
1735847688,Device: id=0,TX,33.349174877218,17074.777537136,22410.645517491,471196636,30156584704
1735847689,Device: id=0,RX,1.981446821541e-06,0.0018070795012454,0.0021241109926919,11,1785
1735847689,Device: id=0,TX,33.356298066801,17078.430697192,22415.43838788,504865344,32311382784
1735847690,Device: id=0,RX,4.973585707023e-06,0.0065890063446641,0.0073847800577878,16,2613
1735847690,Device: id=0,TX,33.366515024154,17083.64958072,22422.291984584,538408491,34458143424
1735847691,Device: id=0,RX,9.9462885767065e-07,0.00088323042561154,0.0010423710428388,17,2724
1735847691,Device: id=0,TX,33.380349231476,17090.747972902,22431.603849939,571969513,36606049984
1735847692,Device: id=0,RX,9.9476791911355e-07,0.0016234612439933,0.0017826241110515,18,2928
1735847692,Device: id=0,TX,33.373202594851,17087.101120065,22426.813535241,605518227,38753170368
1735847693,Device: id=0,RX,9.9466572020396e-07,0.0026736614559082,0.0028328079711409,19,3264
1735847693,Device: id=0,TX,33.378007742757,17089.509407811,22429.990646653,639074854,40900790656
