Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1735833402,Device: id=0,RX,9.9287336104603e-07,0.00088167154460888,0.0010405312823762,1,111
1735833402,Device: id=0,TX,33.449084317793,17125.910647119,22477.764137966,35317989,2260347264
1735833403,Device: id=0,RX,0,0,0,1,111
1735833403,Device: id=0,TX,33.457438422168,17130.223288084,22483.413435631,68847839,4406259520
1735833404,Device: id=0,RX,2.9843453627466e-06,0.0036926299955051,0.0041701252535446,4,575
1735833404,Device: id=0,TX,33.496941000012,17150.451109415,22509.961669417,102520011,6561280704
1735833405,Device: id=0,RX,9.9305457474774e-07,0.0005243328154668,0.00068322154742644,5,641
1735833405,Device: id=0,TX,33.482668005631,17143.099071247,22500.325952148,136236723,8719146880
1735833406,Device: id=0,RX,0,0,0,5,641
1735833406,Device: id=0,TX,33.477904114037,17140.694546243,22497.159204489,169890536,10872991872
1735833407,Device: id=0,RX,0,0,0,5,641
1735833407,Device: id=0,TX,33.482973920412,17143.281122476,22500.556949742,203619998,13031677248
1735833408,Device: id=0,RX,0,0,0,5,641
1735833408,Device: id=0,TX,33.492136654567,17147.994846471,22506.736711201,237292863,15186743232
1735833409,Device: id=0,RX,1.9892455020682e-06,0.0035090290656482,0.0038273083459791,7,1082
1735833409,Device: id=0,TX,33.462186796694,17132.639639907,22486.589527379,270936307,17339923648
1735833410,Device: id=0,RX,9.9461182045241e-07,0.00088321529656174,0.0010423531878341,8,1193
1735833410,Device: id=0,TX,33.475524154739,17139.468367227,22495.552231985,304594053,19494019392
1735833411,Device: id=0,RX,0,0,0,8,1193
1735833411,Device: id=0,TX,33.504323402642,17154.181506445,22514.873250868,338286699,21650344704
1735833412,Device: id=0,RX,9.9443504079135e-07,0.0026730413896471,0.0028321509961738,9,1529
1735833412,Device: id=0,TX,33.514446602236,17159.400734416,22521.712190774,371981542,23806815168
1735833413,Device: id=0,RX,9.9450440691761e-07,0.0026573157752838,0.0028164364803907,10,1863
1735833413,Device: id=0,TX,33.513155569737,17158.752452685,22520.857343843,405684236,25963789696
1735833414,Device: id=0,RX,0,0,0,10,1863
1735833414,Device: id=0,TX,33.52266954984,17163.618012175,22527.245140149,439390469,28120990016
1735833415,Device: id=0,RX,0,0,0,10,1863
1735833415,Device: id=0,TX,33.499719323257,17151.856293508,22511.811385229,473074990,30276799360
1735833416,Device: id=0,RX,0,0,0,10,1863
1735833416,Device: id=0,TX,33.515415662082,17159.877044589,22522.343550522,506797781,32435056000
1735833417,Device: id=0,RX,0,0,0,10,1863
1735833417,Device: id=0,TX,33.512589758229,17158.441372629,22520.455733946,540488884,34591286016
1735833418,Device: id=0,RX,0,0,0,10,1863
1735833418,Device: id=0,TX,33.524247107024,17164.419102068,22528.298639192,574194005,36748414336
1735833419,Device: id=0,RX,1.9892283654109e-06,0.0010184849230904,0.0013367614615561,12,1991
1735833419,Device: id=0,TX,33.501432907959,17152.749436082,22512.978701355,607875374,38904023936
1735833420,Device: id=0,RX,9.9466541798052e-07,0.0033739050977899,0.0035330515646668,13,2415
1735833420,Device: id=0,TX,33.304131258769,17051.683120909,22380.344122312,641358484,41046938944
1735833421,Device: id=0,RX,0,0,0,13,2415
1735833421,Device: id=0,TX,33.503076071058,17153.607027874,22514.099199243,675045901,43202937664
1735833422,Device: id=0,RX,0,0,0,13,2415
1735833422,Device: id=0,TX,33.50335319277,17153.704104003,22514.240614846,708731643,45358823552
1735833423,Device: id=0,RX,3.9791012121922e-06,0.0056662401261618,0.0063028963201125,17,3127
1735833423,Device: id=0,TX,33.494229015328,17149.043727818,22508.120370271,742400576,47513635072
1735833424,Device: id=0,RX,9.9477615093573e-07,0.00071623882867372,0.00087540301282344,18,3217
1735833424,Device: id=0,TX,33.471383693863,17137.330624807,22492.752015825,776047610,49667043008
1735833425,Device: id=0,RX,4.9736034737699e-06,0.0048701525215155,0.0056659290773187,23,3829
1735833425,Device: id=0,TX,33.497686526064,17150.830270897,22510.460115067,809723218,51822283776
1735833426,Device: id=0,RX,2.9844774416074e-06,0.004417026613579,0.0048945430042362,26,4384
1735833426,Device: id=0,TX,33.513027599839,17158.660962748,22520.745378723,843410349,53978259008
1735833427,Device: id=0,RX,9.947256672741e-07,0.0016233922889913,0.0017825483957552,27,4588
1735833427,Device: id=0,TX,33.52009412527,17162.31467548,22525.529735523,877108475,56134942400
1735833428,Device: id=0,RX,9.948265549244e-07,0.0026740937796368,0.0028332660284247,28,4924
1735833428,Device: id=0,TX,33.521419170874,17162.949806704,22526.376874044,910803829,58291442944
1735833429,Device: id=0,RX,1.9894311496853e-06,0.003199005288694,0.0035173142726437,30,5326
1735833429,Device: id=0,TX,33.518733504498,17161.608360734,22524.605721453,944501200,60448076800
1735833430,Device: id=0,RX,1.9896538693391e-06,0.0035097494255142,0.0038280940446085,32,5767
1735833430,Device: id=0,TX,33.492688770945,17148.239332939,22507.06953629,978168366,62602773248
1735833431,Device: id=0,RX,0,0,0,32,5767
1735833431,Device: id=0,TX,33.520362586294,17162.433321262,22525.691335069,1011701481,64748893568
1735833432,Device: id=0,RX,0,0,0,32,5767
1735833432,Device: id=0,TX,33.519407167437,17161.928829519,22525.033976309,1045395465,66905307584
1735833433,Device: id=0,RX,2.9843246041362e-06,0.0015438905952064,0.0020213825318682,35,5961
1735833433,Device: id=0,TX,33.512466593376,17158.381877157,22520.376532097,1079083892,69061366784
1735833434,Device: id=0,RX,0,0,0,35,5961
1735833434,Device: id=0,TX,33.519006006556,17161.728528603,22524.769489652,1112777236,71217740480
1735833435,Device: id=0,RX,0,0,0,35,5961
1735833435,Device: id=0,TX,33.506880588439,17155.511656124,22516.612550275,1146460076,73373440832
1735833436,Device: id=0,RX,0,0,0,35,5961
1735833436,Device: id=0,TX,33.499524993277,17151.768001658,22511.692000583,1180135691,75528681600
1735833437,Device: id=0,RX,0,0,0,35,5961
1735833437,Device: id=0,TX,33.50915959071,17156.710592795,22518.176127309,1213820800,77684531200
1735833438,Device: id=0,RX,1.9879854741003e-06,0.0035068063763129,0.0038248840521689,37,6402
1735833438,Device: id=0,TX,33.496092039803,17149.999124379,22509.373850748,1247519304,79841235456
1735833439,Device: id=0,RX,0,0,0,37,6402
1735833439,Device: id=0,TX,33.504562851119,17154.331086783,22515.061142962,1281201555,81996898880
1735833440,Device: id=0,RX,1.9895503849083e-06,0.0021327980126216,0.002451126074207,39,6670
1735833440,Device: id=0,TX,33.515068412418,17159.688032966,22522.098978952,1314892687,84153127936
1735833441,Device: id=0,RX,0,0,0,39,6670
