Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1735837450,Device: id=0,RX,0,0,0,0,0
1735837450,Device: id=0,TX,33.202796641643,16999.831880521,22312.279343184,34910253,2234256192
1735837451,Device: id=0,RX,0,0,0,0,0
1735837451,Device: id=0,TX,33.199161631114,16997.97075513,22309.836616108,68343151,4373961664
1735837452,Device: id=0,RX,0,0,0,0,0
1735837452,Device: id=0,TX,33.224787543529,17011.082565326,22327.048572291,101748470,6511900992
1735837453,Device: id=0,RX,1.9892262279561e-06,0.0010184838287135,0.0013367600251865,2,128
1735837454,Device: id=0,TX,33.194515979824,16995.586580276,22306.709137048,135124363,8647957440
1735837454,Device: id=0,RX,0,0,0,2,128
1735837455,Device: id=0,TX,33.207836712162,17002.401728436,22315.655602381,168593079,10789953920
1735837455,Device: id=0,RX,0,0,0,2,128
1735837456,Device: id=0,TX,33.194078595953,16995.37435233,22306.426927683,201965306,12925777216
1735837456,Device: id=0,RX,0,0,0,2,128
1735837457,Device: id=0,TX,33.227275856434,17012.361673567,22328.725810597,235370355,15063699904
1735837457,Device: id=0,RX,0,0,0,2,128
1735837458,Device: id=0,TX,33.263567631271,17030.940006693,22353.110827697,268812198,17203977024
1735837458,Device: id=0,RX,9.9467105705787e-07,0.0033739242255403,0.0035330715946696,3,552
1735837459,Device: id=0,TX,33.254896391486,17026.523757091,22347.307179729,302247867,19343861952
1735837459,Device: id=0,RX,0,0,0,3,552
1735837460,Device: id=0,TX,33.257908965398,17028.05804711,22349.323481574,335687008,21483968064
1735837460,Device: id=0,RX,9.9456696188621e-07,0.00088317546215496,0.0010423061760568,4,663
1735837461,Device: id=0,TX,33.189807182138,16993.161416602,22303.530565744,369056207,23619594304
1735837461,Device: id=0,RX,0,0,0,4,663
1735837462,Device: id=0,TX,33.234712298535,17016.173206125,22333.72717389,402468756,25757997504
1735837463,Device: id=0,RX,9.9467188265365e-07,0.002673678020573,0.0028328255217976,5,999
1735837463,Device: id=0,TX,33.243196598045,17020.5395755,22339.451031187,435889936,27896955904
1735837464,Device: id=0,RX,9.9467169468306e-07,0.0026736775153081,0.0028328249864574,6,1335
1735837464,Device: id=0,TX,33.225839621476,17011.597802274,22327.732141711,469293979,30034810624
1735837465,Device: id=0,RX,0,0,0,6,1335
1735837465,Device: id=0,TX,33.235513276966,17016.604698795,22334.28682311,502704026,32173056384
1735837466,Device: id=0,RX,0,0,0,6,1335
1735837466,Device: id=0,TX,33.208356461805,17002.656609758,22315.993643647,536090283,34309774080
1735837467,Device: id=0,RX,0,0,0,6,1335
1735837467,Device: id=0,TX,33.275360527543,17037.001397905,22361.059082312,569540253,36450574272
1735837468,Device: id=0,RX,0,0,0,6,1335
1735837468,Device: id=0,TX,33.249099298388,17023.53425733,22343.390145072,602967482,38589916352
1735837469,Device: id=0,RX,1.9895502227038e-06,0.0010186497140244,0.001336977749657,8,1463
1735837469,Device: id=0,TX,33.259363501423,17028.793094096,22350.291254323,636402079,40729730432
1735837470,Device: id=0,RX,0,0,0,8,1463
1735837470,Device: id=0,TX,33.259202549057,17028.729018726,22350.201426575,669842606,42869926336
1735837471,Device: id=0,RX,0,0,0,8,1463
1735837471,Device: id=0,TX,33.20665383897,17001.79201369,22314.856627926,703265667,45009000384
1735837472,Device: id=0,RX,0,0,0,8,1463
1735837472,Device: id=0,TX,33.242813609911,17020.306817223,22339.156994808,736684831,47147825152
