Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1735836076,Device: id=0,RX,0,0,0,0,0
1735836076,Device: id=0,TX,33.253981188507,17026.007837189,22346.64482735,35135352,2248662528
1735836077,Device: id=0,RX,0,0,0,0,0
1735836077,Device: id=0,TX,33.230678522576,17014.139520562,22331.048084175,68509847,4384634240
1735836078,Device: id=0,RX,9.9462616735079e-07,0.0033737719596539,0.00353291214643,1,424
1735836078,Device: id=0,TX,33.28565614438,17042.245251741,22367.950234842,101975463,6526432320
1735836079,Device: id=0,RX,0,0,0,1,424
1735836079,Device: id=0,TX,33.279573983822,17039.138315089,22363.870152501,135435897,8667899648
1735836080,Device: id=0,RX,0,0,0,1,424
1735836081,Device: id=0,TX,33.296007582381,17047.563521266,22374.924734447,168910233,10810258112
1735836081,Device: id=0,RX,0,0,0,1,424
1735836082,Device: id=0,TX,33.285731231479,17042.268926754,22367.98592379,202374050,12951939200
1735836082,Device: id=0,RX,0,0,0,1,424
1735836083,Device: id=0,TX,33.307248975247,17053.321660899,22382.481496938,235859280,15094995200
1735836083,Device: id=0,RX,0,0,0,1,424
1735836084,Device: id=0,TX,33.322086489075,17060.921523945,22392.455362197,269358681,17238958528
1735836084,Device: id=0,RX,0,0,0,1,424
1735836085,Device: id=0,TX,33.300810839114,17050.001908926,22378.131643184,302838812,19381685248
1735836085,Device: id=0,RX,0,0,0,1,424
1735836086,Device: id=0,TX,33.313577927489,17056.541713634,22386.714182033,336331497,21525215808
1735836086,Device: id=0,RX,0,0,0,1,424
1735836087,Device: id=0,TX,33.314484934022,17057.027996921,22387.345586364,369831742,23669232960
1735836087,Device: id=0,RX,0,0,0,1,424
1735836088,Device: id=0,TX,33.319371904947,17059.506703751,22390.606208542,403334381,25813400384
1735836088,Device: id=0,RX,1.9893412000645e-06,0.001018542694433,0.0013368372864433,3,552
1735836089,Device: id=0,TX,33.309971023999,17054.727571991,22384.322935831,436823178,27956686208
1735836089,Device: id=0,RX,0,0,0,3,552
1735836090,Device: id=0,TX,33.300071687568,17049.614295884,22377.625765895,470301354,30099286656
1735836091,Device: id=0,RX,0,0,0,3,552
1735836091,Device: id=0,TX,33.3206392012,17060.189607652,22391.491879844,503907458,32250080128
1735836092,Device: id=0,RX,0,0,0,3,552
1735836092,Device: id=0,TX,33.331092238911,17065.496817158,22398.471575384,537415304,34394579456
1735836093,Device: id=0,RX,0,0,0,3,552
1735836093,Device: id=0,TX,33.339291885115,17069.725593886,22404.012295504,570931723,36539631296
1735836094,Device: id=0,RX,0,0,0,3,552
1735836094,Device: id=0,TX,33.324103082832,17061.964715198,22393.821208451,604432927,38683711360
1735836095,Device: id=0,RX,0,0,0,3,552
1735836095,Device: id=0,TX,33.341785377942,17070.994113506,22405.679773977,637952890,40828988992
1735836096,Device: id=0,RX,0,0,0,3,552
1735836096,Device: id=0,TX,33.334291515026,17067.157255693,22400.643898098,671467623,42973931904
1735836097,Device: id=0,RX,0,0,0,3,552
1735836097,Device: id=0,TX,33.300327649047,17049.735673494,22377.788097342,704947705,45116653120
1735836098,Device: id=0,RX,0,0,0,3,552
1735836098,Device: id=0,TX,33.300825524528,17050.045077402,22378.177161326,738425604,47259241472
1735836099,Device: id=0,RX,0,0,0,3,552
1735836099,Device: id=0,TX,33.296826341591,17047.952679072,22375.444893727,771901008,49401664512
1735836100,Device: id=0,RX,9.9466731240852e-07,0.0026577510587556,0.0028168978287409,4,886
1735836100,Device: id=0,TX,33.299391141025,17049.310672252,22377.213254816,805378655,51544236736
1735836101,Device: id=0,RX,0,0,0,4,886
1735836101,Device: id=0,TX,33.332018364055,17066.003078604,22399.126016853,838889086,53688905536
1735836102,Device: id=0,RX,0,0,0,4,886
1735836102,Device: id=0,TX,33.344670956097,17072.457293909,22407.604646885,872468899,55838011776
1735836103,Device: id=0,RX,0,0,0,4,886
1735836103,Device: id=0,TX,33.322067299963,17060.885215735,22392.415983729,905967504,57981920832
1735836104,Device: id=0,RX,1.989446749054e-06,0.0010185967355156,0.0013369082153643,6,1014
1735836104,Device: id=0,TX,33.305063555099,17052.18795661,22380.998125426,939449856,60124790784
1735836105,Device: id=0,RX,0,0,0,6,1014
1735836105,Device: id=0,TX,33.315330603681,17057.481353495,22387.934250084,972943359,62268379008
1735836106,Device: id=0,RX,0,0,0,6,1014
1735836106,Device: id=0,TX,33.300385918117,17049.797590076,22377.859336975,1006420168,64410894784
1735836107,Device: id=0,RX,0,0,0,6,1014
1735836107,Device: id=0,TX,33.298056161714,17048.572669039,22376.261654913,1039894898,66553273472
1735836108,Device: id=0,RX,0,0,0,6,1014
1735836108,Device: id=0,TX,33.310644116728,17055.067614441,22384.770673117,1073379925,68696317440
1735836109,Device: id=0,RX,9.9472170473551e-07,0.0033740960224629,0.0035332514952205,7,1438
1735836109,Device: id=0,TX,33.183842466614,16990.141602729,22299.556397388,1106741038,70831430464
1735836110,Device: id=0,RX,0,0,0,7,1438
1735836110,Device: id=0,TX,33.30483114754,17052.053241306,22380.826224913,1140330867,72981176960
1735836111,Device: id=0,RX,0,0,0,7,1438
1735836111,Device: id=0,TX,33.33458033821,17067.30462389,22400.837478004,1173843940,75126013568
1735836112,Device: id=0,RX,0,0,0,7,1438
1735836112,Device: id=0,TX,33.325588353157,17062.704801877,22394.798938382,1207346570,77270182336
1735836113,Device: id=0,RX,0,0,0,7,1438
1735836113,Device: id=0,TX,33.302080833594,17050.650617116,22378.983550491,1240825234,79412814976
1735836114,Device: id=0,RX,0,0,0,7,1438
1735836114,Device: id=0,TX,33.294024300115,17046.572527219,22373.616415237,1274296118,81554955584
1735836115,Device: id=0,RX,0,0,0,7,1438
1735836115,Device: id=0,TX,33.29453894651,17046.771856129,22373.89808757,1307768641,83697193024
1735836116,Device: id=0,RX,0,0,0,7,1438
1735836116,Device: id=0,TX,33.283529287812,17041.177690556,22366.542376606,1341228942,85838653632
1735836117,Device: id=0,RX,0,0,0,7,1438
1735836117,Device: id=0,TX,33.298375524113,17048.770813791,22376.510897649,1374717720,87981935744
1735836118,Device: id=0,RX,9.9388859244429e-07,0.0026715725364902,0.0028305947112813,8,1774
1735836118,Device: id=0,TX,33.306792791976,17053.067223236,22382.154069953,1408229425,90126683520
1735836119,Device: id=0,RX,1.9894468375199e-06,0.0010185967808102,0.0013369082748134,10,1902
1735836119,Device: id=0,TX,33.318859344926,17059.285523755,22390.303018943,1441725201,92270416896
1735836120,Device: id=0,RX,0,0,0,10,1902
1735836120,Device: id=0,TX,32.651266948905,16717.429324842,21941.632036667,1474550249,94371217536
1735836121,Device: id=0,RX,0,0,0,10,1902
1735836121,Device: id=0,TX,33.239287692327,17018.523446905,22336.809477677,1507967253,96509906816
1735836122,Device: id=0,RX,0,0,0,10,1902
1735836122,Device: id=0,TX,33.314209777675,17056.87540617,22387.148970598,1541491308,98655446336
1735836123,Device: id=0,RX,0,0,0,10,1902
1735836123,Device: id=0,TX,33.302784252452,17051.013322435,22379.458802827,1574993610,100799592128
1735836124,Device: id=0,RX,0,0,0,10,1902
1735836124,Device: id=0,TX,33.260979161144,17029.635578013,22351.392243796,1608461176,102941518144
1735836125,Device: id=0,RX,0,0,0,10,1902
1735836125,Device: id=0,TX,33.295381440205,17047.222056201,22374.483086634,1641934626,105083817280
1735836126,Device: id=0,RX,0,0,0,10,1902
1735836126,Device: id=0,TX,33.3100012681,17054.724211695,22384.324414591,1675446335,107228567104
1735836127,Device: id=0,RX,0,0,0,10,1902
1735836127,Device: id=0,TX,33.327399807561,17063.647479046,22396.031448256,1709069115,109380427392
1735836128,Device: id=0,RX,0,0,0,10,1902
1735836128,Device: id=0,TX,33.314017467641,17056.757589146,22387.000383969,1742558210,111523727040
1735836129,Device: id=0,RX,0,0,0,10,1902
1735836129,Device: id=0,TX,33.325945969238,17062.903688656,22395.055043734,1776062551,113668007296
1735836130,Device: id=0,RX,0,0,0,10,1902
1735836130,Device: id=0,TX,33.308481093858,17053.916346342,22383.27332136,1809548370,115811096448
1735836131,Device: id=0,RX,0,0,0,10,1902
1735836131,Device: id=0,TX,33.317323367181,17058.485861683,22389.257600432,1843042144,117954700032
1735836132,Device: id=0,RX,0,0,0,10,1902
1735836132,Device: id=0,TX,33.321397053135,17060.564967476,22391.988495977,1876541677,120098671360
1735836133,Device: id=0,RX,0,0,0,10,1902
1735836133,Device: id=0,TX,33.30595205408,17052.615366112,22381.567694764,1910024534,122241570176
1735836134,Device: id=0,RX,1.9893324797625e-06,0.0010185382296384,0.0013368314264004,12,2030
1735836134,Device: id=0,TX,33.226652029244,17012.054496506,22328.318821185,1943429522,124379490496
1735836135,Device: id=0,RX,0,0,0,12,2030
1735836135,Device: id=0,TX,33.237121647144,17017.420032969,22335.359496512,1976846417,126518173504
1735836136,Device: id=0,RX,0,0,0,12,2030
1735836136,Device: id=0,TX,33.247669693308,17022.816559029,22342.443709958,2010272573,128657448704
1735836137,Device: id=0,RX,2.0229611937864e-07,0.00027375366131796,0.00030612104041855,12,2030
