Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1735835101,Device: id=0,RX,0,0,0,0,0
1735835101,Device: id=0,TX,33.279329877372,17038.986760273,22363.679540652,35259652,2256616960
1735835102,Device: id=0,RX,0,0,0,0,0
1735835102,Device: id=0,TX,33.281037304933,17039.914031918,22364.880000707,68697731,4396656896
1735835103,Device: id=0,RX,0,0,0,0,0
1735835103,Device: id=0,TX,33.303123120273,17051.207695253,22379.707394496,102179058,6539462912
1735835104,Device: id=0,RX,0,0,0,0,0
1735835104,Device: id=0,TX,33.316689692394,17058.145122506,22388.815473289,135675081,8683208384
1735835105,Device: id=0,RX,0,0,0,0,0
1735835105,Device: id=0,TX,33.287074172998,17042.981976575,22368.913844255,169140046,10824966144
1735835106,Device: id=0,RX,0,0,0,0,0
1735835106,Device: id=0,TX,33.305520857389,17052.414464162,22381.297801345,202645101,12969288128
1735835107,Device: id=0,RX,0,0,0,0,0
1735835107,Device: id=0,TX,33.298478909363,17048.83342426,22376.590049758,236121572,15111783808
1735835108,Device: id=0,RX,0,0,0,0,0
1735835108,Device: id=0,TX,33.304656957191,17051.957880425,22380.702993576,269605247,17254735680
1735835109,Device: id=0,RX,0,0,0,0,0
1735835109,Device: id=0,TX,33.332283041039,17066.155397667,22399.320684233,303117965,19399552960
1735835110,Device: id=0,RX,0,0,0,0,0
1735835110,Device: id=0,TX,33.303848556763,17051.543986972,22380.159756055,336610397,21543065280
1735835111,Device: id=0,RX,1.9843300545243e-06,0.00212720181845,0.0024446946271739,2,268
1735835111,Device: id=0,TX,33.321289840529,17060.494809889,22391.901184373,370191283,23692241280
1735835112,Device: id=0,RX,0,0,0,2,268
1735835112,Device: id=0,TX,33.34153446778,17070.897730958,22405.543245803,403712129,25837579456
1735835113,Device: id=0,RX,0,0,0,2,268
1735835113,Device: id=0,TX,33.325258302659,17062.500165077,22394.541493502,437214074,27981699904
1735835114,Device: id=0,RX,1.9892481260297e-06,0.0010184950405272,0.001336774740692,4,396
1735835114,Device: id=0,TX,33.31565361711,17057.624327577,22388.128906314,470710098,30125446656
1735835115,Device: id=0,RX,0,0,0,4,396
1735835115,Device: id=0,TX,33.315021379746,17057.301617603,22387.705038362,504277459,32273759104
1735835116,Device: id=0,RX,0,0,0,4,396
1735835116,Device: id=0,TX,33.324908584254,17062.332824113,22394.318197593,537780639,34417960064
1735835117,Device: id=0,RX,0,0,0,4,396
1735835117,Device: id=0,TX,33.318457531181,17059.082341758,22390.035546747,571275842,36561657088
1735835118,Device: id=0,RX,0,0,0,4,396
1735835118,Device: id=0,TX,33.317342252937,17058.479233504,22389.253993973,604770037,38705285568
1735835119,Device: id=0,RX,0,0,0,4,396
1735835119,Device: id=0,TX,33.317775968731,17058.684999237,22389.529154234,638266184,40849036928
1735835120,Device: id=0,RX,0,0,0,4,396
1735835120,Device: id=0,TX,33.322177549951,17060.959488958,22392.50789695,671767333,42993111040
1735835121,Device: id=0,RX,0,0,0,4,396
1735835121,Device: id=0,TX,33.343877779465,17072.066441749,22407.086886463,705285909,45138300032
1735835122,Device: id=0,RX,0,0,0,4,396
1735835122,Device: id=0,TX,33.343957950445,17072.111564368,22407.144836439,738801768,47283315648
1735835123,Device: id=0,RX,0,0,0,4,396
1735835123,Device: id=0,TX,33.345939169996,17073.11881751,22408.469084709,772319088,49428423872
1735835124,Device: id=0,RX,0,0,0,4,396
1735835124,Device: id=0,TX,33.334010393934,17067.012813937,22400.454476967,805931664,51579628672
1735835125,Device: id=0,RX,0,0,0,4,396
1735835125,Device: id=0,TX,33.342515229393,17071.375946148,22406.178382851,839451358,53724890112
1735835126,Device: id=0,RX,0,0,0,4,396
1735835126,Device: id=0,TX,33.351359082929,17075.863762558,22412.081215826,872977434,55870554944
1735835127,Device: id=0,RX,9.9473054031832e-07,0.0033741259927598,0.0035332828792107,5,820
1735835127,Device: id=0,TX,33.351285103603,17075.862047407,22412.067663983,906505838,58016373312
1735835128,Device: id=0,RX,1.9894412199492e-06,0.001018593904614,0.0013369044998059,7,948
1735835128,Device: id=0,TX,33.343118811137,17071.70484263,22406.603852412,940025928,60161662592
1735835129,Device: id=0,RX,0,0,0,7,948
1735835129,Device: id=0,TX,33.335046634496,17067.536237335,22401.143698854,973537577,62306407168
1735835130,Device: id=0,RX,0,0,0,7,948
1735835130,Device: id=0,TX,33.332807851563,17066.373175061,22399.622431311,1007049097,64451141376
1735835131,Device: id=0,RX,0,0,0,7,948
1735835131,Device: id=0,TX,33.365360376166,17083.096598175,22421.554258361,1040591677,66597870528
1735835132,Device: id=0,RX,0,0,0,7,948
1735835132,Device: id=0,TX,33.365408737734,17083.057189302,22421.522587339,1074135518,68744672320
1735835133,Device: id=0,RX,0,0,0,7,948
1735835133,Device: id=0,TX,33.358442856532,17079.554826109,22416.905683154,1107673248,70891091072
1735835134,Device: id=0,RX,0,0,0,7,948
1735835134,Device: id=0,TX,33.360563180196,17080.59663485,22418.286743682,1141212072,73037574336
1735835135,Device: id=0,RX,0,0,0,7,948
1735835135,Device: id=0,TX,33.336075687928,17068.079918545,22401.852028614,1174728802,75182646208
1735835136,Device: id=0,RX,0,0,0,7,948
1735835136,Device: id=0,TX,33.355475655719,17078.006082228,22414.882187143,1208261114,77328714496
1735835137,Device: id=0,RX,0,0,0,7,948
1735835137,Device: id=0,TX,33.334765664414,17067.398492353,22400.960998659,1241774213,79473552640
1735835138,Device: id=0,RX,0,0,0,7,948
1735835138,Device: id=0,TX,33.338593768282,17069.329451558,22403.504454483,1275289764,81618544064
1735835139,Device: id=0,RX,0,0,0,7,948
1735835139,Device: id=0,TX,33.334574308718,17067.334130058,22400.866019452,1308803049,83763398336
1735835140,Device: id=0,RX,0,0,0,7,948
1735835140,Device: id=0,TX,33.331581864106,17065.769914422,22398.823012679,1342336305,85909526720
1735835141,Device: id=0,RX,0,0,0,7,948
1735835141,Device: id=0,TX,33.335220205609,17067.632745272,22401.267978169,1375950013,88060804032
1735835142,Device: id=0,RX,0,0,0,7,948
1735835142,Device: id=0,TX,33.364236174673,17082.488921432,22420.76670938,1409589361,90213722304
1735835143,Device: id=0,RX,2.9841716385607e-06,0.0036764994587067,0.0041539669208765,10,1410
1735835143,Device: id=0,TX,33.355540173586,17078.00448316,22414.890910933,1443121924,92359802304
1735835144,Device: id=0,RX,0,0,0,10,1410
1735835144,Device: id=0,TX,33.296241441277,17047.690388279,22375.089018883,1476593221,94501967168
1735835145,Device: id=0,RX,0,0,0,10,1410
1735835145,Device: id=0,TX,33.345401441229,17072.850630878,22408.114861475,1510115605,96647400384
1735835146,Device: id=0,RX,0,0,0,10,1410
1735835146,Device: id=0,TX,33.349373866329,17074.878910286,22410.778728898,1543643468,98793183552
1735835147,Device: id=0,RX,0,0,0,10,1410
1735835147,Device: id=0,TX,33.337561688774,17068.812230362,22402.822100566,1577156224,100937997504
1735835148,Device: id=0,RX,0,0,0,10,1410
