Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1739924900,Device: id=0,RX,0.010511847372475,5.3826224051969,7.064517984793,10689,684166
1739924900,Device: id=0,TX,0.010502857210338,5.3774628916931,7.0579200453471,11088,709632
1739924901,Device: id=0,RX,0.012347070584773,6.3217001394038,8.2972314329675,23044,1474886
1739924901,Device: id=0,TX,0.01243370695518,6.366057961052,8.3554510738808,23547,1507008
1739924902,Device: id=0,RX,0.012527690664407,6.4141776201763,8.4186081264813,35639,2280966
1739924902,Device: id=0,TX,0.012525774035077,6.4131963059592,8.4173201515715,36140,2312960
1739924903,Device: id=0,RX,0.012607222772498,6.4548980595192,8.472053703119,48314,3092166
1739924903,Device: id=0,TX,0.012620154660264,6.461519186055,8.4807439316972,48828,3124992
1739924904,Device: id=0,RX,0.012639984628683,6.4716721298855,8.4940696704748,61023,3905542
1739924904,Device: id=0,TX,0.012644278754927,6.4738707225224,8.4969553233107,61541,3938624
1739924905,Device: id=0,RX,0.012648029332222,6.4757910180976,8.499475711253,73746,4719814
1739924905,Device: id=0,TX,0.012626146436512,6.4645869754939,8.4847704053358,74242,4751488
1739924906,Device: id=0,RX,0.012611556908762,6.4571171372861,8.474966242688,86425,5531270
1739924906,Device: id=0,TX,0.012615239919949,6.4590028390138,8.4774412262056,86925,5563200
1739924907,Device: id=0,RX,0.012689093575605,6.4968159107097,8.5270708828064,99182,6347718
1739924907,Device: id=0,TX,0.012685082059052,6.4947620142345,8.5243751436827,99678,6379392
1739924908,Device: id=0,RX,0.012625420497987,6.4642152949692,8.4842825746471,111875,7160070
1739924908,Device: id=0,TX,0.012620778220215,6.4618384487501,8.4811629639845,112366,7191424
1739924909,Device: id=0,RX,0.012548594045677,6.4248801513868,8.4326551986951,124492,7967558
1739924909,Device: id=0,TX,0.012567768141475,6.4346972884354,8.4455401910715,125003,8000192
1739924910,Device: id=0,RX,0.012478594829998,6.3890405529589,8.3856157257585,137038,8770502
1739924910,Device: id=0,TX,0.012476283843721,6.3878573279854,8.3840627429808,137546,8802944
1739924911,Device: id=0,RX,0.012524984042057,6.4127918295329,8.416789276262,149630,9576390
1739924911,Device: id=0,TX,0.012531642077253,6.4162007435534,8.4212634759138,150145,9609280
1739924912,Device: id=0,RX,0.012478259056939,6.3888686371527,8.3853900862629,162175,10379270
1739924912,Device: id=0,TX,0.012479290452688,6.3893967117763,8.3860831842063,162691,10412224
1739924913,Device: id=0,RX,0.012596606638287,6.4494625988028,8.4649196609287,174839,11189766
1739924913,Device: id=0,TX,0.012599832891968,6.4511144406877,8.4670877034025,175358,11222912
1739924914,Device: id=0,RX,0.012589640810897,6.4458960951795,8.460238624923,187496,11999814
1739924914,Device: id=0,TX,0.012586251026766,6.4441605257042,8.4579606899867,188012,12032768
1739924915,Device: id=0,RX,0.012612789234518,6.457748088073,8.4757943655958,200177,12811398
1739924915,Device: id=0,TX,0.012605921424561,6.4542317693752,8.471179197305,200686,12843904
1739924916,Device: id=0,RX,0.012678230771704,6.4912541551126,8.5197710785853,212923,13627142
1739924916,Device: id=0,TX,0.012670338942639,6.4872135386312,8.5144677694534,213424,13659136
1739924917,Device: id=0,RX,0.012543885710899,6.4224694839801,8.4294911977239,225534,14434246
1739924917,Device: id=0,TX,0.012562460984109,6.4319800238639,8.4419737813214,226055,14467520
1739924918,Device: id=0,RX,0.012613180880388,6.4579486107585,8.4760575516205,238216,15245894
1739924918,Device: id=0,TX,0.012605929382775,6.4542358439807,8.4711845452246,238730,15278720
1739924919,Device: id=0,RX,0.012486230331626,6.3929499297926,8.3907467828529,250771,16049414
1739924919,Device: id=0,TX,0.012492728931883,6.3962772131242,8.3951138422255,251290,16082560
1739924920,Device: id=0,RX,0.012564775161835,6.4331648828594,8.4435289087529,263403,16857862
1739924920,Device: id=0,TX,0.012546322558465,6.4237171499341,8.4311287592885,263904,16889856
1739924921,Device: id=0,RX,0.012425889617052,6.3620554839306,8.3501978226589,275896,17657414
1739924921,Device: id=0,TX,0.01244352908766,6.371086892882,8.3620515469077,276414,17690496
1739924922,Device: id=0,RX,0.012588636616853,6.4448726730224,8.4590545317188,288552,18467334
1739924922,Device: id=0,TX,0.012572757558645,6.4372518700263,8.4488930794095,289054,18499456
1739924923,Device: id=0,RX,0.012499130290374,6.400063984074,8.3999248305338,301118,19271622
1739924923,Device: id=0,TX,0.012492994733454,6.3964133035286,8.3952924608813,301614,19303296
1739924924,Device: id=0,RX,0.012561784052019,6.4316334346339,8.4415188829569,313747,20079878
1739924924,Device: id=0,TX,0.012559676300444,6.4305542658272,8.4401024738982,314241,20111424
1739924925,Device: id=0,RX,0.012488509822776,6.3941170292613,8.3922786009055,326303,20883462
1739924925,Device: id=0,TX,0.012475986958104,6.3877053225491,8.3838632358457,326784,20914176
1739924926,Device: id=0,RX,0.01251306969969,6.4066916862413,8.4087828381917,338883,21688582
1739924926,Device: id=0,TX,0.012532813941272,6.4168007379312,8.4220509685347,339384,21720576
1739924927,Device: id=0,RX,0.012482172098138,6.3908721142465,8.3880196499485,351432,22491718
1739924927,Device: id=0,TX,0.012488110067839,6.3939123547334,8.3920099655876,351939,22524096
1739924928,Device: id=0,RX,0.012518092711517,6.4092634682966,8.4121583021393,364019,23297286
1739924928,Device: id=0,TX,0.012514135473048,6.4072373622005,8.4094990378882,364522,23329408
1739924929,Device: id=0,RX,0.012553183049578,6.4272297214051,8.4357390093376,374600,23974470
1739924929,Device: id=0,TX,0.012556283422141,6.4288171121361,8.4378224596786,374599,23974336
