Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1739935499,Device: id=0,RX,0.021022040298945,10.763841245001,14.127367692833,21342,1365958
1739935499,Device: id=0,TX,0.020998341323979,10.751150757877,14.110885369714,22192,1420288
1739935500,Device: id=0,RX,0.023047173660211,11.800152914028,15.487700699662,44470,2846150
1739935500,Device: id=0,TX,0.023134365910414,11.844795346132,15.546293891798,45394,2905216
1739935501,Device: id=0,RX,0.023215635177607,11.886405210935,15.600906839352,67811,4339974
1739935501,Device: id=0,TX,0.023218850913242,11.88805166758,15.603067813699,68737,4399168
1739935502,Device: id=0,RX,0.02324362768853,11.900737376527,15.619717806692,91179,5835526
1739935502,Device: id=0,TX,0.023248858846348,11.90341572933,15.623233144746,92111,5895104
1739935503,Device: id=0,RX,0.023162940353022,11.859425460747,15.56549591723,114466,7325894
1739935503,Device: id=0,TX,0.023156259597652,11.856004913998,15.561006449622,115391,7385024
1739935504,Device: id=0,RX,0.023227614446393,11.892538596553,15.608956907976,137819,8820486
1739935504,Device: id=0,TX,0.02323157799196,11.894567931883,15.611620410597,138748,8879872
1739935505,Device: id=0,RX,0.023253599108477,11.90584274354,15.626418600896,161197,10316678
1739935505,Device: id=0,TX,0.023249613673845,11.903802201009,15.623740388824,162122,10375808
1739935506,Device: id=0,RX,0.023281451492926,11.920103164378,15.645135403246,184603,11814662
1739935506,Device: id=0,TX,0.023275952438392,11.917287648457,15.641440038599,185522,11873408
1739935507,Device: id=0,RX,0.023198845702964,11.877808999918,15.589624312392,207926,13307334
1739935507,Device: id=0,TX,0.023206156820007,11.881552291843,15.594537383045,208853,13366592
1739935508,Device: id=0,RX,0.023265488527564,11.911930126113,15.634408290523,231316,14804294
1739935508,Device: id=0,TX,0.023266673105052,11.912536629787,15.635204326595,232246,14863744
1739935509,Device: id=0,RX,0.023210429596818,11.883739953571,15.597408689062,254653,16297862
1739935509,Device: id=0,TX,0.023218853949942,11.88805322237,15.603069854361,255592,16357888
1739935510,Device: id=0,RX,0.023239522296631,11.898635415875,15.616958983336,278023,17793542
1739935510,Device: id=0,TX,0.023241200669778,11.899494742926,15.618086850091,278961,17853504
1739935511,Device: id=0,RX,0.023188950319103,11.872742563381,15.582974614437,301336,19285574
1739935511,Device: id=0,TX,0.023182492709933,11.869436267486,15.578635101075,302269,19345216
1739935512,Device: id=0,RX,0.023270258722381,11.914372465859,15.63761386144,324732,20782918
1739935512,Device: id=0,TX,0.023273267083417,11.91591274671,15.639635480057,325667,20842688
1739935513,Device: id=0,RX,0.023197707444899,11.877226211788,15.588859402972,348055,22275590
1739935513,Device: id=0,TX,0.023211367270842,11.884220042671,15.598038806006,349003,22336192
1739935514,Device: id=0,RX,0.023249547682634,11.903768413508,15.62369604273,371429,23771526
1739935514,Device: id=0,TX,0.023233320021718,11.89545985112,15.612791054595,372361,23831104
1739935515,Device: id=0,RX,0.02322574517821,11.891581531243,15.607700759757,394779,25265926
1739935515,Device: id=0,TX,0.023235750339475,11.896704173811,15.614424228127,395721,25326144
1739935516,Device: id=0,RX,0.023235665962261,11.896660972677,15.614367526639,418139,26760966
1739935516,Device: id=0,TX,0.023230985424261,11.894264537222,15.611222205104,419076,26820864
1739935517,Device: id=0,RX,0.02326156636446,11.909921978604,15.631772596917,441525,28257670
1739935517,Device: id=0,TX,0.02326998387432,11.914231743652,15.637429163543,442471,28318144
1739935518,Device: id=0,RX,0.023191904793669,11.874255254358,15.584960021345,464841,29749894
1739935518,Device: id=0,TX,0.023182077246527,11.869223550222,15.578355909666,465777,29809728
1739935519,Device: id=0,RX,0.023243168289486,11.900502164217,15.619409090535,488211,31245574
1739935519,Device: id=0,TX,0.023235703686046,11.896680287256,15.614392877023,489140,31304960
1739935520,Device: id=0,RX,0.023172748329119,11.864447144509,15.572086877168,511509,32736646
1739935520,Device: id=0,TX,0.023166110595362,11.861048624825,15.567626320083,512431,32795584
1739935521,Device: id=0,RX,0.023257674173203,11.90792917668,15.629157044393,534891,34233094
1739935521,Device: id=0,TX,0.023267186033992,11.912799249404,15.635549014842,535822,34292608
1739935522,Device: id=0,RX,0.023252536189845,11.905298529201,15.625704319576,558268,35729222
1739935522,Device: id=0,TX,0.023248113840585,11.90303428638,15.622732500873,559195,35788480
1739935523,Device: id=0,RX,0.023248616066416,11.903291426005,15.623069996632,581641,37225094
1739935523,Device: id=0,TX,0.023257512671317,11.907846487714,15.629048515125,582577,37284928
1739935524,Device: id=0,RX,0.023230711856893,11.894124470729,15.611038367832,604996,38719814
1739935524,Device: id=0,TX,0.023224901275148,11.891149452876,15.6071336569,605926,38779264
1739935525,Device: id=0,RX,0.023231727711953,11.89464458852,15.611721022433,628352,40214598
1739935525,Device: id=0,TX,0.023236772057004,11.897227293186,15.615110822307,629287,40274368
1739935526,Device: id=0,RX,0.023255612249637,11.906873471814,15.627771431756,651732,41710918
1739935526,Device: id=0,TX,0.02326977936977,11.914127037322,15.637291736485,652681,41771584
1739935527,Device: id=0,RX,0.023224668916411,11.891030485202,15.606977511828,675081,43205254
1739935527,Device: id=0,TX,0.023219369799924,11.888317337561,15.603416505549,676025,43265600
1739935528,Device: id=0,RX,0.023224469225061,11.890928243231,15.606843319241,693638,44392902
1739935528,Device: id=0,TX,0.02322832347201,11.892901617669,15.609433373191,693637,44392768
