Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1739937122,Device: id=0,RX,0.11915725681281,61.00851548816,80.073676578209,120507,7712448
1739937122,Device: id=0,TX,10.757541390348,5507.860702359,7229.0673248146,11323349,724693376
1739937123,Device: id=0,RX,0.1195856957007,61.227876198761,80.361587510874,240965,15421760
1739937123,Device: id=0,TX,10.75754607216,5507.8656242082,7229.0729957537,22148220,1417485376
1739937124,Device: id=0,RX,0.11895884513322,60.90692870821,79.940343929525,360554,23075456
1739937124,Device: id=0,TX,10.757568891471,5507.8747631303,7229.0857857657,32962756,2109615616
1739937125,Device: id=0,RX,0.11909301285138,60.975622579907,80.030504636128,480278,30737792
1739937125,Device: id=0,TX,10.757572653159,5507.8756705217,7229.0872950271,43777391,2801752064
1739937126,Device: id=0,RX,0.11921666207048,61.038930980083,80.113596911359,600134,38408576
1739937126,Device: id=0,TX,10.757569954987,5507.8773429664,7229.0885357644,54605365,3494742592
1739937127,Device: id=0,RX,0.1189272445291,60.8907491989,79.919108323557,719189,46028096
1739937127,Device: id=0,TX,10.757570472957,5507.8745612544,7229.0858369275,65469745,4190062720
1739937128,Device: id=0,RX,0.11922595799652,61.043690494216,80.119843773659,839053,53699392
1739937128,Device: id=0,TX,10.757566439488,5507.878600431,7229.089230749,76285018,4882240768
1739937129,Device: id=0,RX,0.11896888325665,60.911558924917,79.946580245981,958652,61353664
1739937129,Device: id=0,TX,10.757569427597,5507.8791120818,7229.0902204973,87099459,5574365440
1739937130,Device: id=0,RX,0.11913255283153,60.996376324747,80.057584777793,1078422,69019008
1739937130,Device: id=0,TX,10.757579953344,5507.8727886311,7229.0855811661,97915820,6266611520
1739937131,Device: id=0,RX,0.1191530247923,61.006348693656,80.070832660424,1198219,76686016
1739937131,Device: id=0,TX,10.757569051505,5507.8753543703,7229.086402611,108731701,6958827904
1739937132,Device: id=0,RX,0.1190352043369,60.946024620492,79.991657314396,1317897,84345408
1739937132,Device: id=0,TX,10.75756485243,5507.8782974082,7229.088673797,119546372,7650967488
1739937133,Device: id=0,RX,0.11912820508911,60.993641005625,80.054153819883,1437663,92010432
1739937133,Device: id=0,TX,10.757587688635,5507.8798036679,7229.0938338495,130361174,8343114176
1739937134,Device: id=0,RX,0.11929090435166,61.076943028047,80.163487724312,1557906,99705984
1739937134,Device: id=0,TX,10.757556430337,5507.8688923326,7229.0779211865,141204526,9037088704
1739937135,Device: id=0,RX,0.11918367016238,61.022039123137,80.091426349118,1677721,107374144
1739937135,Device: id=0,TX,10.757570308123,5507.8800721312,7229.0913214309,152019200,9729228352
1739937136,Device: id=0,RX,0.11918647945555,61.023477481239,80.093314194127,1797539,115042496
1739937136,Device: id=0,TX,10.757574595022,5507.88226711,7229.0942023136,162833649,10421353600
1739937137,Device: id=0,RX,0.11911284918076,60.985778780551,80.043834649474,1917283,122706112
1739937137,Device: id=0,TX,10.757558178768,5507.8682596273,7229.0775682302,173648222,11113486080
1739937138,Device: id=0,RX,0.1191060970496,60.982321689395,80.039297217331,2037020,130369280
1739937138,Device: id=0,TX,10.757581304804,5507.8750071604,7229.088015929,184462835,11805620480
1739937139,Device: id=0,RX,0.11931853192521,61.091088345707,80.182053453741,2156977,138046528
1739937139,Device: id=0,TX,10.75757890539,5507.8803995596,7229.093024422,195290365,12498582400
1739937140,Device: id=0,RX,0.1190842238724,60.971122622667,80.024598442251,2276842,145717888
1739937140,Device: id=0,TX,10.757659012167,5507.9214142296,7229.1468561763,206106247,13190798848
1739937141,Device: id=0,RX,0.11918224428059,61.021309071662,80.090468156557,2396681,153387584
1739937141,Device: id=0,TX,10.757456282487,5507.8176166331,7229.010621831,216922863,13883062272
1739937142,Device: id=0,RX,0.1191957777197,61.028238192484,80.099562627635,2516520,161057280
1739937142,Device: id=0,TX,10.757570049405,5507.8758652952,7229.0870731999,227738487,14575262208
1739937143,Device: id=0,RX,0.10654814214989,54.552648780742,71.600351524723,2623634,167912576
1739937143,Device: id=0,TX,10.757562206374,5507.8718496635,7229.0818026834,238553871,15267446784
1739937144,Device: id=0,RX,0.10816120400437,55.378536450237,72.684329090936,2732380,174872320
1739937144,Device: id=0,TX,10.757571735179,5507.8767284118,7229.0882060405,249369382,15959639488
1739937145,Device: id=0,RX,0.10838889276886,55.494603846705,72.836826689723,2841354,181846592
1739937145,Device: id=0,TX,10.757566263108,5507.8739267113,7229.0845288086,260185198,16651851712
1739937146,Device: id=0,RX,0.10835485987488,55.477688255939,72.814465835921,2950295,188818816
1739937146,Device: id=0,TX,10.757570408711,5507.87604926,7229.0873146537,271000053,17344002432
1739937147,Device: id=0,RX,0.10728531184852,54.930588971512,72.096238867275,3058148,195721472
1739937147,Device: id=0,TX,10.757559425941,5507.8765373927,7229.0860455433,281815154,18036169664
1739937148,Device: id=0,RX,0.10605503559777,54.300178226059,71.268983921702,3164966,202557824
1739937148,Device: id=0,TX,10.757569521505,5507.8776283636,7229.0887518045,292650215,18729613824
1739937149,Device: id=0,RX,0.11917601129683,61.017608510289,80.085770317782,3284780,210225856
1739937149,Device: id=0,TX,10.757589826321,5507.8859910763,7229.1003632877,303464769,19421745280
1739937150,Device: id=0,RX,0.11932307569942,61.093924035406,80.185616147312,3404741,217903424
1739937150,Device: id=0,TX,10.757556266159,5507.8677897186,7229.076792304,314279833,20113909248
1739937151,Device: id=0,RX,0.11665637856522,59.728065826475,78.393086396911,3496142,223753088
1739937151,Device: id=0,TX,10.757568434912,5507.8752933339,7229.0862429198,321817961,20596349568
