Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1739929620,Device: id=0,RX,5.3759587144537,2924.5199122759,3784.6733065885,5424682,368876336
1739929620,Device: id=0,TX,5.3787801954339,2753.9277081313,3614.5325394007,5721152,366153728
1739929621,Device: id=0,RX,5.3786607939474,2926.0077647201,3786.5934917516,10812318,735237624
1739929621,Device: id=0,TX,5.3808910177033,2755.0162010641,3615.9587638966,11142284,713106176
1739929622,Device: id=0,RX,5.3810100815998,2927.2694843903,3788.2310974463,16224946,1103296328
1739929622,Device: id=0,TX,5.3809891738319,2755.0746014974,3616.0328693105,16554659,1059499200
1739929623,Device: id=0,RX,5.3798950315218,2926.6628971478,3787.4461021913,21647496,1472029728
1739929623,Device: id=0,TX,5.3810267311253,2755.0775587812,3616.0418357612,21978353,1406614592
1739929624,Device: id=0,RX,5.3807715652063,2927.1310774308,3788.0545278638,27059330,1840033352
1739929624,Device: id=0,TX,5.3809737066402,2755.0666819272,3616.0224749896,27390957,1753022272
1739929625,Device: id=0,RX,5.3791255819992,2926.2356600916,3786.8957532115,32467962,2207819240
1739929625,Device: id=0,TX,5.3809904442111,2755.0589596178,3616.0174306916,32801126,2099272064
1739929626,Device: id=0,RX,5.3809582238817,2927.2585878562,3788.2119036772,37878114,2575711752
1739929626,Device: id=0,TX,5.3809579447554,2755.0586103786,3616.0118815395,38214687,2445740992
1739929627,Device: id=0,RX,5.3796040480092,2926.504602117,3787.2412497985,43290145,2943729860
1739929627,Device: id=0,TX,5.3809943913163,2755.0691283539,3616.0282309645,43624646,2791978368
1739929628,Device: id=0,RX,5.3809626281176,2927.2393544241,3788.1933749229,48716906,3312749064
1739929628,Device: id=0,TX,5.380972529118,2755.0579349084,3616.0135395673,49051441,3139293248
1739929629,Device: id=0,RX,5.3797138949313,2926.5686874683,3787.3229106573,54125670,3680545560
1739929629,Device: id=0,TX,5.3809675005982,2755.0477216449,3616.0025217406,54461529,3485537920
1739929630,Device: id=0,RX,5.3808352889032,2927.1743971633,3788.1080433879,59536143,4048457724
1739929630,Device: id=0,TX,5.3809597424284,2755.0590250981,3616.0125838867,59872804,3831860480
1739929631,Device: id=0,RX,5.3790737241338,2926.2074496308,3786.8592454922,64944859,4416249324
1739929631,Device: id=0,TX,5.3809804681814,2755.0619997089,3616.0188746179,65282678,4178092416
1739929632,Device: id=0,RX,5.3805891339591,2927.0491462739,3787.9434077074,70354410,4784099880
1739929632,Device: id=0,TX,5.3810042773711,2755.0660418344,3616.0267262138,70692621,4524327744
1739929633,Device: id=0,RX,5.3789826536435,2926.157906054,3786.795130637,75762266,5151833000
1739929633,Device: id=0,TX,5.3809376226167,2755.0400627798,3615.9900823984,76102450,4870556800
1739929634,Device: id=0,RX,5.3810347441936,2927.2915584992,3788.2571175701,81172104,5519703072
1739929634,Device: id=0,TX,5.3810325959504,2755.0968377211,3616.0620530732,81512146,5216778368
1739929635,Device: id=0,RX,5.3796535592022,2926.531536206,3787.2761056784,86580523,5887475564
1739929635,Device: id=0,TX,5.38094981178,2755.0463036313,3615.9982735161,86922016,5563010048
1739929636,Device: id=0,RX,5.3810436256596,2927.2790746947,3788.2460548002,91990366,6255343800
1739929636,Device: id=0,TX,5.3810439398879,2755.0863488881,3616.0533792701,92331896,5909241344
1739929637,Device: id=0,RX,5.3798774615282,2926.6619958369,3787.4423896814,97399598,6623172664
1739929637,Device: id=0,TX,5.3809938399209,2755.0769935241,3616.0360079114,97742290,6255507584
1739929638,Device: id=0,RX,5.3809986150151,2927.2632465682,3788.2230249706,102809646,6991055928
1739929638,Device: id=0,TX,5.3809897760224,2755.0667653235,3616.0251294871,103152297,6601748032
1739929639,Device: id=0,RX,5.379462474768,2926.4189286203,3787.1329245831,108217906,7358816520
1739929639,Device: id=0,TX,5.3809946137421,2755.069242236,3616.0283804347,108561913,6947963456
1739929640,Device: id=0,RX,5.3809394692138,2927.2397289489,3788.1900440231,113627624,7726678432
1739929640,Device: id=0,TX,5.3809685539788,2755.0558996372,3616.0108682738,113971783,7294195136
1739929641,Device: id=0,RX,5.3798884562513,2926.6593202007,3787.4414732009,119036013,8094448884
1739929641,Device: id=0,TX,5.381044768245,2755.0949213415,3616.0620842607,119381318,7640405376
1739929642,Device: id=0,RX,5.3809578873327,2927.241090709,3788.1943526822,124445751,8462311068
1739929643,Device: id=0,TX,5.3809435984618,2755.0349738653,3615.9859496192,124790956,7986621184
1739929643,Device: id=0,RX,5.3798294968571,2926.6272462903,3787.3999657874,129854367,8830096956
1739929644,Device: id=0,TX,5.3809905411141,2755.0753053553,3616.0337919336,130200802,8332852352
