Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1738369003,Device: id=0,RX,0,0,0,0,0
1738369003,Device: id=0,TX,33.274164266882,17036.372104644,22360.238387345,35470512,2270112768
1738369004,Device: id=0,RX,0,0,0,0,0
1738369004,Device: id=0,TX,33.289446348113,17044.228740335,22370.540156033,68807395,4403677312
1738369005,Device: id=0,RX,0,0,0,0,0
1738369005,Device: id=0,TX,33.291912458961,17045.459178988,22372.165172422,102318854,6548410688
1738369006,Device: id=0,RX,0,0,0,0,0
1738369006,Device: id=0,TX,33.315140954766,17057.340993328,22387.763546091,135897784,8697460800
1738369007,Device: id=0,RX,0,0,0,0,0
1738369007,Device: id=0,TX,33.315018111096,17057.268394434,22387.671292209,169393994,10841215616
1738369008,Device: id=0,RX,0,0,0,0,0
1738369008,Device: id=0,TX,33.341507707986,17070.851946489,22405.493179767,202915846,12986614144
1738369009,Device: id=0,RX,0,0,0,0,0
1738369009,Device: id=0,TX,33.356939762633,17078.775565521,22415.885927542,236452838,15132984448
1738369010,Device: id=0,RX,0,0,0,0,0
1738369010,Device: id=0,TX,33.316167466855,17057.865011823,22388.45180652,269949030,17276739136
1738369011,Device: id=0,RX,0,0,0,0,0
1738369012,Device: id=0,TX,33.327271300296,17063.585310607,22395.948718654,303459479,19421410688
1738369012,Device: id=0,RX,0,0,0,0,0
1738369013,Device: id=0,TX,33.358342194278,17079.439220214,22416.773971298,337102291,21574546624
1738369013,Device: id=0,RX,0,0,0,0,0
1738369014,Device: id=0,TX,33.357574260497,17079.09584684,22416.307728519,370636773,23720755712
1738369014,Device: id=0,RX,0,0,0,0,0
1738369015,Device: id=0,TX,33.322804078342,17061.277725135,22392.92637767,404139130,25864906816
1738369015,Device: id=0,RX,0,0,0,0,0
1738369016,Device: id=0,TX,33.225835046005,17011.607685079,22327.74129244,437548214,28003085696
1738369016,Device: id=0,RX,0,0,0,0,0
