Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1738377649,Device: id=0,RX,0,0,0,0,0
1738377649,Device: id=0,TX,33.008272022545,16900.25343637,22181.576959977,35040752,2242608256
1738377650,Device: id=0,RX,0,0,0,0,0
1738377650,Device: id=0,TX,33.012723229615,16902.507155517,22184.542872255,68192010,4364287872
1738377651,Device: id=0,RX,0,0,0,0,0
1738377651,Device: id=0,TX,33.023537186911,16908.051039699,22191.816989604,101393632,6489191680
1738377652,Device: id=0,RX,0,0,0,0,0
1738377652,Device: id=0,TX,33.018222343351,16905.340534467,22188.256109403,134588848,8613686848
1738377653,Device: id=0,RX,0,0,0,0,0
1738377653,Device: id=0,TX,33.007940417842,16900.058892767,22181.329359622,167870968,10743741696
1738377654,Device: id=0,RX,0,0,0,0,0
1738377654,Device: id=0,TX,33.071942392433,16932.83297715,22224.34375994,201120947,12871740160
1738377655,Device: id=0,RX,0,0,0,0,0
1738377655,Device: id=0,TX,33.035033120589,16913.923206716,22199.528506011,234331292,14997200512
1738377656,Device: id=0,RX,0,0,0,0,0
1738377656,Device: id=0,TX,33.054634645181,16924.004509748,22212.746052977,267566620,17124265472
1738377657,Device: id=0,RX,0,0,0,0,0
1738377657,Device: id=0,TX,33.036682300481,16914.749254875,22200.618422952,300781474,19250012096
1738377658,Device: id=0,RX,0,0,0,0,0
1738377658,Device: id=0,TX,32.978500504632,16885.016686818,22161.576767559,333959172,21373387840
1738377659,Device: id=0,RX,0,0,0,0,0
1738377659,Device: id=0,TX,33.021442707033,16906.986304587,22190.417137712,367159647,23498219200
1738377660,Device: id=0,RX,0,0,0,0,0
1738377660,Device: id=0,TX,32.931231092381,16860.758313541,22129.755288322,400348356,25622292544
1738377661,Device: id=0,RX,0,0,0,0,0
1738377661,Device: id=0,TX,33.072234678714,16933.006562744,22224.564111338,433598825,27750325376
1738377662,Device: id=0,RX,0,0,0,0,0
1738377662,Device: id=0,TX,33.058994159984,16926.18260308,22215.621668678,466836591,29877539584
1738377663,Device: id=0,RX,0,0,0,0,0
1738377663,Device: id=0,TX,33.012248642901,16902.291164684,22184.250947548,500029167,32001866944
1738377664,Device: id=0,RX,0,0,0,0,0
1738377664,Device: id=0,TX,33.027920841564,16910.307693605,22194.775028256,533233474,34126944128
1738377665,Device: id=0,RX,0,0,0,0,0
1738377665,Device: id=0,TX,33.009509487102,16900.866820311,22182.388338248,566419851,36250872000
1738377666,Device: id=0,RX,0,0,0,0,0
1738377666,Device: id=0,TX,33.033613889766,16913.203182406,22198.581404769,599633462,38376542208
1738377667,Device: id=0,RX,0,0,0,0,0
1738377667,Device: id=0,TX,33.03942779218,16916.177861719,22202.486308468,632846316,40502163712
1738377668,Device: id=0,RX,0,0,0,0,0
1738377668,Device: id=0,TX,33.014596096266,16903.459456006,22185.794831409,666049984,42627196736
1738377669,Device: id=0,RX,0,0,0,0,0
1738377669,Device: id=0,TX,33.039608512891,16916.311641433,22202.649003495,699267924,44753148928
1738377670,Device: id=0,RX,0,0,0,0,0
1738377670,Device: id=0,TX,33.043795800713,16918.39140227,22205.398730384,732526499,46881693696
1738377671,Device: id=0,RX,0,0,0,0,0
1738377671,Device: id=0,TX,33.021006235911,16906.755192786,22190.116190532,765722831,49006258944
1738377672,Device: id=0,RX,0,0,0,0,0
1738377672,Device: id=0,TX,33.022909717294,16907.757784309,22191.423339076,798923707,51131118528
1738377673,Device: id=0,RX,0,0,0,0,0
1738377674,Device: id=0,TX,33.011069104375,16901.671455773,22183.442512473,832110329,53255062848
1738377674,Device: id=0,RX,0,0,0,0,0
1738377675,Device: id=0,TX,33.037991847178,16915.444695507,22201.523391055,865323244,55380688512
1738377675,Device: id=0,RX,0,0,0,0,0
1738377676,Device: id=0,TX,33.052200043685,16922.733552252,22211.085559242,898552132,57507338240
1738377676,Device: id=0,RX,0,0,0,0,0
1738377677,Device: id=0,TX,33.053080442983,16923.177186807,22211.670057684,931848318,59638294144
1738377677,Device: id=0,RX,0,0,0,0,0
1738377678,Device: id=0,TX,33.040127489697,16916.543237726,22202.963636078,965066894,61764282752
1738377679,Device: id=0,RX,0,0,0,0,0
1738377679,Device: id=0,TX,33.040880875323,16916.921841224,22203.462781276,998284600,63890214784
1738377680,Device: id=0,RX,0,0,0,0,0
1738377680,Device: id=0,TX,32.645593503864,16714.555077687,21937.850038305,1031105870,65990777472
1738377681,Device: id=0,RX,0,0,0,0,0
1738377681,Device: id=0,TX,33.026632252938,16909.611293955,22193.872454425,1064344097,68118020928
1738377682,Device: id=0,RX,0,0,0,0,0
1738377682,Device: id=0,TX,33.059650499215,16926.557304321,22216.101384195,1097678982,70251455616
1738377683,Device: id=0,RX,0,0,0,0,0
1738377683,Device: id=0,TX,33.064584912407,16929.043539124,22219.377125109,1130920343,72378899712
1738377684,Device: id=0,RX,0,0,0,0,0
1738377684,Device: id=0,TX,33.062628138237,16928.065606777,22218.086108895,1164159452,74506202688
1738377685,Device: id=0,RX,0,0,0,0,0
1738377685,Device: id=0,TX,33.072587724147,16933.18936096,22224.803396824,1197407647,76634090240
1738377686,Device: id=0,RX,0,0,0,0,0
1738377686,Device: id=0,TX,33.044515741928,16918.767614527,22205.890133236,1230628785,78760240000
1738377687,Device: id=0,RX,0,0,0,0,0
1738377687,Device: id=0,TX,33.035749200614,16914.319378221,22200.039250319,1263841339,80885845440
1738377688,Device: id=0,RX,0,0,0,0,0
1738377688,Device: id=0,TX,33.028528190055,16910.590694542,22195.15520495,1297149464,83017563456
1738377689,Device: id=0,RX,0,0,0,0,0
1738377689,Device: id=0,TX,33.055799362963,16924.588607098,22213.516505172,1330415121,85146567936
1738377690,Device: id=0,RX,0,0,0,0,0
1738377690,Device: id=0,TX,33.059384395779,16926.400736447,22215.902239772,1363651466,87273693504
1738377691,Device: id=0,RX,0,0,0,0,0
