   repetitions  num_vms     interface     fastclick   rate  repetition  vm_num  rxPackets   txPackets     txMpps  rxMppsCalc
0            3       16  bridge-e1000  software-tap  40000           0       1    1314322  2019464210  33.154099    0.021578
0            3       16  bridge-e1000  software-tap  40000           0       2    1128160  2019464210  33.154099    0.018521
0            3       16  bridge-e1000  software-tap  40000           0       3    1128335  2019464210  33.154099    0.018524
0            3       16  bridge-e1000  software-tap  40000           0       4    1128269  2019464210  33.154099    0.018523
0            3       16  bridge-e1000  software-tap  40000           0       5    1128786  2019464210  33.154099    0.018532
0            3       16  bridge-e1000  software-tap  40000           0       6    1128019  2019464210  33.154099    0.018519
0            3       16  bridge-e1000  software-tap  40000           0       7    1127883  2019464210  33.154099    0.018517
0            3       16  bridge-e1000  software-tap  40000           0       8    1128100  2019464210  33.154099    0.018520
0            3       16  bridge-e1000  software-tap  40000           0       9    1127889  2019464210  33.154099    0.018517
0            3       16  bridge-e1000  software-tap  40000           0      10    1129579  2019464210  33.154099    0.018545
0            3       16  bridge-e1000  software-tap  40000           0      11    1128201  2019464210  33.154099    0.018522
0            3       16  bridge-e1000  software-tap  40000           0      12    1127695  2019464210  33.154099    0.018514
0            3       16  bridge-e1000  software-tap  40000           0      13    1128139  2019464210  33.154099    0.018521
0            3       16  bridge-e1000  software-tap  40000           0      14    1128063  2019464210  33.154099    0.018520
0            3       16  bridge-e1000  software-tap  40000           0      15    1128525  2019464210  33.154099    0.018527
0            3       16  bridge-e1000  software-tap  40000           0      16     845911  2019464210  33.154099    0.013888
