   repetitions  num_vms     interface     fastclick   rate  repetition  vm_num  rxPackets   txPackets     txMpps  rxMppsCalc
0            3       32  bridge-vhost  software-tap  40000           0       1     643212  2024170757  33.230983    0.010560
0            3       32  bridge-vhost  software-tap  40000           0       2     484393  2024170757  33.230983    0.007952
0            3       32  bridge-vhost  software-tap  40000           0       3     484220  2024170757  33.230983    0.007949
0            3       32  bridge-vhost  software-tap  40000           0       4     484174  2024170757  33.230983    0.007949
0            3       32  bridge-vhost  software-tap  40000           0       5     484484  2024170757  33.230983    0.007954
0            3       32  bridge-vhost  software-tap  40000           0       6     484255  2024170757  33.230983    0.007950
0            3       32  bridge-vhost  software-tap  40000           0       7     484128  2024170757  33.230983    0.007948
0            3       32  bridge-vhost  software-tap  40000           0       8     484151  2024170757  33.230983    0.007948
0            3       32  bridge-vhost  software-tap  40000           0       9     484047  2024170757  33.230983    0.007947
0            3       32  bridge-vhost  software-tap  40000           0      10     484366  2024170757  33.230983    0.007952
0            3       32  bridge-vhost  software-tap  40000           0      11     483997  2024170757  33.230983    0.007946
0            3       32  bridge-vhost  software-tap  40000           0      12     483885  2024170757  33.230983    0.007944
0            3       32  bridge-vhost  software-tap  40000           0      13     484048  2024170757  33.230983    0.007947
0            3       32  bridge-vhost  software-tap  40000           0      14     483984  2024170757  33.230983    0.007946
0            3       32  bridge-vhost  software-tap  40000           0      15     484299  2024170757  33.230983    0.007951
0            3       32  bridge-vhost  software-tap  40000           0      16     483970  2024170757  33.230983    0.007945
0            3       32  bridge-vhost  software-tap  40000           0      17     483999  2024170757  33.230983    0.007946
0            3       32  bridge-vhost  software-tap  40000           0      18     484113  2024170757  33.230983    0.007948
0            3       32  bridge-vhost  software-tap  40000           0      19     484574  2024170757  33.230983    0.007955
0            3       32  bridge-vhost  software-tap  40000           0      20     483881  2024170757  33.230983    0.007944
0            3       32  bridge-vhost  software-tap  40000           0      21     483967  2024170757  33.230983    0.007945
0            3       32  bridge-vhost  software-tap  40000           0      22     484079  2024170757  33.230983    0.007947
0            3       32  bridge-vhost  software-tap  40000           0      23     484871  2024170757  33.230983    0.007960
0            3       32  bridge-vhost  software-tap  40000           0      24     483995  2024170757  33.230983    0.007946
0            3       32  bridge-vhost  software-tap  40000           0      25     483901  2024170757  33.230983    0.007944
0            3       32  bridge-vhost  software-tap  40000           0      26     485687  2024170757  33.230983    0.007974
0            3       32  bridge-vhost  software-tap  40000           0      27     484314  2024170757  33.230983    0.007951
0            3       32  bridge-vhost  software-tap  40000           0      28     483893  2024170757  33.230983    0.007944
0            3       32  bridge-vhost  software-tap  40000           0      29     484072  2024170757  33.230983    0.007947
0            3       32  bridge-vhost  software-tap  40000           0      30     484322  2024170757  33.230983    0.007951
0            3       32  bridge-vhost  software-tap  40000           0      31     483976  2024170757  33.230983    0.007945
0            3       32  bridge-vhost  software-tap  40000           0      32     241935  2024170757  33.230983    0.003972
