   repetitions  num_vms  interface     fastclick   rate  repetition  vm_num  rxPackets   txPackets     txMpps  rxMppsCalc
0            3       64  vmux-dpdk  software-tap  40000           2       1    1622168  2062119316  33.856185    0.026633
0            3       64  vmux-dpdk  software-tap  40000           2       2    1643640  2062119316  33.856185    0.026986
0            3       64  vmux-dpdk  software-tap  40000           2       3    1652216  2062119316  33.856185    0.027126
0            3       64  vmux-dpdk  software-tap  40000           2       4    1668678  2062119316  33.856185    0.027397
0            3       64  vmux-dpdk  software-tap  40000           2       5    1618987  2062119316  33.856185    0.026581
0            3       64  vmux-dpdk  software-tap  40000           2       6    1534197  2062119316  33.856185    0.025189
0            3       64  vmux-dpdk  software-tap  40000           2       7    1624785  2062119316  33.856185    0.026676
0            3       64  vmux-dpdk  software-tap  40000           2       8    1547700  2062119316  33.856185    0.025410
0            3       64  vmux-dpdk  software-tap  40000           2       9    1635032  2062119316  33.856185    0.026844
0            3       64  vmux-dpdk  software-tap  40000           2      10    1651000  2062119316  33.856185    0.027106
0            3       64  vmux-dpdk  software-tap  40000           2      11    1657176  2062119316  33.856185    0.027208
0            3       64  vmux-dpdk  software-tap  40000           2      12    1659736  2062119316  33.856185    0.027250
0            3       64  vmux-dpdk  software-tap  40000           2      13    1623256  2062119316  33.856185    0.026651
0            3       64  vmux-dpdk  software-tap  40000           2      14    1556824  2062119316  33.856185    0.025560
0            3       64  vmux-dpdk  software-tap  40000           2      15    1603865  2062119316  33.856185    0.026332
0            3       64  vmux-dpdk  software-tap  40000           2      16    1982968  2062119316  33.856185    0.032557
0            3       64  vmux-dpdk  software-tap  40000           2      17    2332894  2062119316  33.856185    0.038302
0            3       64  vmux-dpdk  software-tap  40000           2      18    2399636  2062119316  33.856185    0.039398
0            3       64  vmux-dpdk  software-tap  40000           2      19    2380760  2062119316  33.856185    0.039088
0            3       64  vmux-dpdk  software-tap  40000           2      20    2372204  2062119316  33.856185    0.038947
0            3       64  vmux-dpdk  software-tap  40000           2      21    2336856  2062119316  33.856185    0.038367
0            3       64  vmux-dpdk  software-tap  40000           2      22    2170822  2062119316  33.856185    0.035641
0            3       64  vmux-dpdk  software-tap  40000           2      23    2358028  2062119316  33.856185    0.038714
0            3       64  vmux-dpdk  software-tap  40000           2      24    2249912  2062119316  33.856185    0.036939
0            3       64  vmux-dpdk  software-tap  40000           2      25    1604076  2062119316  33.856185    0.026336
0            3       64  vmux-dpdk  software-tap  40000           2      26    1647541  2062119316  33.856185    0.027050
0            3       64  vmux-dpdk  software-tap  40000           2      27    1663407  2062119316  33.856185    0.027310
0            3       64  vmux-dpdk  software-tap  40000           2      28    1667000  2062119316  33.856185    0.027369
0            3       64  vmux-dpdk  software-tap  40000           2      29    1639000  2062119316  33.856185    0.026909
0            3       64  vmux-dpdk  software-tap  40000           2      30    1561833  2062119316  33.856185    0.025642
0            3       64  vmux-dpdk  software-tap  40000           2      31    1649687  2062119316  33.856185    0.027085
0            3       64  vmux-dpdk  software-tap  40000           2      32    1549912  2062119316  33.856185    0.025447
0            3       64  vmux-dpdk  software-tap  40000           2      33    1656248  2062119316  33.856185    0.027193
0            3       64  vmux-dpdk  software-tap  40000           2      34    1699416  2062119316  33.856185    0.027901
0            3       64  vmux-dpdk  software-tap  40000           2      35    1692696  2062119316  33.856185    0.027791
0            3       64  vmux-dpdk  software-tap  40000           2      36    1673100  2062119316  33.856185    0.027469
0            3       64  vmux-dpdk  software-tap  40000           2      37    1646668  2062119316  33.856185    0.027035
0            3       64  vmux-dpdk  software-tap  40000           2      38    1547608  2062119316  33.856185    0.025409
0            3       64  vmux-dpdk  software-tap  40000           2      39    1643960  2062119316  33.856185    0.026991
0            3       64  vmux-dpdk  software-tap  40000           2      40    1926712  2062119316  33.856185    0.031633
0            3       64  vmux-dpdk  software-tap  40000           2      41    2395335  2062119316  33.856185    0.039327
0            3       64  vmux-dpdk  software-tap  40000           2      42    2419960  2062119316  33.856185    0.039731
