Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1738368452,Device: id=0,RX,0,0,0,0,0
1738368452,Device: id=0,TX,32.84035113428,16814.252993888,22068.709175373,34758045,2224510848
1738368453,Device: id=0,RX,0,0,0,0,0
1738368453,Device: id=0,TX,32.917139703088,16853.607643799,22120.349996293,67818864,4340407296
1738368454,Device: id=0,RX,0,0,0,0,0
1738368454,Device: id=0,TX,32.92579559666,16857.984428004,22126.111723469,100920676,6458920384
1738368455,Device: id=0,RX,0,0,0,0,0
1738368455,Device: id=0,TX,32.930642649308,16860.481906401,22129.384730291,134026620,8577699904
1738368456,Device: id=0,RX,0,0,0,0,0
1738368456,Device: id=0,TX,32.969570409865,16880.418015366,22155.549280944,167215203,10701768960
1738368457,Device: id=0,RX,0,0,0,0,0
1738368457,Device: id=0,TX,32.951933782928,16871.422181451,22143.731586719,200343179,12821963456
1738368458,Device: id=0,RX,0,0,0,0,0
1738368458,Device: id=0,TX,32.944858188642,16867.756698377,22138.93400856,233466074,14941827392
1738368459,Device: id=0,RX,0,0,0,0,0
1738368460,Device: id=0,TX,32.909929548344,16849.881891656,22115.470619391,266552159,17059336576
1738368460,Device: id=0,RX,0,0,0,0,0
1738368461,Device: id=0,TX,32.912071347653,16850.967289463,22116.898705088,299641871,19177076480
1738368461,Device: id=0,RX,0,0,0,0,0
1738368462,Device: id=0,TX,32.935259453137,16862.878811366,22132.520323868,332755482,21296350848
1738368462,Device: id=0,RX,0,0,0,0,0
1738368463,Device: id=0,TX,32.890815335703,16840.065451385,22102.595905097,365908911,23418166272
1738368463,Device: id=0,RX,0,0,0,0,0
1738368464,Device: id=0,TX,32.94819274337,16869.474684605,22141.185523544,399033736,25538155072
1738368464,Device: id=0,RX,0,0,0,0,0
1738368465,Device: id=0,TX,32.925567130923,16857.890371032,22125.98111198,432135819,27656688384
1738368465,Device: id=0,RX,0,0,0,0,0
1738368466,Device: id=0,TX,32.921760981107,16855.957918673,22123.43967565,465234658,29775016128
1738368466,Device: id=0,RX,0,0,0,0,0
1738368467,Device: id=0,TX,32.919861503916,16854.984877652,22122.162718279,498330410,31893146240
1738368467,Device: id=0,RX,0,0,0,0,0
1738368468,Device: id=0,TX,32.949183375921,16869.981888472,22141.851228619,531456432,34013211648
1738368469,Device: id=0,RX,0,0,0,0,0
1738368469,Device: id=0,TX,32.972953866848,16882.135065225,22157.80768392,564607249,36134861760
1738368470,Device: id=0,RX,0,0,0,0,0
1738368470,Device: id=0,TX,32.672977500323,16728.581794298,21956.25819435,597457361,38237271104
1738368471,Device: id=0,RX,0,0,0,0,0
1738368471,Device: id=0,TX,32.939744755602,16865.126423543,22135.485584439,630611042,40359103808
1738368472,Device: id=0,RX,0,0,0,0,0
1738368472,Device: id=0,TX,32.940716301136,16865.651329616,22136.165937798,663728309,42478609472
1738368473,Device: id=0,RX,0,0,0,0,0
1738368473,Device: id=0,TX,32.943069471878,16866.869882527,22137.760998027,696885582,44600677248
1738368474,Device: id=0,RX,0,0,0,0,0
1738368474,Device: id=0,TX,32.982005892038,16886.755032894,22163.87597562,730148253,46729484160
1738368475,Device: id=0,RX,0,0,0,0,0
1738368475,Device: id=0,TX,32.97914026693,16885.347318694,22162.009761403,763302439,48851355520
1738368476,Device: id=0,RX,0,0,0,0,0
1738368476,Device: id=0,TX,32.961937931161,16876.484788588,22150.394857574,796523718,50977513920
1738368477,Device: id=0,RX,0,0,0,0,0
1738368477,Device: id=0,TX,32.953782339845,16872.368643964,22144.973818339,829652136,53097736704
1738368478,Device: id=0,RX,0,0,0,0,0
1738368478,Device: id=0,TX,32.933258454451,16861.813559077,22131.134911789,862760205,55216651264
1738368479,Device: id=0,RX,0,0,0,0,0
1738368479,Device: id=0,TX,32.966878434904,16879.056527781,22153.757077366,895903177,57337803328
1738368480,Device: id=0,RX,0,0,0,0,0
1738368480,Device: id=0,TX,32.96297147489,16877.041395144,22151.116831126,929042997,59458751808
1738368481,Device: id=0,RX,0,0,0,0,0
1738368481,Device: id=0,TX,32.932350925488,16861.331587579,22130.507735657,962149553,61577567360
1738368482,Device: id=0,RX,0,0,0,0,0
1738368482,Device: id=0,TX,32.964624970096,16877.887984689,22152.227979904,995288932,63698487616
1738368483,Device: id=0,RX,0,0,0,0,0
1738368483,Device: id=0,TX,32.960406089169,16875.759916539,22149.424890806,1028514180,65824907520
1738368484,Device: id=0,RX,0,0,0,0,0
1738368484,Device: id=0,TX,32.930618632938,16860.456369235,22129.355350505,1061621280,67943759360
1738368485,Device: id=0,RX,0,0,0,0,0
1738368485,Device: id=0,TX,32.990856122568,16891.306622718,22169.843602329,1094792310,70066703808
1738368486,Device: id=0,RX,0,0,0,0,0
1738368486,Device: id=0,TX,32.982196631291,16886.916763283,22164.06822429,1127947124,72188615936
1738368487,Device: id=0,RX,0,0,0,0,0
1738368487,Device: id=0,TX,32.983256909775,16887.427537805,22164.748643369,1161107859,74310902976
1738368488,Device: id=0,RX,0,0,0,0,0
1738368488,Device: id=0,TX,32.96745606204,16879.337503764,22154.130473691,1194292410,76434714240
1738368489,Device: id=0,RX,0,0,0,0,0
1738368489,Device: id=0,TX,32.950589422591,16870.701274995,22142.795582609,1227413016,78554432960
1738368490,Device: id=0,RX,0,0,0,0,0
1738368490,Device: id=0,TX,32.954895140147,16872.874735588,22145.657958011,1260543072,80674752576
1738368491,Device: id=0,RX,0,0,0,0,0
1738368491,Device: id=0,TX,32.992644625845,16892.266136172,22171.089276307,1293708722,82797358208
1738368492,Device: id=0,RX,0,0,0,0,0
1738368492,Device: id=0,TX,32.972073048579,16881.675428501,22157.207116274,1326858055,84918912256
1738368493,Device: id=0,RX,0,0,0,0,0
1738368493,Device: id=0,TX,32.971620857912,16881.495796051,22156.955133317,1360078011,87044992704
1738368494,Device: id=0,RX,0,0,0,0,0
1738368494,Device: id=0,TX,32.951865397016,16871.355083272,22143.653546795,1393208256,89165328384
1738368495,Device: id=0,RX,0,0,0,0,0
1738368495,Device: id=0,TX,32.960660170462,16875.834072416,22149.53969969,1426346754,91286189248
1738368496,Device: id=0,RX,0,0,0,0,0
1738368496,Device: id=0,TX,32.969188112342,16880.239082842,22155.309180817,1459491570,93407459328
1738368497,Device: id=0,RX,0,0,0,0,0
1738368497,Device: id=0,TX,32.986888761463,16889.296212775,22167.198414609,1492655122,95529927808
1738368498,Device: id=0,RX,0,0,0,0,0
1738368498,Device: id=0,TX,32.977267462396,16884.337514781,22160.700308765,1525809811,97651824960
1738368499,Device: id=0,RX,0,0,0,0,0
1738368499,Device: id=0,TX,32.960744739148,16875.90894551,22149.628103774,1558947174,99772617152
1738368500,Device: id=0,RX,0,0,0,0,0
1738368500,Device: id=0,TX,32.958151966696,16874.56769592,22147.872010592,1592083151,101893318912
1738368501,Device: id=0,RX,0,0,0,0,0
1738368501,Device: id=0,TX,32.946293353112,16868.524025466,22139.930961964,1625312179,104019979456
1738368502,Device: id=0,RX,0,0,0,0,0
1738368502,Device: id=0,TX,33.000117454482,16896.048422208,22176.067214925,1658485580,106143075648
1738368503,Device: id=0,RX,0,0,0,0,0
