,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
0,2,16,-1,vmux-vdpdk,1,1,read,66.43518162094065,75.0,96.0,457216.0,,
1,2,16,-1,vmux-vdpdk,1,1,update,64.05504124032642,73.0,95.0,455622.0,,
2,2,16,-1,vmux-vdpdk,1,1,overall,,,,,61015.0,14960.87847250676
0,2,16,-1,vmux-vdpdk,1,2,read,66.1981615878984,77.0,117.0,457460.0,,
1,2,16,-1,vmux-vdpdk,1,2,update,64.07595152532592,75.0,118.0,457476.0,,
2,2,16,-1,vmux-vdpdk,1,2,overall,,,,,61012.0,14996.00078673048
0,2,16,-1,vmux-vdpdk,1,3,read,66.47265711839374,76.0,95.0,454323.0,,
1,2,16,-1,vmux-vdpdk,1,3,update,64.47219909903775,74.0,92.0,455291.0,,
2,2,16,-1,vmux-vdpdk,1,3,overall,,,,,61014.0,14908.28334480611
0,2,16,-1,vmux-vdpdk,1,4,read,67.1731061724667,78.0,127.0,450371.0,,
1,2,16,-1,vmux-vdpdk,1,4,update,65.03373969951515,77.0,124.0,451071.0,,
2,2,16,-1,vmux-vdpdk,1,4,overall,,,,,61013.0,14774.589022011702
0,2,16,-1,vmux-vdpdk,1,5,read,67.848317160728,78.0,120.0,446537.0,,
1,2,16,-1,vmux-vdpdk,1,5,update,65.40745261632976,76.0,117.0,447306.0,,
2,2,16,-1,vmux-vdpdk,1,5,overall,,,,,61026.0,14646.92098449841
0,2,16,-1,vmux-vdpdk,1,6,read,67.59417401269,78.0,126.0,448542.0,,
1,2,16,-1,vmux-vdpdk,1,6,update,65.4780795417992,76.0,122.0,447664.0,,
2,2,16,-1,vmux-vdpdk,1,6,overall,,,,,61017.0,14687.808315715292
0,2,16,-1,vmux-vdpdk,1,7,read,68.08863605853135,77.0,111.0,446940.0,,
1,2,16,-1,vmux-vdpdk,1,7,update,65.1349639424691,75.0,112.0,446786.0,,
2,2,16,-1,vmux-vdpdk,1,7,overall,,,,,61019.0,14646.683819793834
0,2,16,-1,vmux-vdpdk,1,8,read,66.65776569873039,76.0,97.0,454782.0,,
1,2,16,-1,vmux-vdpdk,1,8,update,64.28501017657737,74.0,95.0,454475.0,,
2,2,16,-1,vmux-vdpdk,1,8,overall,,,,,61013.0,14902.67647878321
0,2,16,-1,vmux-vdpdk,1,9,read,67.27228559966488,77.0,116.0,451177.0,,
1,2,16,-1,vmux-vdpdk,1,9,update,64.53273949989475,74.0,113.0,451305.0,,
2,2,16,-1,vmux-vdpdk,1,9,overall,,,,,61019.0,14790.180107835264
0,2,16,-1,vmux-vdpdk,1,10,read,67.68691289472333,78.0,105.0,448067.0,,
1,2,16,-1,vmux-vdpdk,1,10,update,65.12317238730652,76.0,107.0,447852.0,,
2,2,16,-1,vmux-vdpdk,1,10,overall,,,,,61012.0,14684.308004982626
0,2,16,-1,vmux-vdpdk,1,11,read,67.35961453065661,77.0,106.0,452643.0,,
1,2,16,-1,vmux-vdpdk,1,11,update,64.30473157516448,74.0,100.0,452175.0,,
2,2,16,-1,vmux-vdpdk,1,11,overall,,,,,61013.0,14829.921492141018
0,2,16,-1,vmux-vdpdk,1,12,read,67.17031720049549,78.0,123.0,452080.0,,
1,2,16,-1,vmux-vdpdk,1,12,update,64.68963652602116,76.0,120.0,451229.0,,
2,2,16,-1,vmux-vdpdk,1,12,overall,,,,,61014.0,14804.946405742945
0,2,16,-1,vmux-vdpdk,1,13,read,67.68801956976095,77.0,108.0,446403.0,,
1,2,16,-1,vmux-vdpdk,1,13,update,65.74450783378747,75.0,108.0,446272.0,,
2,2,16,-1,vmux-vdpdk,1,13,overall,,,,,61019.0,14629.459676494207
0,2,16,-1,vmux-vdpdk,1,14,read,66.15695494055961,77.0,101.0,458106.0,,
1,2,16,-1,vmux-vdpdk,1,14,update,63.880557990640554,74.0,101.0,458574.0,,
2,2,16,-1,vmux-vdpdk,1,14,overall,,,,,61028.0,15020.646260732778
0,2,16,-1,vmux-vdpdk,1,15,read,68.38062770805739,80.0,127.0,445430.0,,
1,2,16,-1,vmux-vdpdk,1,15,update,65.530715063847,77.0,124.0,445205.0,,
2,2,16,-1,vmux-vdpdk,1,15,overall,,,,,61012.0,14597.702091391857
0,2,16,-1,vmux-vdpdk,1,16,read,66.49367197532335,77.0,113.0,453222.0,,
1,2,16,-1,vmux-vdpdk,1,16,update,64.98433061951434,76.0,115.0,453113.0,,
2,2,16,-1,vmux-vdpdk,1,16,overall,,,,,61019.0,14853.324374375195
