Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1740188045,Device: id=0,RX,0.0052461877092067,2.6866061061864,3.5259961396595,5329,341126
1740188045,Device: id=0,TX,0.0052409969432369,2.6833904349373,3.5219499458552,5536,354304
1740188046,Device: id=0,RX,0.0070622667699399,3.6158805862092,4.7458432693996,12435,795910
1740188046,Device: id=0,TX,0.0071507629536235,3.6611906322552,4.805312704835,12729,814656
1740188047,Device: id=0,RX,0.0072545058384344,3.7143069892784,4.8750279234279,19729,1262726
1740188047,Device: id=0,TX,0.0072679664835536,3.7211988395794,4.884073476948,20037,1282368
1740188048,Device: id=0,RX,0.0072286739405604,3.7010810575669,4.8576688880566,27007,1728518
1740188048,Device: id=0,TX,0.0072089098338018,3.6909618349065,4.8443874083148,27295,1746880
1740188049,Device: id=0,RX,0.0072741415064045,3.7243604512791,4.8882230923038,34321,2196614
1740188049,Device: id=0,TX,0.0072776342561112,3.7261487391289,4.8905702201067,34613,2215232
1740188050,Device: id=0,RX,0.0071985142847582,3.6856393137962,4.8374015993575,41559,2659846
1740188050,Device: id=0,TX,0.0072138946222662,3.6935140466003,4.8477371861629,41866,2679424
1740188051,Device: id=0,RX,0.0072657079970322,3.7200424944805,4.8825557740057,48864,3127366
1740188051,Device: id=0,TX,0.0072677680625219,3.7210972480112,4.8839401380147,49173,3147072
1740188052,Device: id=0,RX,0.0072208930000666,3.6970972160341,4.8524400960447,56124,3592006
1740188052,Device: id=0,TX,0.0072202431208963,3.6967644778989,4.8520033772423,56432,3611648
1740188053,Device: id=0,RX,0.0072970474490904,3.7360882939343,4.9036158857887,63460,4061510
1740188053,Device: id=0,TX,0.0072927396522878,3.7338827019714,4.9007210463374,63764,4080896
1740188054,Device: id=0,RX,0.0072263284971081,3.6998801905194,4.8560927500566,70726,4526534
1740188054,Device: id=0,TX,0.0072304204009174,3.7019752452697,4.8588425094165,71034,4546176
1740188055,Device: id=0,RX,0.0072113093433693,3.6921903838051,4.8459998787442,77976,4990534
1740188055,Device: id=0,TX,0.0072018050871686,3.6873242046303,4.8396130185773,78275,5009600
1740188056,Device: id=0,RX,0.0072483761689686,3.7111685985119,4.8709087855469,85264,5456966
1740188056,Device: id=0,TX,0.0072483532881568,3.7111568835363,4.8708934096414,85563,5476032
1740188057,Device: id=0,RX,0.0072425434425709,3.7081822425963,4.8669891934076,92546,5923014
1740188057,Device: id=0,TX,0.0072418512019015,3.7078278153736,4.8665240076778,92844,5942016
1740188058,Device: id=0,RX,0.0073001824924609,3.73769343614,4.9057226349337,99886,6392774
1740188058,Device: id=0,TX,0.0072856925886377,3.7302746053825,4.8959854195645,100170,6410880
1740188059,Device: id=0,RX,0.0072457391479017,3.7098184437257,4.8691367073899,107172,6859078
1740188059,Device: id=0,TX,0.0072510189915981,3.7125217236982,4.872684762354,107461,6877504
1740188060,Device: id=0,RX,0.0072241624455988,3.6987711721466,4.8546371634424,114436,7323974
1740188061,Device: id=0,TX,0.0072125116631238,3.6928059715194,4.8468078376192,114713,7341632
1740188061,Device: id=0,RX,0.0072445107567108,3.7091895074359,4.8683112285096,121720,7790150
1740188062,Device: id=0,TX,0.0072392467902208,3.706494356593,4.8647738430283,121992,7807488
1740188062,Device: id=0,RX,0.0072758772648679,3.7252491596124,4.8893895219912,129036,8258374
1740188063,Device: id=0,TX,0.0072891113977788,3.7320250356628,4.8982828593074,129321,8276544
1740188063,Device: id=0,RX,0.0071769211046752,3.6745836055937,4.8228909823417,136252,8720198
1740188064,Device: id=0,TX,0.007171777641823,3.6719501526134,4.8194345753051,136532,8738048
1740188064,Device: id=0,RX,0.0073030935931062,3.7391839196704,4.9076788945673,143595,9190150
1740188065,Device: id=0,TX,0.0073052583709956,3.7402922859497,4.909133625309,143878,9208192
1740188065,Device: id=0,RX,0.0071578081363104,3.6647977657909,4.8100470676006,150793,9650822
1740188066,Device: id=0,TX,0.0071635552663041,3.6677402963477,4.8139091389563,151081,9669184
1740188066,Device: id=0,RX,0.0072775380578387,3.7260994856134,4.8905055748676,158111,10119174
1740188067,Device: id=0,TX,0.0072678267891414,3.7211273160404,4.883979602303,158389,10136896
1740188068,Device: id=0,RX,0.0072458505820847,3.7098754980274,4.8692115911609,165396,10585414
1740188068,Device: id=0,TX,0.0072581220993456,3.7161585148649,4.8774580507602,165686,10603904
1740188069,Device: id=0,RX,0.0072339150698012,3.7037645157382,4.8611909269064,172669,11050886
1740188069,Device: id=0,TX,0.007221601734711,3.6974600881721,4.8529163657258,172947,11068608
1740188070,Device: id=0,RX,0.0073002298804648,3.737717698798,4.9057544796724,180009,11520646
1740188070,Device: id=0,TX,0.0073189390636469,3.7472968005872,4.9183270507707,180306,11539584
1740188071,Device: id=0,RX,0.0072086158111359,3.6908112953016,4.8441898250833,187257,11984518
1740188071,Device: id=0,TX,0.0072036465032012,3.688267009639,4.8408504501512,187549,12003136
1740188072,Device: id=0,RX,0.0073300896024727,3.753005876466,4.9258202128616,194627,12456198
1740188072,Device: id=0,TX,0.0073341318542852,3.755075509394,4.9285366060797,194923,12475072
1740188073,Device: id=0,RX,0.0072195239409085,3.6963962577451,4.8515200882905,201886,12920774
1740188073,Device: id=0,TX,0.0072135260487647,3.6933253369675,4.8474895047699,202176,12939264
1740188074,Device: id=0,RX,0.0072404838322486,3.7071277221113,4.865605135271,209166,13386694
1740188074,Device: id=0,TX,0.0072444927728873,3.7091802997183,4.8682991433802,209460,13405440
1740188074,Device: id=0,RX,0.0072398160698889,3.7067858277831,4.8651563989654,215658,13802182
1740188074,Device: id=0,TX,0.0072429574478454,3.7083942132969,4.8672674049521,215657,13802048
