Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1740189779,Device: id=0,RX,0.084105679292607,43.062617414589,56.519526101406,84760,5424640
1740189779,Device: id=0,TX,2.6893880274535,1376.9666700562,1807.2687544487,2843262,181967872
1740189780,Device: id=0,RX,0.083535170387434,42.769496295479,56.135123557468,168468,10781888
1740189780,Device: id=0,TX,2.6839191962995,1374.1747969343,1803.6018683422,5534926,354235392
1740189781,Device: id=0,RX,0.083771195284457,42.891361112132,56.294752357645,252712,16173568
1740189781,Device: id=0,TX,2.6894318344007,1376.9890992132,1807.2981927173,8239542,527330816
1740189782,Device: id=0,RX,0.08353493539406,42.769886921759,56.135476584808,336702,21548928
1740189782,Device: id=0,TX,2.6894459286063,1376.9881682383,1807.2995168153,10943774,700400640
1740189783,Device: id=0,RX,0.083563120051688,42.784317466464,56.154416674735,420732,26926848
1740189783,Device: id=0,TX,2.6894257391011,1376.9941254673,1807.3022437235,13648039,873474624
1740189784,Device: id=0,RX,0.083574864208097,42.790330474545,56.162308747841,504762,32304768
1740189784,Device: id=0,TX,2.6894404387706,1376.9935046505,1807.3039748538,16352128,1046536320
1740189785,Device: id=0,RX,0.083497782844815,42.750864816545,56.110510071715,588800,37683200
1740189785,Device: id=0,TX,2.6894311051553,1376.9887258395,1807.2977026643,19058986,1219775232
1740189786,Device: id=0,RX,0.083635990942038,42.821627362324,56.20338591305,673083,43077312
1740189786,Device: id=0,TX,2.6894368841476,1376.9916846835,1807.3015861472,21769122,1393223936
1740189787,Device: id=0,RX,0.083563876507512,42.784704771846,56.154925013048,757094,48454016
1740189787,Device: id=0,TX,2.6894318299008,1376.9890969092,1807.2981896933,24473020,1566273408
1740189788,Device: id=0,RX,0.083511733115652,42.757498052413,56.119375350917,841048,53827008
1740189788,Device: id=0,TX,2.6894345454463,1376.9904872685,1807.3000145399,27176693,1739308480
1740189789,Device: id=0,RX,0.083511104121472,42.758194584894,56.11997124433,925006,59200384
1740189789,Device: id=0,TX,2.6894491593824,1376.9979696038,1807.3098351049,29880607,1912358976
1740189790,Device: id=0,RX,0.083562949246666,42.784230014293,56.154301893759,1009042,64578688
1740189790,Device: id=0,TX,2.6851749053547,1374.8014063532,1804.42939121,32581214,2085196800
1740189791,Device: id=0,RX,0.083545701343216,42.775399087727,56.142711302641,1093242,69967488
1740189791,Device: id=0,TX,2.689437309539,1377.0000314856,1807.3100010118,35291494,2258655744
1740189792,Device: id=0,RX,0.083569704747711,42.787688830828,56.158841590462,1177263,75344832
1740189792,Device: id=0,TX,2.6894301967629,1376.9882607426,1807.2970922247,37995296,2431699072
