,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
0,2,32,-1,vmux-med,1,1,read,469.49846674421065,1134.0,4231.0,66199.0,,
1,2,32,-1,vmux-med,1,1,update,441.74740421946007,1040.0,4215.0,66454.0,,
2,2,32,-1,vmux-med,1,1,overall,,,,,61203.0,2167.426433344771
0,2,32,-1,vmux-med,1,2,read,412.5215296430648,1056.0,4243.0,72226.0,,
1,2,32,-1,vmux-med,1,2,update,422.25329939407357,1030.0,4271.0,72286.0,,
2,2,32,-1,vmux-med,1,2,overall,,,,,61014.0,2368.5055888812403
0,2,32,-1,vmux-med,1,3,read,355.69097693351426,1113.0,4203.0,85492.0,,
1,2,32,-1,vmux-med,1,3,update,351.4266756079483,1100.0,4203.0,84999.0,,
2,2,32,-1,vmux-med,1,3,overall,,,,,61014.0,2794.29311305602
0,2,32,-1,vmux-med,1,4,read,352.51836799745,1118.0,4203.0,87843.0,,
1,2,32,-1,vmux-med,1,4,update,335.463395915188,969.0,4179.0,87299.0,,
2,2,32,-1,vmux-med,1,4,overall,,,,,61028.0,2869.8630136986303
0,2,32,-1,vmux-med,1,5,read,347.3193897581302,1074.0,4203.0,87113.0,,
1,2,32,-1,vmux-med,1,5,update,343.4207947990111,998.0,4183.0,87368.0,,
2,2,32,-1,vmux-med,1,5,overall,,,,,61014.0,2859.6879404726783
0,2,32,-1,vmux-med,1,6,read,482.9603195136149,1325.0,4583.0,61844.0,,
1,2,32,-1,vmux-med,1,6,update,493.98847173716206,1409.0,4823.0,61848.0,,
2,2,32,-1,vmux-med,1,6,overall,,,,,61121.0,2023.7234338443416
0,2,32,-1,vmux-med,1,7,read,372.5416847026232,1198.0,4895.0,80857.0,,
1,2,32,-1,vmux-med,1,7,update,372.3086104322496,1284.0,4979.0,81018.0,,
2,2,32,-1,vmux-med,1,7,overall,,,,,61017.0,2652.949178097907
0,2,32,-1,vmux-med,1,8,read,353.8620729954305,1106.0,4231.0,85567.0,,
1,2,32,-1,vmux-med,1,8,update,348.1326431011643,1033.0,4223.0,86058.0,,
2,2,32,-1,vmux-med,1,8,overall,,,,,61025.0,2812.371978697255
0,2,32,-1,vmux-med,1,9,read,164.91150543664688,256.0,435.0,183661.0,,
1,2,32,-1,vmux-med,1,9,update,161.8044803513487,254.0,434.0,183066.0,,
2,2,32,-1,vmux-med,1,9,overall,,,,,61020.0,6009.947558177647
0,2,32,-1,vmux-med,1,10,read,152.08832533698882,253.0,384.0,196965.0,,
1,2,32,-1,vmux-med,1,10,update,151.91232201033176,250.0,389.0,197062.0,,
2,2,32,-1,vmux-med,1,10,overall,,,,,61012.0,6458.188553071527
0,2,32,-1,vmux-med,1,11,read,177.23802741573556,275.0,462.0,172018.0,,
1,2,32,-1,vmux-med,1,11,update,171.7842865463017,272.0,460.0,171700.0,,
2,2,32,-1,vmux-med,1,11,overall,,,,,61016.0,5633.243739347056
0,2,32,-1,vmux-med,1,12,read,177.22606541422124,280.0,491.0,169535.0,,
1,2,32,-1,vmux-med,1,12,update,175.58607356916207,278.0,495.0,170180.0,,
2,2,32,-1,vmux-med,1,12,overall,,,,,61026.0,5566.725657916298
0,2,32,-1,vmux-med,1,13,read,178.81427110851078,279.0,462.0,169209.0,,
1,2,32,-1,vmux-med,1,13,update,176.0300350112261,276.0,453.0,168803.0,,
2,2,32,-1,vmux-med,1,13,overall,,,,,61015.0,5539.818077521921
0,2,32,-1,vmux-med,1,14,read,166.63710047238874,261.0,432.0,180995.0,,
1,2,32,-1,vmux-med,1,14,update,164.99914258529893,258.0,431.0,180776.0,,
2,2,32,-1,vmux-med,1,14,overall,,,,,61014.0,5929.311305601993
0,2,32,-1,vmux-med,1,15,read,172.77721218484996,271.0,450.0,175234.0,,
1,2,32,-1,vmux-med,1,15,update,169.5475935828877,269.0,448.0,174845.0,,
2,2,32,-1,vmux-med,1,15,overall,,,,,61015.0,5737.5891174301405
0,2,32,-1,vmux-med,1,16,read,170.69719934475663,270.0,502.0,176423.0,,
1,2,32,-1,vmux-med,1,16,update,170.45439731964186,269.0,507.0,174902.0,,
2,2,32,-1,vmux-med,1,16,overall,,,,,61019.0,5757.632868450811
0,2,32,-1,vmux-med,1,17,read,167.40672013536002,268.0,461.0,179669.0,,
1,2,32,-1,vmux-med,1,17,update,165.12957167029782,265.0,462.0,180842.0,,
2,2,32,-1,vmux-med,1,17,overall,,,,,61017.0,5908.369798580723
0,2,32,-1,vmux-med,1,18,read,269.6969176851186,277.0,477.0,111280.0,,
1,2,32,-1,vmux-med,1,18,update,273.1244717529206,276.0,485.0,110507.0,,
2,2,32,-1,vmux-med,1,18,overall,,,,,61018.0,3634.779901012816
0,2,32,-1,vmux-med,1,19,read,173.84433002723793,277.0,465.0,174022.0,,
1,2,32,-1,vmux-med,1,19,update,170.85931620101462,276.0,473.0,174057.0,,
2,2,32,-1,vmux-med,1,19,overall,,,,,61014.0,5704.903792572197
0,2,32,-1,vmux-med,1,20,read,171.338888289138,271.0,468.0,175999.0,,
1,2,32,-1,vmux-med,1,20,update,169.16484475993923,269.0,462.0,176372.0,,
2,2,32,-1,vmux-med,1,20,overall,,,,,61015.0,5775.153650741621
0,2,32,-1,vmux-med,1,21,read,170.12876413833385,271.0,473.0,178062.0,,
1,2,32,-1,vmux-med,1,21,update,167.44655804779907,269.0,468.0,176949.0,,
