,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
0,2,64,-1,vmux-vdpdk,1,1,read,141.31588047129324,279.0,398.0,212267.0,,
1,2,64,-1,vmux-vdpdk,1,1,update,139.98685270911034,280.0,401.0,213428.0,,
2,2,64,-1,vmux-vdpdk,1,1,overall,,,,,61016.0,6976.776583191294
0,2,64,-1,vmux-vdpdk,1,2,read,155.73761617496038,294.0,421.0,193781.0,,
1,2,64,-1,vmux-vdpdk,1,2,update,153.7591488614291,295.0,424.0,193576.0,,
2,2,64,-1,vmux-vdpdk,1,2,overall,,,,,61025.0,6347.5133142154855
0,2,64,-1,vmux-vdpdk,1,3,read,161.2132255365413,296.0,416.0,187637.0,,
1,2,64,-1,vmux-vdpdk,1,3,update,158.98309691849173,296.0,411.0,186889.0,,
2,2,64,-1,vmux-vdpdk,1,3,overall,,,,,61017.0,6138.059884950096
0,2,64,-1,vmux-vdpdk,1,4,read,142.4764094637974,281.0,395.0,210275.0,,
1,2,64,-1,vmux-vdpdk,1,4,update,142.07683756989013,281.0,401.0,210509.0,,
2,2,64,-1,vmux-vdpdk,1,4,overall,,,,,61013.0,6896.628587350237
0,2,64,-1,vmux-vdpdk,1,5,read,168.96193066702486,310.0,443.0,178674.0,,
1,2,64,-1,vmux-vdpdk,1,5,update,167.66980446911649,309.0,442.0,177619.0,,
2,2,64,-1,vmux-vdpdk,1,5,overall,,,,,61015.0,5839.432926329591
0,2,64,-1,vmux-vdpdk,1,6,read,150.41940626717977,289.0,401.0,200090.0,,
1,2,64,-1,vmux-vdpdk,1,6,update,149.01531593166507,288.0,402.0,200249.0,,
2,2,64,-1,vmux-vdpdk,1,6,overall,,,,,61026.0,6560.138301707469
0,2,64,-1,vmux-vdpdk,1,7,read,177.07169851305053,327.0,467.0,169878.0,,
1,2,64,-1,vmux-vdpdk,1,7,update,176.31232416172696,328.0,473.0,169545.0,,
2,2,64,-1,vmux-vdpdk,1,7,overall,,,,,61016.0,5562.852366592369
0,2,64,-1,vmux-vdpdk,1,8,read,146.37445901144534,286.0,424.0,205411.0,,
1,2,64,-1,vmux-vdpdk,1,8,update,144.7443434416891,286.0,423.0,206265.0,,
2,2,64,-1,vmux-vdpdk,1,8,overall,,,,,61013.0,6747.348925638798
0,2,64,-1,vmux-vdpdk,1,9,read,162.28721932876624,296.0,415.0,185092.0,,
1,2,64,-1,vmux-vdpdk,1,9,update,161.0622992068163,295.0,418.0,185203.0,,
2,2,64,-1,vmux-vdpdk,1,9,overall,,,,,61013.0,6069.116417812597
