Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1744836985,Device: id=0,RX,0.0013067791096344,0.66962825089703,0.87871290843853,1323,84742
1744836985,Device: id=0,TX,5.3787527807423,2753.9292320522,3614.529676971,5698240,364687360
1744836986,Device: id=0,RX,0.0013063177174895,0.66883467135464,0.87784550615296,2638,168902
1744836986,Device: id=0,TX,5.3788111158399,2753.95129131,3614.5610698444,11090519,709793216
1744836987,Device: id=0,RX,0.0013425665225067,0.68739405952344,0.90220470312451,3990,255430
1744836987,Device: id=0,TX,5.3788104566771,2753.9428189952,3614.5524920635,16507135,1056455616
1744836988,Device: id=0,RX,0.0013091331380997,0.67027616670703,0.87973746880298,5306,339654
1744836988,Device: id=0,TX,5.3788117070496,2753.9531220207,3614.5629951486,21914068,1402499520
1744836989,Device: id=0,RX,0.0012932809343314,0.66215983837769,0.86908478787072,6606,422854
1744836989,Device: id=0,TX,5.3788119515724,2753.9583407151,3614.5682529666,27320897,1748537408
1744836990,Device: id=0,RX,0.001295132000511,0.66310758426164,0.8703287043434,7908,506182
1744836990,Device: id=0,TX,5.3665178951311,2747.6495226288,3606.2923858498,32715739,2093806336
1744836991,Device: id=0,RX,0.001288045004242,0.65947904217192,0.86556624285064,9203,589062
1744836991,Device: id=0,TX,5.3788022126014,2753.9533527081,3614.5617067243,38123909,2439930048
1744836992,Device: id=0,RX,0.0013030933403275,0.66718379024769,0.8756787247001,10513,672902
1744836992,Device: id=0,TX,5.3788248159635,2753.951684474,3614.5636550282,43530923,2785978112
1744836993,Device: id=0,RX,0.0012890412312488,0.65998911039938,0.86623570739918,11809,755846
1744836993,Device: id=0,TX,5.3787947031967,2753.9505263697,3614.5576788811,48939059,3132099776
1744836994,Device: id=0,RX,0.0012950020619102,0.66304105569801,0.87024138560364,13111,839174
1744836994,Device: id=0,TX,5.3788101401764,2753.9507917703,3614.5604141986,54346925,3478203200
1744836995,Device: id=0,RX,0.0012910027395252,0.6609934026369,0.86755384096093,14409,922246
1744836995,Device: id=0,TX,5.3788175255646,2753.9540638512,3614.5648679416,59754918,3824314688
1744836996,Device: id=0,RX,0.0012965503563077,0.66383378242954,0.87128183943877,15715,1005830
1744836996,Device: id=0,TX,5.3788129570412,2753.9527422471,3614.5628153737,65173502,4171104128
1744836997,Device: id=0,RX,0.0013027713553601,0.66701893394435,0.87546235080196,17025,1089670
1744836997,Device: id=0,TX,5.3788132781969,2753.9523984368,3614.5625229483,70581640,4517224960
1744836998,Device: id=0,RX,0.0012969191155702,0.66402258717195,0.87152964566318,18329,1173126
1744836998,Device: id=0,TX,5.3787986002345,2753.9433557614,3614.5511317989,75990162,4863370176
1744836999,Device: id=0,RX,0.0012889063336916,0.6599200428501,0.86614505624076,19625,1256070
1744836999,Device: id=0,TX,5.3788119890013,2753.9527568497,3614.5626750899,81398121,5209479680
1744837000,Device: id=0,RX,0.0012890320322212,0.65998440049725,0.86622952565264,20921,1339014
1744837000,Device: id=0,TX,5.3677935761581,2748.3026723021,3607.1496444874,86794943,5554875328
1744837001,Device: id=0,RX,0.0012959864445333,0.66354505960103,0.87090289072635,22224,1422406
1744837001,Device: id=0,TX,5.3788060395193,2753.9486922339,3614.5576585569,92202841,5900980800
1744837002,Device: id=0,RX,0.0012950133500784,0.66304683524017,0.87024897125272,23526,1505734
1744837002,Device: id=0,TX,5.3788163186039,2753.9539551252,3614.5645661019,97610675,6247082176
1744837003,Device: id=0,RX,0.0012999703653488,0.66558482705858,0.87358008551439,24833,1589382
1744837003,Device: id=0,TX,5.3788088214735,2753.9582644587,3614.5676758944,103018620,6593191680
1744837004,Device: id=0,RX,0.0013048886847199,0.66810300657656,0.87688519613174,26145,1673350
1744837004,Device: id=0,TX,5.3788075854821,2753.9494837668,3614.558697444,108426709,6939309376
1744837005,Device: id=0,RX,0.0012843044576114,0.65756388229704,0.86305259551487,27438,1756102
1744837005,Device: id=0,TX,5.3788490107634,2753.9625573327,3614.5783990549,113842462,7285916544
1744837006,Device: id=0,RX,0.0013016740571608,0.66645711726635,0.87472496641209,28747,1839878
1744837006,Device: id=0,TX,5.3787621589225,2753.934372249,3614.5363176766,119251013,7632064832
1744837007,Device: id=0,RX,0.0012730638471798,0.65180868975605,0.85549890530481,30027,1921798
1744837007,Device: id=0,TX,5.3788221303479,2753.9523477285,3614.5638885842,124659165,7978185984
1744837008,Device: id=0,RX,0.0012731142721243,0.65183450732763,0.85553279086751,31307,2003718
1744837008,Device: id=0,TX,5.3788044320272,2753.9524523949,3614.5611615193,130067078,8324292992
1744837009,Device: id=0,RX,0.0012999233414085,0.66556075080116,0.87354848542652,32614,2087366
1744837009,Device: id=0,TX,5.3788103707688,2753.9509098336,3614.5605691566,135475103,8670406592
1744837010,Device: id=0,RX,0.001294002694785,0.66252937972994,0.86956981089555,33915,2170630
1744837010,Device: id=0,TX,5.3665259348518,2747.6612786441,3606.3054282204,140870450,9015708800
1744837011,Device: id=0,RX,0.001296130882541,0.66361901186098,0.87099995306754,35218,2254022
1744837011,Device: id=0,TX,5.3788123189443,2753.9519072995,3614.5618783306,146277514,9361760896
1744837012,Device: id=0,RX,0.0012981288101363,0.66464195078978,0.87234256041158,36523,2337542
1744837012,Device: id=0,TX,5.3788048730987,2753.9480950265,3614.5568747223,151685042,9707842688
1744837013,Device: id=0,RX,0.0013070649751052,0.66921726725387,0.87834766327071,37837,2421638
1744837013,Device: id=0,TX,5.378811778217,2753.9516304471,3614.5615149618,157099468,10054365952
1744837014,Device: id=0,RX,0.0012967878595027,0.66395538406538,0.87144144158581,40059,2563846
1744837014,Device: id=0,TX,5.3775387391937,2753.2998352493,3613.7060335203,160894897,10297273408
