Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1744854126,Device: id=0,RX,0,0,0,0,0
1744854126,Device: id=0,TX,32.877120657913,16833.055112198,22093.394417464,34673625,2219107968
1744854127,Device: id=0,RX,0,0,0,0,0
1744854127,Device: id=0,TX,32.934234343251,16862.340762325,22131.818257246,67663063,4330433600
1744854128,Device: id=0,RX,0,0,0,0,0
1744854128,Device: id=0,TX,32.945989028642,16868.365732005,22139.723976588,100790661,6450602304
1744854129,Device: id=0,RX,0,0,0,0,0
1744854129,Device: id=0,TX,32.905740737318,16847.718954355,22112.637472326,133983024,8574910976
1744854130,Device: id=0,RX,0,0,0,0,0
1744854130,Device: id=0,TX,32.921799399559,16855.965876106,22123.453780035,167080573,10693154688
1744854131,Device: id=0,RX,0,0,0,0,0
1744854131,Device: id=0,TX,32.958574627966,16874.805997053,22148.177937528,200215480,12813790720
1744854132,Device: id=0,RX,0,0,0,0,0
1744854132,Device: id=0,TX,32.94169310465,16866.135156266,22136.80605301,233333464,14933340224
1744854133,Device: id=0,RX,0,0,0,0,0
1744854133,Device: id=0,TX,32.968692618462,16879.961962959,22154.952781913,266478492,17054620928
1744854134,Device: id=0,RX,0,0,0,0,0
1744854134,Device: id=0,TX,32.918073666071,16854.065429544,22120.957216116,299574987,19172798080
1744854135,Device: id=0,RX,0,0,0,0,0
1744854135,Device: id=0,TX,32.958025228183,16874.517574502,22147.801611011,332709373,21293399872
1744854136,Device: id=0,RX,0,0,0,0,0
1744854136,Device: id=0,TX,32.961685785837,16876.373957338,22150.243683072,365854440,23414683008
1744854137,Device: id=0,RX,0,0,0,0,0
1744854137,Device: id=0,TX,32.918415400915,16854.205767556,22121.152231703,398948506,25532700352
1744854138,Device: id=0,RX,0,0,0,0,0
1744854138,Device: id=0,TX,32.943467879365,16867.067252989,22138.022113688,432109496,27655005184
1744854139,Device: id=0,RX,0,0,0,0,0
1744854139,Device: id=0,TX,32.886137055827,16837.701153955,22099.483082887,465169033,29770815424
1744854140,Device: id=0,RX,0,0,0,0,0
1744854140,Device: id=0,TX,32.984618659774,16888.121188801,22165.660174364,498329414,31893079360
1744854141,Device: id=0,RX,0,0,0,0,0
1744854141,Device: id=0,TX,32.983999478786,16887.812825883,22165.252742489,531489938,34015353536
1744854142,Device: id=0,RX,0,0,0,0,0
1744854142,Device: id=0,TX,32.959780912973,16875.42763934,22148.992585416,564709416,36141402624
1744854143,Device: id=0,RX,0,0,0,0,0
1744854143,Device: id=0,TX,32.963285933117,16877.202397756,22151.328147055,597848858,38262326912
1744854144,Device: id=0,RX,0,0,0,0,0
1744854144,Device: id=0,TX,32.965234401873,16878.180662463,22152.618166762,630992457,40383514816
1744854145,Device: id=0,RX,0,0,0,0,0
1744854145,Device: id=0,TX,32.97255163917,16881.965790836,22157.574053103,664142925,42505147200
1744854146,Device: id=0,RX,0,0,0,0,0
1744854146,Device: id=0,TX,32.984017294505,16887.816854786,22165.259621907,697306559,44627619776
1744854147,Device: id=0,RX,0,0,0,0,0
1744854147,Device: id=0,TX,32.973661167264,16882.492617894,22158.278404657,730455262,46749134016
1744854148,Device: id=0,RX,0,0,0,0,0
1744854148,Device: id=0,TX,32.972559725804,16881.952107433,22157.561663562,763604320,48870673920
1744854149,Device: id=0,RX,0,0,0,0,0
1744854149,Device: id=0,TX,32.965708603294,16878.4545176,22152.967894127,796748150,50991880512
1744854150,Device: id=0,RX,0,0,0,0,0
1744854150,Device: id=0,TX,32.972167311374,16881.727817141,22157.274586961,829976468,53118490112
1744854151,Device: id=0,RX,0,0,0,0,0
1744854151,Device: id=0,TX,32.946770963447,16868.751316977,22140.234671129,863097956,55238265920
1744854152,Device: id=0,RX,0,0,0,0,0
1744854152,Device: id=0,TX,32.967423018088,16879.324659287,22154.112342181,896243195,57359561728
1744854153,Device: id=0,RX,0,0,0,0,0
1744854153,Device: id=0,TX,33.002053704427,16897.057595149,22177.386187858,929491565,59487458176
1744854154,Device: id=0,RX,0,0,0,0,0
1744854154,Device: id=0,TX,32.987220983891,16889.448994927,22167.40435235,962653561,61609824896
1744854155,Device: id=0,RX,0,0,0,0,0
1744854155,Device: id=0,TX,32.973061795279,16882.231576495,22157.921463739,995801132,63731272448
1744854156,Device: id=0,RX,0,0,0,0,0
1744854156,Device: id=0,TX,33.00672688011,16899.444162616,22180.520463434,1028982912,65854906368
1744854157,Device: id=0,RX,0,0,0,0,0
1744854157,Device: id=0,TX,32.975444337366,16883.412221551,22159.483315529,1062132780,67976496000
1744854158,Device: id=0,RX,0,0,0,0,0
1744854158,Device: id=0,TX,32.950586341391,16870.705808327,22142.79962295,1095262574,70096803520
1744854159,Device: id=0,RX,0,0,0,0,0
1744854159,Device: id=0,TX,32.973591171425,16882.488341384,22158.262928812,1128462730,72221614720
1744854160,Device: id=0,RX,0,0,0,0,0
1744854160,Device: id=0,TX,32.972697988966,16881.993358265,22157.625036499,1161609536,74343006784
1744854161,Device: id=0,RX,0,0,0,0,0
1744854161,Device: id=0,TX,33.008735035571,16900.483033132,22181.880638823,1194794444,76466842240
1744854162,Device: id=0,RX,0,0,0,0,0
1744854162,Device: id=0,TX,33.026190663802,16909.426932487,22193.617438695,1228002585,78592165440
1744854163,Device: id=0,RX,0,0,0,0,0
1744854163,Device: id=0,TX,33.021651208612,16907.064536517,22190.528729895,1261197719,80716651392
1744854164,Device: id=0,RX,0,0,0,0,0
1744854164,Device: id=0,TX,33.003109852496,16897.613123446,22178.110699845,1294379498,82840287872
1744854165,Device: id=0,RX,0,0,0,0,0
1744854165,Device: id=0,TX,32.993941022335,16892.877994305,22171.908557879,1327638051,84968832768
1744854166,Device: id=0,RX,0,0,0,0,0
1744854166,Device: id=0,TX,32.991442793904,16891.606487775,22170.2373348,1360805741,87091563392
1744854167,Device: id=0,RX,0,0,0,0,0
1744854167,Device: id=0,TX,32.974992870441,16883.21264612,22159.21150539,1393957879,89213302272
1744854168,Device: id=0,RX,0,0,0,0,0
1744854168,Device: id=0,TX,32.952225907342,16871.523367341,22143.879512516,1427085574,91333472704
1744854169,Device: id=0,RX,0,0,0,0,0
1744854169,Device: id=0,TX,33.009835622635,16901.067925936,22182.641625558,1460269118,93457223552
1744854170,Device: id=0,RX,0,0,0,0,0
1744854170,Device: id=0,TX,33.000769367285,16896.39391605,22176.517014816,1493443023,95580353472
1744854171,Device: id=0,RX,0,0,0,0,0
1744854171,Device: id=0,TX,32.980367571923,16885.916108897,22162.774920405,1526596138,97702148800
1744854172,Device: id=0,RX,0,0,0,0,0
1744854172,Device: id=0,TX,32.975127213755,16883.281940411,22159.302294612,1559745944,99823738496
1744854173,Device: id=0,RX,0,0,0,0,0
1744854173,Device: id=0,TX,32.994147531927,16892.986726872,22172.050331981,1592909927,101946231296
1744854174,Device: id=0,RX,0,0,0,0,0
1744854174,Device: id=0,TX,32.981203076832,16886.397366111,22163.389858404,1626065709,104068204032
1744854175,Device: id=0,RX,0,0,0,0,0
1744854175,Device: id=0,TX,32.983921096476,16887.76811072,22165.195486156,1659222919,106190265536
1744854176,Device: id=0,RX,0,0,0,0,0
1744854176,Device: id=0,TX,32.970908905378,16881.115546224,22156.460971084,1692366438,108311452032
1744854177,Device: id=0,RX,0,0,0,0,0
1744854177,Device: id=0,TX,33.015870077743,16904.122431649,22186.661644088,1725640576,110440996480
1744854178,Device: id=0,RX,0,0,0,0,0
1744854178,Device: id=0,TX,33.000976786958,16896.471086468,22176.627372381,1758818385,112564372608
1744854179,Device: id=0,RX,0,0,0,0,0
1744854179,Device: id=0,TX,33.011438808356,16901.888752615,22183.718961952,1792008102,114688518528
1744854180,Device: id=0,RX,0,0,0,0,0
1744854180,Device: id=0,TX,32.829763389543,16808.806772419,22061.568914746,1825014864,116800947264
1744854181,Device: id=0,RX,0,0,0,0,0
1744854181,Device: id=0,TX,32.969650955451,16880.469437348,22155.613590221,1858161914,118922359488
1744854182,Device: id=0,RX,0,0,0,0,0
1744854182,Device: id=0,TX,32.972465344934,16881.895126989,22157.489582179,1891311891,121043957120
1744854183,Device: id=0,RX,0,0,0,0,0
