Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1719443398,Device: id=0,RX,0,0,0,0,0
1719443398,Device: id=0,TX,1.051425487178,538.32984943514,706.55792738362,1120512,71712768
1719443399,Device: id=0,RX,0,0,0,0,0
1719443399,Device: id=0,TX,1.0515016467318,538.3688431267,706.6091066038,2174203,139148992
1719443400,Device: id=0,RX,0,0,0,0,0
1719443400,Device: id=0,TX,1.0514872879031,538.36149140637,706.59945747086,3233171,206922944
1719443401,Device: id=0,RX,0,0,0,0,0
1719443401,Device: id=0,TX,1.0514812208546,538.35838507756,706.5953804143,4290349,274582336
1719443402,Device: id=0,RX,0,0,0,0,0
1719443402,Device: id=0,TX,1.0514907836649,538.36328123641,706.60180662279,5347639,342248896
1719443403,Device: id=0,RX,0,0,0,0,0
1719443403,Device: id=0,TX,1.0515038578808,538.36183077815,706.60244803908,6405281,409936960
1719443404,Device: id=0,RX,0,0,0,0,0
1719443404,Device: id=0,TX,1.0514918019575,538.36380260226,706.60249091547,7465099,477765312
1719443405,Device: id=0,RX,0,0,0,0,0
1719443405,Device: id=0,TX,1.0514793144596,538.36555659028,706.60224690382,8522310,545427840
1719443406,Device: id=0,RX,0,0,0,0,0
1719443406,Device: id=0,TX,1.051501046075,538.36853559042,706.60870296243,9579615,613095360
1719443407,Device: id=0,RX,0,0,0,0,0
1719443407,Device: id=0,TX,1.0514927715736,538.35615911551,706.59500256729,10637834,680820352
1719443408,Device: id=0,RX,0,0,0,0,0
1719443408,Device: id=0,TX,1.0514797180021,538.36573042433,706.60248530466,11699316,748756224
1719443409,Device: id=0,RX,0,0,0,0,0
1719443409,Device: id=0,TX,1.0515032021376,538.36148985692,706.60200219893,12756285,816401216
1719443410,Device: id=0,RX,0,0,0,0,0
1719443410,Device: id=0,TX,1.0514893029094,538.36252308962,706.60081155513,13813382,884055424
1719443411,Device: id=0,RX,0,0,0,0,0
1719443411,Device: id=0,TX,1.0514864336339,538.36920154708,706.60703092851,14870608,951718912
1719443412,Device: id=0,RX,0,0,0,0,0
1719443412,Device: id=0,TX,1.0514870272375,538.36135794562,706.59928230363,15927849,1019382336
1719443413,Device: id=0,RX,0,0,0,0,0
1719443413,Device: id=0,TX,1.0514962211678,538.36606523793,706.60546062478,16985076,1087044864
1719443414,Device: id=0,RX,0,0,0,0,0
1719443414,Device: id=0,TX,1.051477188177,538.35632034661,706.59267045492,18042332,1154709248
1719443415,Device: id=0,RX,0,0,0,0,0
1719443415,Device: id=0,TX,1.0515027589468,538.36941258077,706.60985401225,19099622,1222375808
1719443416,Device: id=0,RX,0,0,0,0,0
1719443416,Device: id=0,TX,1.0514883600751,538.36204035843,706.60017797043,20156750,1290032000
1719443417,Device: id=0,RX,0,0,0,0,0
1719443417,Device: id=0,TX,1.051478505738,538.35699493787,706.59355585595,21213959,1357693376
1719443418,Device: id=0,RX,0,0,0,0,0
