Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1718230942,Device: id=0,RX,0,0,0,0,0
1718230942,Device: id=0,TX,1.0514356395588,538.33504745413,706.56474978354,1118128,71560192
1718230943,Device: id=0,RX,0,0,0,0,0
1718230943,Device: id=0,TX,1.0515019865039,538.36901709001,706.60933493064,2172521,139041344
1718230944,Device: id=0,RX,0,0,0,0,0
1718230944,Device: id=0,TX,1.0514749422112,538.35517041215,706.59116116595,3229731,206702784
1718230945,Device: id=0,RX,0,0,0,0,0
1718230945,Device: id=0,TX,1.0514972364708,538.36658507303,706.60614290835,4286877,274360128
1718230946,Device: id=0,RX,0,0,0,0,0
1718230946,Device: id=0,TX,1.051496010479,538.36595736523,706.60531904186,5344038,342018432
1718230947,Device: id=0,RX,0,0,0,0,0
1718230947,Device: id=0,TX,1.0514832609495,538.35942960614,706.59675135805,6401249,409679936
1718230948,Device: id=0,RX,0,0,0,0,0
1718230948,Device: id=0,TX,1.0515018012353,538.360773477,706.60106167466,7458331,477332160
1718230949,Device: id=0,RX,0,0,0,0,0
1718230949,Device: id=0,TX,1.0514811770936,538.36649282424,706.60348115921,8517811,545139904
1718230950,Device: id=0,RX,0,0,0,0,0
1718230950,Device: id=0,TX,1.051483882949,538.35974806991,706.59716934176,9574651,612777664
1718230951,Device: id=0,RX,0,0,0,0,0
1718230951,Device: id=0,TX,1.0515013923513,538.36871288388,706.6089356601,10631556,680419584
1718230952,Device: id=0,RX,0,0,0,0,0
1718230952,Device: id=0,TX,1.0514773244053,538.3563900955,706.59276200034,11691373,748247872
1718230953,Device: id=0,RX,0,0,0,0,0
1718230953,Device: id=0,TX,1.051493900495,538.36487705343,706.60390113263,12750376,816024064
1718230954,Device: id=0,RX,0,0,0,0,0
1718230954,Device: id=0,TX,1.051502190141,538.36097122128,706.60132164383,13807280,883664896
1718230955,Device: id=0,RX,0,0,0,0,0
1718230955,Device: id=0,TX,1.0514846845224,538.36830847069,706.60585799428,14864184,951307776
1718230956,Device: id=0,RX,0,0,0,0,0
1718230956,Device: id=0,TX,1.051486314392,538.36099296873,706.59880327146,15924098,1019142272
1718230957,Device: id=0,RX,0,0,0,0,0
1718230957,Device: id=0,TX,1.0514935598918,538.36470266459,706.60367224727,16981228,1086798592
1718230958,Device: id=0,RX,0,0,0,0,0
1718230958,Device: id=0,TX,1.0514894078831,538.36257683614,706.60088209744,18038342,1154453888
1718230959,Device: id=0,RX,0,0,0,0,0
1718230959,Device: id=0,TX,1.0514883958528,538.36205867665,706.60020201311,19095505,1222112320
1718230960,Device: id=0,RX,0,0,0,0,0
1718230960,Device: id=0,TX,1.0514952638944,538.36557511394,706.60481733705,20152491,1289759424
1718230961,Device: id=0,RX,0,0,0,0,0
1718230961,Device: id=0,TX,1.0514902163119,538.36299075169,706.60142536159,21211142,1357513088
1718230962,Device: id=0,RX,0,0,0,0,0
1718230962,Device: id=0,TX,1.0515089867804,538.37260123156,706.61403911642,22268046,1425154944
1718230963,Device: id=0,RX,0,0,0,0,0
1718230963,Device: id=0,TX,1.0514706849703,538.3529907048,706.58830030005,23325399,1492825536
1718230964,Device: id=0,RX,0,0,0,0,0
1718230964,Device: id=0,TX,1.0514859035913,538.36078263875,706.59852721335,24385362,1560663168
1718230965,Device: id=0,RX,0,0,0,0,0
1718230965,Device: id=0,TX,1.0514948880775,538.36538269565,706.60456478805,25442540,1628322560
1718230966,Device: id=0,RX,0,0,0,0,0
1718230966,Device: id=0,TX,1.0514877313591,538.36171845587,706.59975547333,26499653,1695977792
1718230967,Device: id=0,RX,0,0,0,0,0
1718230967,Device: id=0,TX,1.0514906975472,538.36323714419,706.60174875175,27556767,1763633088
1718230968,Device: id=0,RX,0,0,0,0,0
1718230968,Device: id=0,TX,1.05149133291,538.3635624499,706.6021757155,28613833,1831285312
1718230969,Device: id=0,RX,0,0,0,0,0
1718230969,Device: id=0,TX,1.0514908414615,538.36331082827,706.6018454621,29670995,1898943680
1718230970,Device: id=0,RX,0,0,0,0,0
1718230970,Device: id=0,TX,1.0514877806754,538.36174370579,706.59978861385,30728124,1966599936
1718230971,Device: id=0,RX,0,0,0,0,0
1718230971,Device: id=0,TX,1.0514903895146,538.36307943148,706.60154175381,31785286,2034258304
1718230972,Device: id=0,RX,0,0,0,0,0
1718230972,Device: id=0,TX,1.0515026799331,538.36122372573,706.60165251502,32842415,2101913536
1718230973,Device: id=0,RX,0,0,0,0,0
1718230973,Device: id=0,TX,1.0514782596539,538.36501727689,706.60153882151,33899528,2169569792
1718230974,Device: id=0,RX,0,0,0,0,0
1718230974,Device: id=0,TX,1.0515026680182,538.36936602533,706.60979290825,34957763,2237296832
1718230975,Device: id=0,RX,0,0,0,0,0
1718230975,Device: id=0,TX,1.0514762393814,538.35583456329,706.59203286431,36016140,2305032960
1718230976,Device: id=0,RX,0,0,0,0,0
1718230976,Device: id=0,TX,1.0514932410462,538.36453941567,706.60345798307,37073205,2372685120
1718230977,Device: id=0,RX,0,0,0,0,0
1718230977,Device: id=0,TX,1.0515010793721,538.36040500621,706.60057770574,38130432,2440346624
1718230978,Device: id=0,RX,0,0,0,0,0
1718230978,Device: id=0,TX,1.0514843416301,538.36813129585,706.60562595666,39187545,2508002880
1718230979,Device: id=0,RX,0,0,0,0,0
1718230979,Device: id=0,TX,1.0514913507195,538.36357156837,706.60218768348,40244706,2575661184
1718230980,Device: id=0,RX,0,0,0,0,0
1718230980,Device: id=0,TX,1.051486151894,538.36090976974,706.59869407278,41301852,2643318528
1718230981,Device: id=0,RX,0,0,0,0,0
1718230981,Device: id=0,TX,1.0514958951986,538.36589834167,706.60524157344,42358966,2710973824
1718230982,Device: id=0,RX,0,0,0,0,0
1718230982,Device: id=0,TX,1.0514880557607,538.3618845495,706.59997347121,43416128,2778632192
1718230983,Device: id=0,RX,0,0,0,0,0
1718230983,Device: id=0,TX,1.0514843076387,538.359965511,706.59745473319,44474297,2846355008
1718230984,Device: id=0,RX,0,0,0,0,0
1718230984,Device: id=0,TX,1.0514888856253,538.36230944014,706.60053114019,45531459,2914013376
1718230985,Device: id=0,RX,0,0,0,0,0
1718230985,Device: id=0,TX,1.0514982509188,538.36710447042,706.60682461742,46590301,2981779264
1718230986,Device: id=0,RX,0,0,0,0,0
1718230986,Device: id=0,TX,1.0514919875416,538.36389762129,706.60261562794,47648584,3049509376
1718230987,Device: id=0,RX,0,0,0,0,0
1718230987,Device: id=0,TX,1.0514831372407,538.35936626725,706.59666822576,48705635,3117160640
1718230988,Device: id=0,RX,0,0,0,0,0
1718230988,Device: id=0,TX,1.0514873792029,538.36153815189,706.59951882436,49764141,3184905024
1718230989,Device: id=0,RX,0,0,0,0,0
1718230989,Device: id=0,TX,1.0514949951518,538.36543751774,706.60463674203,50821255,3252560320
1718230990,Device: id=0,RX,0,0,0,0,0
1718230990,Device: id=0,TX,1.0514903081797,538.36303778803,706.60148709679,51878383,3320216512
1718230991,Device: id=0,RX,0,0,0,0,0
1718230991,Device: id=0,TX,1.0514907791239,538.36327891146,706.60180357129,52935545,3387874880
1718230992,Device: id=0,RX,0,0,0,0,0
1718230992,Device: id=0,TX,1.0514895481083,538.36264863146,706.60097632879,53992628,3455528192
1718230993,Device: id=0,RX,0,0,0,0,0
1718230993,Device: id=0,TX,1.051485622022,538.36063847528,706.59833799881,55049774,3523185536
1718230994,Device: id=0,RX,0,0,0,0,0
1718230994,Device: id=0,TX,1.0515059010182,538.37102132134,706.61196548426,56107624,3590887936
1718230995,Device: id=0,RX,0,0,0,0,0
1718230995,Device: id=0,TX,1.0514864701594,538.36107272164,706.59890794715,57164690,3658540160
1718230996,Device: id=0,RX,0,0,0,0,0
1718230996,Device: id=0,TX,1.0514900372601,538.36289907719,706.60130503882,58221885,3726200640
1718230997,Device: id=0,RX,0,0,0,0,0
1718230997,Device: id=0,TX,1.0514932521578,538.36454510482,706.60346545007,59278984,3793854976
1718230998,Device: id=0,RX,0,0,0,0,0
1718230998,Device: id=0,TX,1.0514887936928,538.3622623707,706.60046936154,60336866,3861559424
1718230999,Device: id=0,RX,0,0,0,0,0
1718230999,Device: id=0,TX,1.0514838918787,538.35975264189,706.59717534248,61393820,3929204480
1718231000,Device: id=0,RX,0,0,0,0,0
1718231000,Device: id=0,TX,1.0514897377354,538.36274572054,706.6011037582,62450981,3996862784
1718231001,Device: id=0,RX,0,0,0,0,0
1718231001,Device: id=0,TX,1.0514945527093,538.36521098716,706.60433942065,63508943,4064572352
1718231002,Device: id=0,RX,0,0,0,0,0
1718231002,Device: id=0,TX,1.0514905082185,538.36313990186,706.60162121683,64051514,4099296896
