,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
0,2,32,-1,bridge,0,1,read,196.49138780651774,261.0,317.0,153213.0,,
1,2,32,-1,bridge,0,1,update,194.42586075677644,258.0,319.0,153731.0,,
2,2,32,-1,bridge,0,1,overall,,,,,61021.0,5030.137165893709
0,2,32,-1,bridge,0,2,read,192.55177942876855,261.0,313.0,156539.0,,
1,2,32,-1,bridge,0,2,update,189.90180425629202,258.0,313.0,157461.0,,
2,2,32,-1,bridge,0,2,overall,,,,,61015.0,5146.275506023109
0,2,32,-1,bridge,0,3,read,184.07950889952386,249.0,283.0,164447.0,,
1,2,32,-1,bridge,0,3,update,180.85566941506949,246.0,280.0,164823.0,,
2,2,32,-1,bridge,0,3,overall,,,,,61016.0,5396.453389274944
0,2,32,-1,bridge,0,4,read,201.58635127206784,267.0,328.0,149992.0,,
1,2,32,-1,bridge,0,4,update,199.45624356523018,265.0,324.0,149578.0,,
2,2,32,-1,bridge,0,4,overall,,,,,61018.0,4909.534891343538
0,2,32,-1,bridge,0,5,read,182.59548971332822,242.0,289.0,165311.0,,
1,2,32,-1,bridge,0,5,update,180.088997652398,239.0,285.0,165701.0,,
2,2,32,-1,bridge,0,5,overall,,,,,61015.0,5425.092190444972
0,2,32,-1,bridge,0,6,read,177.48036643861627,230.0,269.0,171161.0,,
1,2,32,-1,bridge,0,6,update,174.98478017774116,228.0,267.0,169910.0,,
2,2,32,-1,bridge,0,6,overall,,,,,61020.0,5589.495247459849
0,2,32,-1,bridge,0,7,read,184.12521745499825,251.0,298.0,163827.0,,
1,2,32,-1,bridge,0,7,update,182.03659485483635,248.0,293.0,164504.0,,
2,2,32,-1,bridge,0,7,overall,,,,,61016.0,5381.063983217517
0,2,32,-1,bridge,0,8,read,189.322851336564,248.0,300.0,159925.0,,
1,2,32,-1,bridge,0,8,update,186.5310594011046,245.0,294.0,159694.0,,
2,2,32,-1,bridge,0,8,overall,,,,,61019.0,5238.02422196365
0,2,32,-1,bridge,0,9,read,192.03625047631144,254.0,304.0,157460.0,,
1,2,32,-1,bridge,0,9,update,188.81351320496233,251.0,307.0,157668.0,,
2,2,32,-1,bridge,0,9,overall,,,,,61018.0,5164.508833458979
0,2,32,-1,bridge,0,10,read,190.7643103186262,253.0,288.0,157928.0,,
1,2,32,-1,bridge,0,10,update,188.60481340480203,251.0,287.0,158391.0,,
2,2,32,-1,bridge,0,10,overall,,,,,61015.0,5184.282553470458
0,2,32,-1,bridge,0,11,read,173.6378015410508,233.0,284.0,174686.0,,
1,2,32,-1,bridge,0,11,update,170.76987565343632,229.0,279.0,174271.0,,
2,2,32,-1,bridge,0,11,overall,,,,,61014.0,5719.293932540073
0,2,32,-1,bridge,0,12,read,193.73239391348508,258.0,306.0,155557.0,,
1,2,32,-1,bridge,0,12,update,190.84547551647677,255.0,304.0,156493.0,,
2,2,32,-1,bridge,0,12,overall,,,,,61018.0,5114.064702219017
0,2,32,-1,bridge,0,13,read,190.42623795991247,247.0,292.0,159052.0,,
1,2,32,-1,bridge,0,13,update,187.99778818384615,245.0,291.0,158241.0,,
2,2,32,-1,bridge,0,13,overall,,,,,61016.0,5200.160613609545
0,2,32,-1,bridge,0,14,read,187.71087698712387,248.0,304.0,160219.0,,
1,2,32,-1,bridge,0,14,update,185.4133181178251,246.0,303.0,161239.0,,
2,2,32,-1,bridge,0,14,overall,,,,,61017.0,5268.335054165233
0,2,32,-1,bridge,0,15,read,191.11161295213068,250.0,286.0,158306.0,,
1,2,32,-1,bridge,0,15,update,188.7983244478294,248.0,285.0,157560.0,,
2,2,32,-1,bridge,0,15,overall,,,,,61013.0,5177.027846524511
0,2,32,-1,bridge,0,16,read,193.85469100224142,256.0,302.0,156150.0,,
1,2,32,-1,bridge,0,16,update,190.59678966553687,253.0,298.0,156370.0,,
2,2,32,-1,bridge,0,16,overall,,,,,61012.0,5122.2710286501015
0,2,32,-1,bridge,0,17,read,190.29538409407513,250.0,298.0,159362.0,,
1,2,32,-1,bridge,0,17,update,187.8973808094531,246.0,295.0,158255.0,,
2,2,32,-1,bridge,0,17,overall,,,,,61016.0,5205.47069621083
0,2,32,-1,bridge,0,18,read,177.34802776028206,231.0,274.0,169883.0,,
1,2,32,-1,bridge,0,18,update,175.1061520185854,228.0,270.0,170887.0,,
2,2,32,-1,bridge,0,18,overall,,,,,61022.0,5584.379404149323
0,2,32,-1,bridge,0,19,read,183.74807625523204,250.0,281.0,164133.0,,
1,2,32,-1,bridge,0,19,update,181.37089372860368,247.0,280.0,164748.0,,
2,2,32,-1,bridge,0,19,overall,,,,,61014.0,5390.254695643623
0,2,32,-1,bridge,0,20,read,191.51006919604703,258.0,309.0,157957.0,,
1,2,32,-1,bridge,0,20,update,188.50547210300428,255.0,307.0,158440.0,,
2,2,32,-1,bridge,0,20,overall,,,,,61018.0,5185.305975285981
0,2,32,-1,bridge,0,21,read,183.92953248330298,245.0,296.0,164700.0,,
1,2,32,-1,bridge,0,21,update,181.06274245132732,243.0,294.0,164466.0,,
2,2,32,-1,bridge,0,21,overall,,,,,61019.0,5394.483685409463
0,2,32,-1,bridge,0,22,read,187.4384778195861,251.0,296.0,161584.0,,
1,2,32,-1,bridge,0,22,update,184.37984035641358,248.0,294.0,161610.0,,
2,2,32,-1,bridge,0,22,overall,,,,,61022.0,5296.352135295468
0,2,32,-1,bridge,0,23,read,174.5816047735399,239.0,271.0,173121.0,,
1,2,32,-1,bridge,0,23,update,172.30775179482444,236.0,268.0,173276.0,,
