,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
0,2,4,-1,bridge-vhost,0,1,read,98.39213884239956,123.0,135.0,310107.0,,
1,2,4,-1,bridge-vhost,0,1,update,94.50995171699775,119.0,132.0,310047.0,,
2,2,4,-1,bridge-vhost,0,1,overall,,,,,61020.0,10163.126843657818
0,2,4,-1,bridge-vhost,0,2,read,100.68609008308314,121.0,135.0,303431.0,,
1,2,4,-1,bridge-vhost,0,2,update,96.42462243619336,117.0,130.0,303260.0,,
2,2,4,-1,bridge-vhost,0,2,overall,,,,,61024.0,9941.842553749344
0,2,4,-1,bridge-vhost,0,3,read,99.35755106308591,125.0,136.0,306043.0,,
1,2,4,-1,bridge-vhost,0,3,update,95.70845417468207,121.0,132.0,307221.0,,
2,2,4,-1,bridge-vhost,0,3,overall,,,,,61018.0,10050.542462879806
0,2,4,-1,bridge-vhost,0,4,read,99.27325636338159,125.0,148.0,306873.0,,
1,2,4,-1,bridge-vhost,0,4,update,95.5868359090436,122.0,150.0,307488.0,,
2,2,4,-1,bridge-vhost,0,4,overall,,,,,61015.0,10069.015815783005
