Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1719616190,Device: id=0,RX,0,0,0,0,0
1719616190,Device: id=0,TX,1.0514405736545,538.33757371111,706.56806549584,1115873,71415872
1719616191,Device: id=0,RX,0,0,0,0,0
1719616191,Device: id=0,TX,1.051492149273,538.36398042776,706.60272431143,2171865,138999360
1719616192,Device: id=0,RX,0,0,0,0,0
1719616192,Device: id=0,TX,1.051489257587,538.36249988455,706.60078109847,3229634,206696576
1719616193,Device: id=0,RX,0,0,0,0,0
1719616193,Device: id=0,TX,1.0514797997899,538.35765749245,706.59442545884,4286748,274351872
1719616194,Device: id=0,RX,0,0,0,0,0
1719616194,Device: id=0,TX,1.051499036757,538.36750681959,706.60735270072,5343863,342007232
1719616195,Device: id=0,RX,0,0,0,0,0
1719616195,Device: id=0,TX,1.0514924184402,538.36411824138,706.60290519182,6403728,409838592
1719616196,Device: id=0,RX,0,0,0,0,0
1719616196,Device: id=0,TX,1.0514891001319,538.36241926752,706.60067528862,7460873,477495872
1719616197,Device: id=0,RX,0,0,0,0,0
1719616197,Device: id=0,TX,1.0514899768268,538.36286813531,706.6012644276,8518228,545166592
1719616198,Device: id=0,RX,0,0,0,0,0
1719616198,Device: id=0,TX,1.0514976076579,538.36677512085,706.60639234612,9579102,613062528
1719616199,Device: id=0,RX,0,0,0,0,0
1719616199,Device: id=0,TX,1.0514818054121,538.35868437101,706.59577323695,10636328,680724992
1719616200,Device: id=0,RX,0,0,0,0,0
1719616200,Device: id=0,TX,1.0514942372402,538.36504946698,706.60412742542,11693568,748388352
1719616201,Device: id=0,RX,0,0,0,0,0
1719616201,Device: id=0,TX,1.0514811940573,538.35837135732,706.59536240648,12750538,816034432
1719616202,Device: id=0,RX,0,0,0,0,0
1719616202,Device: id=0,TX,1.0515038125329,538.36995201687,706.61056202214,13808324,883732736
1719616203,Device: id=0,RX,0,0,0,0,0
1719616203,Device: id=0,TX,1.0514905705574,538.3631721254,706.60166341458,14865677,951403328
1719616204,Device: id=0,RX,0,0,0,0,0
1719616204,Device: id=0,TX,1.0514896360851,538.36269367558,706.6010354492,15923894,1019129216
1719616205,Device: id=0,RX,0,0,0,0,0
1719616205,Device: id=0,TX,1.0514809651039,538.35825413321,706.59520854983,16982607,1086886848
1719616206,Device: id=0,RX,0,0,0,0,0
1719616206,Device: id=0,TX,1.0514951015526,538.36549199493,706.60470824334,18039767,1154545088
1719616207,Device: id=0,RX,0,0,0,0,0
1719616207,Device: id=0,TX,1.0514900974977,538.36292991884,706.60134551848,19096850,1222198400
1719616208,Device: id=0,RX,0,0,0,0,0
1719616208,Device: id=0,TX,1.0514923534651,538.36408497411,706.60286152853,20153964,1289853696
1719616209,Device: id=0,RX,0,0,0,0,0
1719616209,Device: id=0,TX,1.0514973695064,538.35851075154,706.59808987256,21211862,1357558144
1719616210,Device: id=0,RX,0,0,0,0,0
1719616210,Device: id=0,TX,1.0515022993164,538.37732553146,706.6176934221,22269006,1425216384
1719616211,Device: id=0,RX,0,0,0,0,0
1719616211,Device: id=0,TX,1.0514646089019,538.34987975775,706.58421718205,23326474,1492894336
1719616212,Device: id=0,RX,0,0,0,0,0
1719616212,Device: id=0,TX,1.0514886359377,538.36218160008,706.60036335011,24384643,1560617152
1719616213,Device: id=0,RX,0,0,0,0,0
1719616213,Device: id=0,TX,1.0514878062306,538.36175679006,706.59980578696,25441530,1628257920
1719616214,Device: id=0,RX,0,0,0,0,0
1719616214,Device: id=0,TX,1.0514915521563,538.363674704,706.60232304901,26500420,1696026880
1719616215,Device: id=0,RX,0,0,0,0,0
1719616215,Device: id=0,TX,1.0514986367733,538.36730202792,706.60708391165,27560795,1763890880
1719616216,Device: id=0,RX,0,0,0,0,0
1719616216,Device: id=0,TX,1.0514815284609,538.35854257198,706.59558712573,28617925,1831547200
1719616217,Device: id=0,RX,0,0,0,0,0
1719616217,Device: id=0,TX,1.0514851895358,538.36041704232,706.59804736805,29674975,1899198400
1719616218,Device: id=0,RX,0,0,0,0,0
1719616218,Device: id=0,TX,1.0515016049386,538.36882172857,706.60907851875,30732153,1966857792
1719616219,Device: id=0,RX,0,0,0,0,0
1719616219,Device: id=0,TX,1.0514869670322,538.3613271205,706.59924184566,31792417,2034714688
1719616220,Device: id=0,RX,0,0,0,0,0
1719616220,Device: id=0,TX,1.0514827722395,538.3591793866,706.59642294491,32849257,2102352448
1719616221,Device: id=0,RX,0,0,0,0,0
1719616221,Device: id=0,TX,1.0514967030099,538.36631194108,706.60578442267,33906161,2169994304
1719616222,Device: id=0,RX,0,0,0,0,0
1719616222,Device: id=0,TX,1.0514914018919,538.36359776865,706.60222207136,34963002,2237632128
1719616223,Device: id=0,RX,0,0,0,0,0
1719616223,Device: id=0,TX,1.051488510611,538.36211743282,706.60027913058,36020005,2305280320
1719616224,Device: id=0,RX,0,0,0,0,0
