Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1719611646,Device: id=0,RX,0,0,0,0,0
1719611646,Device: id=0,TX,1.051436086621,538.33527634994,706.56505020929,1107216,70861824
1719611647,Device: id=0,RX,0,0,0,0,0
1719611647,Device: id=0,TX,1.0514869729677,538.36133015947,706.59924583431,2169243,138831552
1719611648,Device: id=0,RX,0,0,0,0,0
1719611648,Device: id=0,TX,1.0514896194899,538.36268517883,706.60102429721,3226420,206490880
1719611649,Device: id=0,RX,0,0,0,0,0
1719611649,Device: id=0,TX,1.0514847986525,538.36021691005,706.59778469445,4283582,274149248
1719611650,Device: id=0,RX,0,0,0,0,0
1719611650,Device: id=0,TX,1.0514888430473,538.36228764019,706.60050252775,5340758,341808512
1719611651,Device: id=0,RX,0,0,0,0,0
1719611651,Device: id=0,TX,1.0514930635925,538.36444855937,706.60333873417,6397935,409467840
1719611652,Device: id=0,RX,0,0,0,0,0
1719611652,Device: id=0,TX,1.0514960827105,538.36599434779,706.60536758148,7455129,477128256
1719611653,Device: id=0,RX,0,0,0,0,0
1719611653,Device: id=0,TX,1.0514827454379,538.35916566418,706.59640493424,8512291,544786624
1719611654,Device: id=0,RX,0,0,0,0,0
1719611654,Device: id=0,TX,1.0514979153162,538.36693264187,706.60659909246,9569566,612452224
1719611655,Device: id=0,RX,0,0,0,0,0
1719611655,Device: id=0,TX,1.0514936430565,538.36474524493,706.60372813397,10627833,680181312
1719611656,Device: id=0,RX,0,0,0,0,0
1719611656,Device: id=0,TX,1.051489880524,538.36281882831,706.60119971215,11685010,747840640
1719611657,Device: id=0,RX,0,0,0,0,0
1719611657,Device: id=0,TX,1.0514956268768,538.36576096094,706.60506126124,12742204,815501056
1719611658,Device: id=0,RX,0,0,0,0,0
1719611658,Device: id=0,TX,1.0514915906428,538.3636944091,706.60234891194,13799367,883159488
1719611659,Device: id=0,RX,0,0,0,0,0
