,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
0,2,32,-1,vmux-emu,1,1,read,553.7245240145864,757.0,931.0,54571.0,,
1,2,32,-1,vmux-emu,1,1,update,550.8438388321382,755.0,923.0,54527.0,,
2,2,32,-1,vmux-emu,1,1,overall,,,,,61025.0,1787.7591151167555
0,2,32,-1,vmux-emu,1,2,read,550.4895774235464,750.0,922.0,54641.0,,
1,2,32,-1,vmux-emu,1,2,update,548.29570353087,749.0,912.0,54859.0,,
2,2,32,-1,vmux-emu,1,2,overall,,,,,61025.0,1794.3465792707907
0,2,32,-1,vmux-emu,1,3,read,557.3432100594456,759.0,924.0,53999.0,,
1,2,32,-1,vmux-emu,1,3,update,557.0866006111677,758.0,917.0,53995.0,,
2,2,32,-1,vmux-emu,1,3,overall,,,,,61022.0,1769.7551702664612
0,2,32,-1,vmux-emu,1,4,read,557.8580707240799,763.0,920.0,54041.0,,
1,2,32,-1,vmux-emu,1,4,update,558.1959709342303,763.0,941.0,53809.0,,
2,2,32,-1,vmux-emu,1,4,overall,,,,,61028.0,1767.2216031985317
0,2,32,-1,vmux-emu,1,5,read,552.5385376943385,751.0,915.0,54544.0,,
1,2,32,-1,vmux-emu,1,5,update,549.073992994746,748.0,918.0,54816.0,,
2,2,32,-1,vmux-emu,1,5,overall,,,,,61027.0,1791.9937077031477
0,2,32,-1,vmux-emu,1,6,read,561.8196275098343,764.0,927.0,53639.0,,
1,2,32,-1,vmux-emu,1,6,update,562.5366830034793,762.0,936.0,53458.0,,
2,2,32,-1,vmux-emu,1,6,overall,,,,,61025.0,1754.9692748873413
0,2,32,-1,vmux-emu,1,7,read,553.5915259542969,754.0,913.0,54307.0,,
1,2,32,-1,vmux-emu,1,7,update,553.8705947237797,750.0,926.0,54395.0,,
2,2,32,-1,vmux-emu,1,7,overall,,,,,61021.0,1781.3867357139345
0,2,32,-1,vmux-emu,1,8,read,550.9243796048532,749.0,908.0,54562.0,,
1,2,32,-1,vmux-emu,1,8,update,552.4979286578437,756.0,923.0,54554.0,,
2,2,32,-1,vmux-emu,1,8,overall,,,,,61022.0,1788.1419815804136
0,2,32,-1,vmux-emu,1,9,read,554.8897108765489,748.0,899.0,54475.0,,
1,2,32,-1,vmux-emu,1,9,update,552.5670682287061,748.0,904.0,54288.0,,
