Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1720736651,Device: id=0,RX,0,0,0,0,0
1720736651,Device: id=0,TX,36.981667701244,18934.599733658,24851.666565857,39095344,2502100160
1720736652,Device: id=0,RX,0,0,0,0,0
1720736652,Device: id=0,TX,36.94748586083,18917.099572756,24828.697310489,76390258,4888972992
1720736653,Device: id=0,RX,0,0,0,0,0
1720736653,Device: id=0,TX,36.894012232965,18889.741902287,24792.783859562,113482243,7262860992
1720736654,Device: id=0,RX,0,0,0,0,0
1720736654,Device: id=0,TX,37.042835544625,18965.950136916,24892.803824056,150714821,9645748288
1720736655,Device: id=0,RX,0,0,0,0,0
1720736655,Device: id=0,TX,36.962391610743,18924.721135458,24838.703793177,187966275,12029838400
1720736656,Device: id=0,RX,0,0,0,0,0
1720736656,Device: id=0,TX,36.888366525109,18886.869131128,24789.007775146,225042525,14402721600
1720736657,Device: id=0,RX,0,0,0,0,0
1720736658,Device: id=0,TX,37.054042610662,18971.650460097,24900.297277803,262286921,16786360512
1720736658,Device: id=0,RX,0,0,0,0,0
1720736659,Device: id=0,TX,36.987620262544,18937.659027544,24855.678269551,299465105,19165763968
1720736659,Device: id=0,RX,0,0,0,0,0
1720736660,Device: id=0,TX,37.018423417704,18953.454693666,24876.402440498,336673149,21547081536
1720736660,Device: id=0,RX,0,0,0,0,0
1720736661,Device: id=0,TX,37.068620903452,18979.126772331,24910.106116884,373938098,23932037376
1720736661,Device: id=0,RX,0,0,0,0,0
1720736662,Device: id=0,TX,36.991960620728,18939.866012882,24858.579712199,411127356,26312147648
1720736662,Device: id=0,RX,0,0,0,0,0
1720736663,Device: id=0,TX,37.035968328359,18962.421386449,24888.176318987,448359469,28695003584
1720736663,Device: id=0,RX,0,0,0,0,0
1720736664,Device: id=0,TX,37.009185248369,18948.717107218,24870.186746957,485565761,31076208064
1720736664,Device: id=0,RX,0,0,0,0,0
1720736665,Device: id=0,TX,36.987496978493,18937.571462749,24855.570979308,522753009,33456188544
1720736665,Device: id=0,RX,0,0,0,0,0
1720736666,Device: id=0,TX,37.084828943844,18987.459920132,24921.032551147,560036224,35842317760
1720736666,Device: id=0,RX,0,0,0,0,0
1720736667,Device: id=0,TX,37.04475836995,18966.891363626,24894.052702818,597328046,38228991232
1720736668,Device: id=0,RX,0,0,0,0,0
1720736668,Device: id=0,TX,37.00923224989,18948.737609064,24870.214769046,634527149,40609735168
1720736669,Device: id=0,RX,0,0,0,0,0
1720736669,Device: id=0,TX,37.093138339119,18991.686320455,24926.588454714,671826167,42996872256
1720736670,Device: id=0,RX,0,0,0,0,0
1720736670,Device: id=0,TX,37.020550544978,18954.519332938,24877.807420134,709048956,45379130432
1720736671,Device: id=0,RX,0,0,0,0,0
1720736671,Device: id=0,TX,37.01532347955,18951.847658511,24874.299415239,746264500,47760925504
1720736672,Device: id=0,RX,0,0,0,0,0
1720736672,Device: id=0,TX,37.074294984845,18982.039540562,24913.926738137,783607115,50150852928
1720736673,Device: id=0,RX,0,0,0,0,0
1720736673,Device: id=0,TX,37.004381994741,18946.262930517,24866.964049676,820815728,52532206592
1720736674,Device: id=0,RX,0,0,0,0,0
1720736674,Device: id=0,TX,37.0299934896,18959.356666675,24884.155625011,858040091,54914565824
1720736675,Device: id=0,RX,0,0,0,0,0
1720736675,Device: id=0,TX,37.046999724091,18968.035340627,24895.555296481,895287007,57298364864
1720736676,Device: id=0,RX,0,0,0,0,0
1720736676,Device: id=0,TX,37.006240786795,18947.210053284,24868.208579171,932487557,59679201920
1720736677,Device: id=0,RX,0,0,0,0,0
1720736677,Device: id=0,TX,37.060271496901,18974.868172462,24904.511611966,969749793,62063986176
1720736678,Device: id=0,RX,0,0,0,0,0
1720736678,Device: id=0,TX,37.031996609935,18960.386848211,24885.506305801,1006976288,64446482432
1720736679,Device: id=0,RX,0,0,0,0,0
1720736679,Device: id=0,TX,36.997853863624,18942.901178176,24862.557796356,1044239965,66831357760
1720736680,Device: id=0,RX,0,0,0,0,0
1720736680,Device: id=0,TX,37.063675710976,18976.599926505,24906.788040261,1081494378,69215639936
1720736681,Device: id=0,RX,0,0,0,0,0
1720736681,Device: id=0,TX,37.004005478503,18946.036542212,24866.677418773,1118688345,71596052032
1720736682,Device: id=0,RX,0,0,0,0,0
1720736682,Device: id=0,TX,36.998726624674,18943.332240419,24863.128500367,1155875883,73976052480
1720736683,Device: id=0,RX,0,0,0,0,0
1720736683,Device: id=0,TX,37.070654525243,18980.207208392,24911.511932431,1193136598,76360742272
1720736684,Device: id=0,RX,0,0,0,0,0
1720736684,Device: id=0,TX,37.020254604398,18954.370357452,24877.611094156,1230345148,78742089472
1720736685,Device: id=0,RX,0,0,0,0,0
1720736685,Device: id=0,TX,37.017437765807,18952.90121118,24875.691253709,1267652796,81129775552
1720736686,Device: id=0,RX,0,0,0,0,0
1720736686,Device: id=0,TX,37.075496140815,18982.658098374,24914.737480905,1304925966,83515258944
1720736687,Device: id=0,RX,0,0,0,0,0
1720736687,Device: id=0,TX,37.028403329957,18958.544032831,24883.088565624,1342150849,85897651648
1720736688,Device: id=0,RX,0,0,0,0,0
1720736688,Device: id=0,TX,37.051111797996,18970.173813556,24898.351701235,1379485685,88287081728
1720736689,Device: id=0,RX,0,0,0,0,0
1720736689,Device: id=0,TX,37.052341571087,18970.815694849,24899.190346223,1416726584,90670501376
1720736690,Device: id=0,RX,0,0,0,0,0
1720736690,Device: id=0,TX,36.972691603851,18929.999765568,24845.630422184,1453893653,93049191488
1720736691,Device: id=0,RX,0,0,0,0,0
1720736691,Device: id=0,TX,37.064410633221,18976.967548879,24907.273250194,1491154452,95433881280
1720736692,Device: id=0,RX,0,0,0,0,0
1720736692,Device: id=0,TX,37.048653833541,18968.939791472,24896.724404838,1528401313,97817684032
1720736693,Device: id=0,RX,0,0,0,0,0
1720736693,Device: id=0,TX,36.991910339116,18939.826008918,24858.531663176,1565590712,100197801536
1720736694,Device: id=0,RX,0,0,0,0,0
1720736694,Device: id=0,TX,37.067151650517,18978.397433184,24909.141697266,1602854799,102582705088
1720736695,Device: id=0,RX,0,0,0,0,0
1720736695,Device: id=0,TX,37.01895919906,18953.691321853,24876.724793703,1640070563,104964512000
1720736696,Device: id=0,RX,0,0,0,0,0
1720736696,Device: id=0,TX,37.011747819676,18950.014883674,24871.894534822,1677295242,107346891456
1720736697,Device: id=0,RX,0,0,0,0,0
1720736697,Device: id=0,TX,37.068444967778,18979.075909585,24910.02710443,1714559989,109731839296
1720736698,Device: id=0,RX,0,0,0,0,0
1720736698,Device: id=0,TX,37.022139295612,18955.335319353,24878.877606651,1751778240,112113807360
1720736699,Device: id=0,RX,0,0,0,0,0
1720736699,Device: id=0,TX,37.030016181054,18959.343328952,24884.14591792,1789004495,114496284544
1720736700,Device: id=0,RX,0,0,0,0,0
1720736700,Device: id=0,TX,36.909317442334,18897.595486267,24803.08627704,1826109347,116870998208
1720736701,Device: id=0,RX,0,0,0,0,0
1720736701,Device: id=0,TX,36.960234511192,18923.6126753,24837.250197091,1863411695,119258345024
1720736702,Device: id=0,RX,0,0,0,0,0
1720736702,Device: id=0,TX,37.054248825249,18971.802901039,24900.482713079,1900661961,121642365504
1720736703,Device: id=0,RX,0,0,0,0,0
1720736703,Device: id=0,TX,37.037407527412,18963.120568075,24889.105772461,1937895649,124025317504
1720736704,Device: id=0,RX,0,0,0,0,0
1720736704,Device: id=0,TX,36.975201640285,18931.303239826,24847.335502272,1975066652,126404261696
1720736705,Device: id=0,RX,0,0,0,0,0
1720736705,Device: id=0,TX,37.044528264955,18966.83055586,24893.955078253,2012309538,128787810432
1720736706,Device: id=0,RX,0,0,0,0,0
1720736706,Device: id=0,TX,37.052501565282,18970.860430377,24899.260680822,2049560211,131171850944
1720736707,Device: id=0,RX,0,0,0,0,0
1720736707,Device: id=0,TX,36.981675068057,18934.611523436,24851.679534325,2086739102,133551299200
1720736708,Device: id=0,RX,0,0,0,0,0
1720736708,Device: id=0,TX,37.081319866936,18985.648504376,24918.659683086,2124016991,135937085696
1720736709,Device: id=0,RX,0,0,0,0,0
1720736709,Device: id=0,TX,37.031627840103,18960.190907761,24885.251362177,2161246809,138319793728
1720736710,Device: id=0,RX,0,0,0,0,0
1720736710,Device: id=0,TX,36.969832432324,18928.547075246,24843.720264418,2198413133,140698437568
1720736711,Device: id=0,RX,0,0,0,0,0
1720736711,Device: id=0,TX,37.068730271365,18979.181239863,24910.178083281,2235674179,143083143424
1720736712,Device: id=0,RX,0,0,0,0,0
1720736712,Device: id=0,TX,37.021239548319,18954.874360701,24878.272688432,2255052316,144323348224
