Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1720741516,Device: id=0,RX,0,0,0,0,0
1720741516,Device: id=0,TX,37.022428507962,18955.495624414,24879.084185688,39072474,2500637056
1720741517,Device: id=0,RX,0,0,0,0,0
1720741517,Device: id=0,TX,36.921186536388,18903.642396147,24811.032241969,76062414,4867992576
1720741518,Device: id=0,RX,0,0,0,0,0
1720741518,Device: id=0,TX,36.931974013308,18909.161565418,24818.277407548,113344737,7254060096
1720741519,Device: id=0,RX,0,0,0,0,0
1720741519,Device: id=0,TX,37.043019926464,18966.035333974,24892.918522208,150730032,9646720128
1720741520,Device: id=0,RX,0,0,0,0,0
1720741520,Device: id=0,TX,36.942071633509,18914.323867252,24825.055328614,187863078,12023232960
1720741521,Device: id=0,RX,0,0,0,0,0
1720741521,Device: id=0,TX,36.904912021083,18895.345943625,24800.131866998,225057583,14403685184
1720741522,Device: id=0,RX,0,0,0,0,0
1720741522,Device: id=0,TX,37.015266766032,18951.785572361,24874.228254926,262335620,16789475648
1720741523,Device: id=0,RX,0,0,0,0,0
1720741523,Device: id=0,TX,36.933628650492,18910.042311475,24819.422895553,299471090,19166148800
1720741524,Device: id=0,RX,0,0,0,0,0
1720741524,Device: id=0,TX,36.988767896574,18938.249163046,24856.452026498,336815798,21556210112
1720741525,Device: id=0,RX,0,0,0,0,0
1720741525,Device: id=0,TX,37.019863957005,18954.165271863,24877.343504983,374170366,23946901824
1720741526,Device: id=0,RX,0,0,0,0,0
1720741526,Device: id=0,TX,36.952932407002,18919.882051805,24832.351236925,411343825,26326000768
1720741527,Device: id=0,RX,0,0,0,0,0
1720741527,Device: id=0,TX,37.031370685125,18960.081146031,24885.100455651,448567961,28708347904
1720741528,Device: id=0,RX,0,0,0,0,0
1720741528,Device: id=0,TX,36.949619190016,18918.217759012,24830.156829414,485709896,31085433344
1720741529,Device: id=0,RX,0,0,0,0,0
1720741529,Device: id=0,TX,36.93807317305,18912.28481909,24822.376526778,522897862,33465462080
1720741530,Device: id=0,RX,0,0,0,0,0
1720741530,Device: id=0,TX,37.026016266734,18957.327967338,24881.490570016,560123722,35847918080
1720741531,Device: id=0,RX,0,0,0,0,0
1720741531,Device: id=0,TX,36.972718035966,18930.007701135,24845.642586889,597298380,38227093184
1720741532,Device: id=0,RX,0,0,0,0,0
1720741532,Device: id=0,TX,36.959651584514,18923.366557976,24836.910811498,634467367,40605911488
1720741533,Device: id=0,RX,0,0,0,0,0
1720741533,Device: id=0,TX,36.551258742083,18714.212389741,24562.413788474,671212048,42957567040
1720741534,Device: id=0,RX,0,0,0,0,0
1720741534,Device: id=0,TX,36.478600479087,18677.075536161,24513.651612815,707878358,45304214912
1720741535,Device: id=0,RX,0,0,0,0,0
1720741535,Device: id=0,TX,36.484966007296,18680.291391109,24517.885952277,744556659,47651624768
1720741536,Device: id=0,RX,0,0,0,0,0
1720741536,Device: id=0,TX,36.463930312945,18669.511436724,24503.740286795,781210030,49997437888
1720741537,Device: id=0,RX,0,0,0,0,0
1720741537,Device: id=0,TX,36.348777785641,18610.574226248,24426.37867195,817749140,52335940928
1720741538,Device: id=0,RX,0,0,0,0,0
1720741538,Device: id=0,TX,36.300825010425,18586.054495856,24394.186497524,854237158,54671178112
1720741539,Device: id=0,RX,0,0,0,0,0
1720741539,Device: id=0,TX,36.414383771297,18644.164490904,24470.465894311,890838388,57013656832
1720741540,Device: id=0,RX,0,0,0,0,0
1720741540,Device: id=0,TX,36.59904362297,18738.71033496,24594.557314636,927673473,59371102272
1720741541,Device: id=0,RX,0,0,0,0,0
1720741541,Device: id=0,TX,36.598513783446,18738.439057124,24594.201262476,964463641,61725673024
1720741542,Device: id=0,RX,0,0,0,0,0
