,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
0,2,32,-1,vmux-med,0,1,read,128.99397543699598,180.0,248.0,232382.0,,
1,2,32,-1,vmux-med,0,1,update,127.82344098933518,179.0,247.0,231509.0,,
2,2,32,-1,vmux-med,0,1,overall,,,,,61014.0,7603.025535123086
0,2,32,-1,vmux-med,0,2,read,124.16569861379247,166.0,220.0,241378.0,,
1,2,32,-1,vmux-med,0,2,update,123.29911922001159,165.0,222.0,239901.0,,
2,2,32,-1,vmux-med,0,2,overall,,,,,61012.0,7888.267881728185
0,2,32,-1,vmux-med,0,3,read,123.19948479103124,167.0,224.0,242620.0,,
1,2,32,-1,vmux-med,0,3,update,121.94321313687259,166.0,228.0,243102.0,,
2,2,32,-1,vmux-med,0,3,overall,,,,,61010.0,7961.35059826258
0,2,32,-1,vmux-med,0,4,read,126.49486137063785,175.0,242.0,237612.0,,
1,2,32,-1,vmux-med,0,4,update,124.52705965639736,174.0,241.0,237309.0,,
2,2,32,-1,vmux-med,0,4,overall,,,,,61015.0,7783.676145210195
0,2,32,-1,vmux-med,0,5,read,124.35541030866345,170.0,222.0,241428.0,,
1,2,32,-1,vmux-med,0,5,update,122.9918776735991,169.0,225.0,240079.0,,
2,2,32,-1,vmux-med,0,5,overall,,,,,61018.0,7891.228817725917
0,2,32,-1,vmux-med,0,6,read,125.33561121858486,173.0,232.0,238818.0,,
1,2,32,-1,vmux-med,0,6,update,124.15755540743908,172.0,233.0,238551.0,,
2,2,32,-1,vmux-med,0,6,overall,,,,,61010.0,7824.438616620227
0,2,32,-1,vmux-med,0,7,read,127.90493279283123,177.0,242.0,234350.0,,
1,2,32,-1,vmux-med,0,7,update,126.41126795369428,176.0,243.0,234701.0,,
2,2,32,-1,vmux-med,0,7,overall,,,,,61017.0,7687.218316206959
0,2,32,-1,vmux-med,0,8,read,125.52609509766549,172.0,237.0,238723.0,,
1,2,32,-1,vmux-med,0,8,update,123.65180021289474,170.0,237.0,239555.0,,
2,2,32,-1,vmux-med,0,8,overall,,,,,61015.0,7838.695402769811
0,2,32,-1,vmux-med,0,9,read,131.20220988174194,183.0,244.0,227976.0,,
