Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1721439693,Device: id=0,RX,0,0,0,0,0
1721439693,Device: id=0,TX,37.054228733396,18971.745969572,24900.422566916,39206727,2509230144
1721439694,Device: id=0,RX,0,0,0,0,0
1721439694,Device: id=0,TX,37.093691007107,18991.969795639,24926.960356776,76387495,4888799296
1721439695,Device: id=0,RX,0,0,0,0,0
1721439695,Device: id=0,TX,37.080989844294,18985.485640754,24918.444015841,113672238,7275025216
1721439696,Device: id=0,RX,0,0,0,0,0
1721439696,Device: id=0,TX,37.164952036519,19028.451386094,24974.843711937,151198128,9676681664
1721439697,Device: id=0,RX,0,0,0,0,0
1721439697,Device: id=0,TX,37.115580104452,19003.164280976,24941.657097688,188510463,12064669504
1721439698,Device: id=0,RX,0,0,0,0,0
1721439698,Device: id=0,TX,37.10594600155,18998.244862042,24935.196222289,225816919,14452282752
1721439699,Device: id=0,RX,0,0,0,0,0
1721439699,Device: id=0,TX,37.16605234813,19029.048341587,24975.616717288,263180073,16843528320
1721439700,Device: id=0,RX,0,0,0,0,0
1721439700,Device: id=0,TX,37.082107080102,18986.016415761,24919.153548577,300458681,19229356416
1721439701,Device: id=0,RX,0,0,0,0,0
1721439701,Device: id=0,TX,37.169218273917,19030.637718707,24977.712642534,337818747,21620400384
1721439702,Device: id=0,RX,0,0,0,0,0
1721439702,Device: id=0,TX,37.131931805991,19011.567422726,24952.676511685,375140897,24009020288
1721439703,Device: id=0,RX,0,0,0,0,0
1721439703,Device: id=0,TX,37.038949317282,18963.948162544,24890.180053309,412373187,26391887616
1721439704,Device: id=0,RX,0,0,0,0,0
1721439704,Device: id=0,TX,37.157804315793,19024.778494369,24970.027184896,449729885,28782714112
1721439705,Device: id=0,RX,0,0,0,0,0
1721439705,Device: id=0,TX,37.099114324091,18994.760796774,24930.619088628,487019299,31169238400
1721439706,Device: id=0,RX,0,0,0,0,0
1721439706,Device: id=0,TX,37.104829927436,18997.665307249,24934.438095638,524437906,33564028288
1721439707,Device: id=0,RX,0,0,0,0,0
1721439707,Device: id=0,TX,37.134411548751,19012.824315311,24954.330163111,561768844,35953209024
1721439708,Device: id=0,RX,0,0,0,0,0
1721439708,Device: id=0,TX,37.058104883066,18973.753774491,24903.050555781,599023763,38337524352
1721439709,Device: id=0,RX,0,0,0,0,0
1721439709,Device: id=0,TX,37.169489384271,19030.747497145,24977.865798628,636389939,40728955712
1721439710,Device: id=0,RX,0,0,0,0,0
1721439710,Device: id=0,TX,37.113062765292,19001.905961356,24939.996003803,673699697,43116782464
1721439711,Device: id=0,RX,0,0,0,0,0
1721439711,Device: id=0,TX,37.087283661148,18988.681085633,24922.646471416,710983253,45502929024
1721439712,Device: id=0,RX,0,0,0,0,0
1721439712,Device: id=0,TX,37.16923041048,19030.655119382,24977.731985059,748423795,47899124864
1721439713,Device: id=0,RX,0,0,0,0,0
1721439713,Device: id=0,TX,37.05332089215,18971.29521795,24899.826560694,785777470,50289759424
1721439714,Device: id=0,RX,0,0,0,0,0
1721439714,Device: id=0,TX,37.133555107086,19012.398552641,24953.767369775,823101751,52678515712
1721439715,Device: id=0,RX,0,0,0,0,0
1721439715,Device: id=0,TX,37.153215451827,19022.414727913,24966.929200205,860443862,55068406848
1721439716,Device: id=0,RX,0,0,0,0,0
