,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
0,2,32,-1,vmux-dpdk-e810,0,1,read,123.118593180356,170.0,230.0,242476.0,,
1,2,32,-1,vmux-dpdk-e810,0,1,update,122.23616714697407,169.0,231.0,242900.0,,
2,2,32,-1,vmux-dpdk-e810,0,1,overall,,,,,61010.0,7955.679396820194
0,2,32,-1,vmux-dpdk-e810,0,2,read,124.62287221887529,169.0,232.0,240685.0,,
1,2,32,-1,vmux-dpdk-e810,0,2,update,122.64530294815177,167.0,233.0,241609.0,,
2,2,32,-1,vmux-dpdk-e810,0,2,overall,,,,,61015.0,7904.5152831271
0,2,32,-1,vmux-dpdk-e810,0,3,read,122.45088627950354,164.0,212.0,245013.0,,
1,2,32,-1,vmux-dpdk-e810,0,3,update,120.95810697398318,162.0,210.0,244265.0,,
2,2,32,-1,vmux-dpdk-e810,0,3,overall,,,,,61021.0,8018.190459022304
0,2,32,-1,vmux-dpdk-e810,0,4,read,123.87178028429142,170.0,229.0,242568.0,,
1,2,32,-1,vmux-dpdk-e810,0,4,update,122.0545685960932,170.0,233.0,241989.0,,
2,2,32,-1,vmux-dpdk-e810,0,4,overall,,,,,61010.0,7942.255367972463
0,2,32,-1,vmux-dpdk-e810,0,5,read,125.45277389629518,175.0,241.0,238311.0,,
1,2,32,-1,vmux-dpdk-e810,0,5,update,124.20558914100145,173.0,240.0,238033.0,,
2,2,32,-1,vmux-dpdk-e810,0,5,overall,,,,,61017.0,7806.742383270236
0,2,32,-1,vmux-dpdk-e810,0,6,read,126.14982349145293,173.0,239.0,237099.0,,
1,2,32,-1,vmux-dpdk-e810,0,6,update,124.81004890613558,172.0,239.0,237598.0,,
2,2,32,-1,vmux-dpdk-e810,0,6,overall,,,,,61017.0,7779.749905763967
0,2,32,-1,vmux-dpdk-e810,0,7,read,122.1353155240784,166.0,214.0,245116.0,,
1,2,32,-1,vmux-dpdk-e810,0,7,update,120.93367390621879,164.0,212.0,245273.0,,
2,2,32,-1,vmux-dpdk-e810,0,7,overall,,,,,61010.0,8037.846254712343
0,2,32,-1,vmux-dpdk-e810,0,8,read,125.5191716124718,174.0,236.0,239260.0,,
1,2,32,-1,vmux-dpdk-e810,0,8,update,123.96835127027084,173.0,239.0,238335.0,,
2,2,32,-1,vmux-dpdk-e810,0,8,overall,,,,,61011.0,7828.0146203143695
0,2,32,-1,vmux-dpdk-e810,0,9,read,132.6572578683122,186.0,230.0,226065.0,,
1,2,32,-1,vmux-dpdk-e810,0,9,update,131.47975187006435,184.0,230.0,225527.0,,
2,2,32,-1,vmux-dpdk-e810,0,9,overall,,,,,61014.0,7401.448847805422
0,2,32,-1,vmux-dpdk-e810,0,10,read,135.32587319263664,193.0,254.0,221801.0,,
1,2,32,-1,vmux-dpdk-e810,0,10,update,133.65919745872458,192.0,253.0,221621.0,,
2,2,32,-1,vmux-dpdk-e810,0,10,overall,,,,,61022.0,7266.592376519943
0,2,32,-1,vmux-dpdk-e810,0,11,read,132.61584189025064,188.0,249.0,226425.0,,
1,2,32,-1,vmux-dpdk-e810,0,11,update,130.7744338300628,186.0,247.0,226213.0,,
2,2,32,-1,vmux-dpdk-e810,0,11,overall,,,,,61018.0,7418.106132616605
0,2,32,-1,vmux-dpdk-e810,0,12,read,133.3191915416244,188.0,246.0,224724.0,,
1,2,32,-1,vmux-dpdk-e810,0,12,update,131.7609072721062,187.0,244.0,225423.0,,
2,2,32,-1,vmux-dpdk-e810,0,12,overall,,,,,61018.0,7377.282113474713
0,2,32,-1,vmux-dpdk-e810,0,13,read,133.44495011610715,191.0,249.0,225223.0,,
1,2,32,-1,vmux-dpdk-e810,0,13,update,131.76301898578853,189.0,247.0,224115.0,,
2,2,32,-1,vmux-dpdk-e810,0,13,overall,,,,,61016.0,7364.265110790612
0,2,32,-1,vmux-dpdk-e810,0,14,read,133.01617992644682,190.0,249.0,225959.0,,
1,2,32,-1,vmux-dpdk-e810,0,14,update,131.26828195789287,188.0,248.0,225140.0,,
2,2,32,-1,vmux-dpdk-e810,0,14,overall,,,,,61020.0,7392.641756801049
0,2,32,-1,vmux-dpdk-e810,0,15,read,135.16449211196849,191.0,249.0,221348.0,,
1,2,32,-1,vmux-dpdk-e810,0,15,update,133.5362208052665,189.0,247.0,222386.0,,
