,repetitions,num_vms,rps,interface,repetition,vm_number,op,avg_us,95th_us,99th_us,ops,runtime,ops_per_sec
0,2,4,-1,bridge-e1000,1,1,read,174.6595940585459,271.0,287.0,172685.0,,
1,2,4,-1,bridge-e1000,1,1,update,172.5480155948581,269.0,285.0,172621.0,,
2,2,4,-1,bridge-e1000,1,1,overall,,,,,61016.0,5659.269699750885
0,2,4,-1,bridge-e1000,1,2,read,163.94449882004938,266.0,281.0,183906.0,,
1,2,4,-1,bridge-e1000,1,2,update,162.96637705535744,265.0,279.0,183119.0,,
2,2,4,-1,bridge-e1000,1,2,overall,,,,,61018.0,6015.028352289489
0,2,4,-1,bridge-e1000,1,3,read,162.6276887292776,266.0,286.0,185729.0,,
1,2,4,-1,bridge-e1000,1,3,update,160.28965739968243,265.0,283.0,185785.0,,
2,2,4,-1,bridge-e1000,1,3,overall,,,,,61016.0,6088.796381277042
0,2,4,-1,bridge-e1000,1,4,read,147.162315092939,173.0,271.0,203413.0,,
1,2,4,-1,bridge-e1000,1,4,update,147.43969997347506,249.0,271.0,203582.0,,
2,2,4,-1,bridge-e1000,1,4,overall,,,,,61025.0,6669.3158541581315
